JoeMcHugh	Minister for Education and Skills (Deputy Joe McHugh)	2002-09-12	None	Déanaim comhghairdeas leis an Chathaoirleach Gníomhach as a cheapachán úr.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Beidh mé sásta é sin a dhéanamh.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Congratulations to Deputy Dillon on his election and on his maiden speech today. In his last point, he referenced clarity concerning the leaving certificate. The school alignment process has started and we have set up the portal, which will be going live between the executive office and the Department and the schools. We are looking to trigger that on Monday so the schools can start feeding back information. There has been, therefore, a great degree of momentum at the school alignment level, although there is still much work to be done. My ambition has always been, and it still is, that we will have results coming out as close to the traditional date as possible. I refer to the normal date for the issuing of leaving certificate results. That is the ambition and I will work intensely with my officials to make sure that happens. It is important on several fronts, including the transition to third level. I am also conscious, however, of the transition involving those applying to the Universities and Colleges Admissions Service, UCAS, whether that concerns Northern Ireland, England, Scotland or Wales. I refer also to those applying to go to Europe, where the majority of students last year went to the Netherlands, and we have ongoing engagement with our European counterparts. I turn now to part of Deputy Feighan's question regarding my engagement with the Minister of Education in Northern Ireland, Mr. Peter Weir. I spoke to him just yesterday and raised the issue of UCAS to ensure we have those deadlines.One of the things I have picked up from engaging with my officials, officials from the UK Department for Education and the Secretary of State for Education, Mr. Gavin Williamson, is that there is a flexibility there. We will continue to work with them on that. The Deputy referred to the Mayo campus and its importance. He has raised that issue several times with me, as well as the integral connection between Galway, Mayo, Sligo and Donegal in the context of the new Connacht-Ulster alliance. He requested an update on that alliance. He is correct that Dr. Seán Duffy has been appointed and has been working closely with the three colleges to ensure the preparatory work needed for an application to be submitted is on track. The plan is that an application will be submitted for a Connacht-Ulster alliance in quarter 4 of this year. There has been quite a degree of momentum there. I referred earlier to the south east. There is also quite a degree of momentum with regard to the proposed Limerick-Athlone alliance. Those three applications are in a very positive place. The Deputy referred to hygiene standards in schools. He is correct that the reopening guidelines, plans and roadmap that the Cabinet will sign off on and publish tomorrow week will include instruction, guidelines and advice for schools. Going back to Deputy Ó Laoghaire's point on the additional cost involved, I am conscious that it will cost a great deal of extra money and that schools are already under pressure as a result of the reduction in capitation moneys from 2011. We have restored 7.5% of that but we need to go further for the schools. I will discuss the construction project raised by the Deputy with the officials.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Gabhaim buíochas leis an Teachta as ucht a cheiste. Déanaim comhghairdeas leis as a bheith tofa. Guím ádh mór air sa ról úr atá aige. Is dualgas agus onóir mhór é a bheith tofa mar Theachta Dála. I want to take the Deputy back to his first point around the €750 billion fund. We are now working in that world of billions. One of the things I believe is central to any deliberation around funding and that collective response from Europe is to ensure that, at its heart, is how we tackle educational disadvantage and how we ensure that the most vulnerable are protected. When I think back to the last recession, I think of all the young Donegal people who had to leave and go to Australia, Canada and the United States. In that recession, I could see on my own doorstep that they were the hardest hit. We only had to look at the rest of the country, as well as at countries like Italy and Spain, to see that massive negative impact on the younger generation. I believe any conversation around funding streams has to look at what we can do to empower young people, while obviously focusing on the skill level and how we ensure that education continues and that there are jobs at the end of that education. As to my contribution, at a recent round of ministerial meetings at European Commission level, I discussed with all of my counterparts the issues of Covid, school reopening, third level and all the challenges that go with that. My point was to ensure that, whatever funding and support Europe can give, we put education at the heart of it. That brings me to the last question on funding. My proposition and that of my Department is to continue those conversations with my European counterparts. We are due to meet again towards the end of June, in some two weeks time. The Deputy also talked about the digital agenda being to the forefront. The German minister very clearly outlined that the upcoming German Presidency is going to have a very sharp focus on the digital agenda, not just in terms of education but also the world of work. One thing has been quite clear in the last three months. At the tertiary level, universities were very quick to adapt, to continue with online lecturing and to do their exams online. Post-primary was quite well-equipped in terms of having the experience of Google Classroom and had already started using the investment available, given we invest a considerable amount of money every year - more than €60 million at this stage - in digital support for schools.On the primary school system, the information coming back from our inspectorate indicates really creative and innovative ways to use technology but that, whether it is a generational thing or for different reasons, online teaching was not as interactive compared to a post-primary setting. There are very valid reasons for this such as gaps around broadband and other obstacles. One of the clear indicators coming from the teaching profession is that while digital communication technology filled some gaps, it is not the solution. We want and need to continue to ensure that our students are in a classroom setting but digital communication and new technology can add value to that process and can simplify some things. One of the simple learnings from teachers during this period was that they did not have to photocopy. Consider the amount of money that goes into photocopying. The expectation, however, was put onto some parents to copy, especially at primary school level, and I can attest to that. There were some massive learnings and one of the great insights into it, from parents and teachers, is that a house with home schooling is a very tense environment at times. Parents are trying to mix work and home schooling at the same time and it is a very stressed environment. We need to get our students back into the classroom and it is my ambition to continue to work closely with health officials to ensure we are provided with a roadmap so at the end of August and the beginning of September we have a maximum number of students back in primary and second level classrooms. I am interested to stay in touch with Deputy Leddin on his specific suggestions on where this fund could be used in education. I am very open to that.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	I will work my way backwards. The good news is that over the past few weeks with what has happened between Department of Education and Skills officials and the Department of Health there has been a sea change on a summer programme. We are looking at the school inclusion model which we all want to work towards for children who need physiotherapy, occupational therapy or speech and language therapy. The Deputy is right there are two different Departments working separately. There has, however, been a sea change. We are working together to get a summer programme for the 600 children with complex medical needs, along with disadvantaged kids and special educational needs kids. I acknowledge the work of the officials on that. The Department is not unbending in respect of the safe pass. Rules to meet different needs have to change. I am actively considering the safe pass issue. The Teaching Council is also actively considering the probation issue too. I hope we will have news on those two fronts in the not too distant future. The Deputy's first point was really interesting. I would be interested in the St. Seachnall's project if the Deputy would send me the information. On the rules for the end of September, as the Deputy said, the pupil-teacher ratio is a budgetary consideration. There is a budget coming up in three months' time, at the end of September. There, I have announced it even before the Minister for Finance gets to do it, whoever will be in charge then. I take the Deputy's point and have asked the inspectorate to look into the issue in Darndale which the Deputy has raised previously. I am waiting for it to get back to me on that. The Deputy is 100% right about creating pathways to reflect our society. That is why I ensured funding for a migrant project in Marino which is considering an induction into the Irish education system for mature students from different countries who live here now, Irish citizens. Some might be former French or mathematics teachers in Spain or wherever. It was formerly funded by the Department of Justice and Equality. I took over the funding of it, only €50,000, because it identified exactly what we need to do. The Deputy might like to familiarise himself with that project. It has been showing great leadership in Marino on this.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	I reassure the Deputy that bus transportation is a key factor in our deliberations as to what the end of August and September will look like. We are looking at the practicalities of that for the summer programme as well. The feedback from the teachers and the teacher representative bodies is that they are looking at everything. They are looking at the set-up in the morning and what will be needed in terms of hygiene and sanitisers, and all sorts of criteria and instructions for training and guidance for teachers. I accept there is a sense of urgency and that teachers, principals and boards of management need to know what August and September will look like as soon as possible. That is why I committed at last Friday's Cabinet meeting to set out a timeframe. The timeframe is very specific. Towards the end of next week we will have guidelines published for schools for a roadmap as to what the end of August and September will look like. It is really important that schools plan because there will be a lot of planning. The issue the Deputy raised with the Covid payment is a good and valid point. Many students, even leaving certificate students now, including from my county and my parish, rely on tourism. They are getting no payment. However, not all students got the Covid payment, so there was an inequality there. It was only the students who were in part-time jobs who got it. There is therefore an annoyance among other students who may have been in part-time employment, perhaps a couple of months previously or whatever. There is an inequity there among all students.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	The answer to the question is "Yes". There most definitely will be. It will be different from previous July provisions because it will not only be exclusive to autism. We are widening it out. We have upwards of 8,000 students in our autism spectrum disorder classes. We have 8,000 students in special schools. That is 16,000 straight away. We want to add to that number. We want to look at disadvantage and school completion programmes. We talked about that two weeks ago when we engaged on this issue. The answer is clearly "Yes" but I want to have it right. That is why we are going to continue to engage with public health officials because we need to comply with the guidelines. I want to give certainty to parents too. I want parents to be confident that this is the right thing for their children. For some children it may be in the home. That option has to be there for parents. Last year, believe it or not, of the 10,000 students who participated in July provision a total of 70% were in the home. That requires buy-in from special needs assistants, tutors and teachers. My plea today is to the school leadership. At the outset the feedback has been incredibly positive. School leaders are really keen to make this happen. Out of 4,000 schools in our country only 232 opened up for July provision last year. It is not all about opening up schools en masse. It is about seeing what has worked in previous years and seeing what we can build on as well. I want to make one point about special needs assistants. SNAs never gave up contact when the schools closed on 12 March. Deputies will know that from evidence of the schools. They have stayed in touch with students. I asked my officials for examples of good practice. I have a list as long as my arm of what some schools are doing. They are ringing parents. Some are ringing parents every day. They are in touch with the son or daughter every day. They are keeping that connectivity going. SNAs have participated in the redeployment scheme. There is a percentage of SNAs working under programmes of the HSE. There has been extraordinary and incredible interlocking between the Department of Health and the Department of Education and Skills. That bodes well for the future. I am sorry for going on. Deputy Kenny's question required a simply "Yes" or "No" response. The answer is "Yes".
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	We will be looking next week at contacting the schools and we are looking to start at the beginning of July.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	I am reluctant to give a picture of what this is going to look like because we are not announcing it formally until next week. I am going to bring a memorandum to Cabinet and we are going to publish the guidelines. I will offer two examples in terms of disadvantage. We are looking at school completion. This will involve targeted disadvantage to try to get some form of school completion continued. We are also looking at literacy and numeracy in DEIS schools. At the moment only 70 schools do the summer programme in literacy and numeracy. I am looking to build upon that and extend it. They are two examples. Next week we will have more clarification.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Less than one minute. Let me be clear - we have an inclusive educational model. It is not just an urban issue or a rural issue. In my town of Letterkenny, I believe that one of the primary schools has 38 nationalities. It has all ethnicities from around the world. It is a global school. When I attended an event, one of the students summarised the school by saying that it was an international school steeped in the history of Letterkenny. We have something really good going on in this country in terms of inclusiveness and ensuring that we embrace all ethnicities, the new Irish and new citizens. The students I have met over the past 19 months in this job know that they are safe in that environment. It is important to point out the positives in what is going on in this country in terms of education. Yes, we can do more and improve, but there are many good aspects and the inclusive nature has been transformative. The Deputy referred to speculation in a weekend newspaper about the curriculum being tapered. What I will confirm now is that there are discussions ongoing between the NCCA and my officials regarding the curriculum. I am conscious of the fifth years, who have been mentioned by a number of Deputies.Deputy Barry has been consistent in raising the same issue over and over again. Fair play to him for raising it because by doing so, it keeps it on my radar and that of my officials and keeps it on the agenda. In terms of the fifth years, we are looking at the benefits of "Home School Hub" for primary schools and are having discussions with RTÉ to see if there is a space there for fifth years in terms of what they have lost out on this year. There are discussions going on between the NCCA and my officials on this issue.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	The Deputy is correct in saying that the alignment process has started in terms of estimating grades. There is daily interaction between teachers, teaching colleagues, deputy principals and principals so that work will continue. The executive office that has been set up in the Department is up and running. We have an independent monitoring group chaired by Dr. Áine Lawlor. There are a lot of checks and balances in there. I know we will hear different examples and anecdotes but the general feedback I am getting is one where teachers are working collaboratively with the whole school community. Words like "conscientious", "committed" and "dedicated" are used. They want to get it right. It is a difficult space to be in. Think if someone was to walk down the main street in Navan 12 weeks ago and say the leaving certificate was not going ahead this year and that we were going to introduce a whole new calculated grades model in 12 weeks. I take this opportunity to acknowledge the dedication of departmental staff and officials for all their work and their ability to adapt. I assure the Deputy that there are checks and balances. I agree with the Deputy that it is not the perfect system. It is not the one I wanted - I wanted the written exam - but it is the fairest system in the circumstances. Next Friday, I will bring a memorandum to Cabinet around the criteria and guidelines about schools reopening. We will provide parents and school communities with that certainty. On special educational needs, what will be provided will not be the normal July provision. I propose to widen it such that it will not be exclusive to autism but will include educational disadvantage and other students as well. The Department of Health will have a role in regard to 600 children with complex medical needs. The memorandum, which I will bring to Cabinet next Friday, will include information in this regard as well. I will be in this House next Wednesday, but as it will be the end of next week before I bring the memorandum to Government, I will be reiterating the point next week that a memorandum will be produced in two days' time. I encourage the Deputy to take the opportunity of the debate next Wednesday to put his proposals in regard to what he believes should be incorporated in the provision.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	The cost of the State indemnification will be dealt with by the Office of the Attorney General. Teachers are indemnified. That has been guaranteed. A Cabinet decision provides for indemnification to protect teachers in this process. Whatever costs arise will be borne by the State.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	I acknowledge the Sherkin Island community. I have visited the island twice. I commend the community on its creative and innovative approach to issues, including its involvement with DCU on an art project.A great example is Glenroe national school in Limerick which is looking to open up in September. There is nothing to say a school cannot open again in the future. I have confidence from looking around my own county at places like Arranmore where there are two primary schools and a secondary school and nearly 50 students come from the mainland daily to go to the island school. They have set up a new digital hub which will attract people back to the island. While it is only a prediction, my prediction for the future of islands is a positive one because of broadband being available on the islands, whether those in Kerry, Donegal or west Cork. I think we will be looking at positive changes in the movement of people because Facebook and Google in Dublin have announced that people can work from home and there is no reason they cannot work from the southern or northern parts of the country. The Sherkin Island community is already seeing a progression from four students to six over a few years. There is a school in Donegal that had 11 students in 1999 and now has 85. Momentum happens once it gets started. I would never discount the idea of a primary school on Sherkin Island, and if we can give help or advice on that process, I would be happy to get my officials-----
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	I am sorry. I thought I had the whole time for myself.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	We will do that.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	It is like closing time. I have a short window here. The Deputy is right. Schools need to know the picture. That is why I will bring a memo to Cabinet next Friday with that picture, not just for schools reopening in late August and early September but in regard to children with special educational needs and disadvantage. I know there is a big debate about the 2 m and 1 m restrictions and all of that. We all live in the real world in terms of what a junior or senior infants class looks like. If we expect children in junior or senior infants or first or second class to look at the societal parameters we have laid down, we need to look at the science around students. We already know that those aged under 13 do not have to wear PPE gear. I do not want to see PPE gear in secondary schools, but I am not a public health official. That is my personal opinion and what I would like to see. I have seen photographs from South Korea, where there are pods in canteens and so on. I will not say what it was like, but it was a very difficult thing to process.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	On Down's syndrome, services will not be exclusive to autism. We will widen the programme out. The most important word for parents is choice. If they want education provided at home, it is possible to explore whether we can get a tutor or teacher to do that. We can also consider whether it is possible to open a school. The most important word from the point of view of a tutor, SNA and teacher is voluntary. One of the positive aspects of the July provision was that it was always voluntary and that is why it worked.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	We will make formal contact with schools next week. The memo I will bring to Government at the end of next week will be a comprehensive guideline for schools and parents to let them know what options are available to them. I want to acknowledge the INTO, which has been very proactive on this. I have spoken to Mr. John Boyle a number of times. It is reaching out to its schools and is doing great work.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	Regarding the Connacht-Ulster alliance, we now have GMIT, Sligo and Letterkenny in agreement on where they want to be, which is to have an application ready for quarter 4. I will not give a timeline after that because there is toing and froing in that process.
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	If we are getting applications in towards the end of 2020, we are looking at 2021. I will not give a time, but that is not being overly ambitious because 2021 is 12 months to run then and we will keep the momentum going there. I feel the Deputy's pain on the retention of teachers. It is such a difficult time. Principals and boards of management put in so much energy in trying to-----
JoeMcHugh	Deputy Joe McHugh	2002-09-12	None	I ask the Deputy to send me the detail on Termon national school and I will be happy to follow up.
