#MJNolan	unknown-#MJNolan-party	unknown-#MJNolan-dob	unknown-#MJNolan-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	0	The meeting has been convened for consideration of the Energy (Biofuel Obligation and Miscellaneous Provisions) Bill 2010 which was referred to the select committee by order of the Dáil on 12 November 2010.
#MJNolan	unknown-#MJNolan-party	unknown-#MJNolan-dob	unknown-#MJNolan-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	1	Amendments Nos. 1 to 4, inclusive, 11, 12, 17, 36 to 39, inclusive, are related and will be discussed together.
#SeanSherlock	Labour	13678	Cork East	speech	unkown-language	2010-05-19 00:00:00	Prelude	2	I move amendment No. 1:
In page 6, between lines 13 and 14, to insert the following:" "bioethanol" shall only be deemed to constitute a biofuel in the case of ethylalcohol ex CN (Combined nomenclature) sub heading Taric code 2207 1000 with an alcohol content of at least 99 per cent volume the properties of which comply at least with the requirements set in document EN 15376:2007 by the EU Committee for Standardisation (CEN) or any subsequent revisions to this document;".There has already been significant debate on this matter.  I take the Minister's Second Stage point about the introduction of regulations after enactment and the time lags in notifications to the European Commission.  This amendment, however, is to lay down in the legislation a definitive move to stimulate local bio-fuel production.  The domestic bio-fuel industry has supported our amendments in this regard.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	3	Before we go into the amendments, will the Minister clarify if bio-gas is included in these definitions in section 3?
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	4	Under section 44B of the principal Act, it is intended to provide a gas-to-liquid conversion factor which would mean bio-gas would be covered by the legislation.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	5	I can see why these amendments have been grouped together but they are dealing with slightly different points.I support Deputy McManus's amendments but I understand why the Minister has difficulty with them.  He has proposed a compromise by which he can introduce new standards through ministerial order after the legislation is enacted.  There was much debate about this in the Seanad and on Second Stage in the Dáil.These amendments would reassure domestic bio-fuel producers that we are serious about legislating for quality assurances.  This is about ensuring we also give our domestic producers a competitive advantage through customs tariffs.I hope the Minister will accept my amendment No. 11 because it will not impact on his compromise.  Instead, it seeks to have the Minister consider the capacity of domestic producers to supply bio-fuel to meet domestic market demands when he is considering the percentage of blend required.  If he or any future Minister decides to increase to a 10% bio-fuel blend, then this provision will allow him to consider whether domestic producers could meet this demand.  That is a reasonable request which has not been forwarded by any lobbyists.Amendment No. 12 is similar to amendment No. 11 in that it seeks to have the Minister consider the various custom tariff policies and other national policies adopted by EU member states to promote domestic production of bio-fuels to supply market demand.Amendment No. 17 is in my and Deputy McManus's names.  It is essentially a compromise we hope the Minister will accept if he does not accept amendments Nos. 1 to 4, inclusive.  It simply provides for the Minister to use TARIC codes when considering quality and purity issues, particularly around ethanol.  The domestic industry needs some assurances in this regard.  Accepting this amendment will not weaken the legislation but provide a TARIC code framework for the way quality issues will be assessed.  It is a compromise amendment proposed by Ethanol Ireland and other domestic interest groups which believe it will strengthen their hand in this regard.Amendment No. 38 is more or less the same principle as amendment No.17, so I do not really need to address that because it is the same argument.  Amendment No. 37 introduces an element which needs to be spelt out somewhat more in the legislation.  I know the Minister on a personal level has strong views about this as it concerns security of supply issues.  This requires the Minister to have regard to a whole series of different things when determining future decisions relating to this legislation and it is introducing the provision that he must have regard to increasing the level of security of supply of transport fuels.  In the context of the debate we had in the Dáil two weeks ago on security of supply, that is something we should spell out in the legislation and I believe this is probably the appropriate place to insert it, unless the Minister can suggest a better place.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	6	My apologies for being so late.  I propose to take amendments Nos. 1 to 4, inclusive, 11, 12 and 36 to 39, inclusive, together.  On Committee Stage and Report Stage of the Bill in the Seanad the issue arose as regards specifying particular TARIC codes for ethanol under the obligation, on the basis that it would promote indigenous industry.  Having consulted with the Attorney General's office a new section 44X was added in order to provide power for the Minister to make an order specifying the fuel standards required in order for fuel to meet the obligation.  By introducing this section I will, once the Bill is enacted, be able to move to make a statutory instrument setting out the measure that is required around specifying a TARIC code and putting that through the notification procedure to the European Commission in due course.  By taking this course of action now, we are ensuring that there is no undue delay in progressing the legislative process and in bringing the obligation into force.The amendments tabled by the Deputies opposite, which bear a close resemblance to those put forward in the Seanad, are effectively already dealt with in this amendment.  As explained previously, there is little to be gained by specifying the precise standards required in primary legislation, as the flexibility around being able to adjust the standards on an ongoing basis is critical.I should also point out that IS EN15376 is already the relevant standard for ethanol in Ireland, and for this reason I do not propose to accept the Opposition's proposed amendments Nos. 1 to 4, inclusive, 11, 12, 17 and 36 to 39, inclusive.  Perhaps I should add to some of the comments made this morning.  I understand the motive and intent behind them and the various amendments tabled by the Opposition.One reason we want to specify TARIC codes by statutory instrument rather than in primary legislation is that we want flexibility and there may be other codes.  We could see down the line that it might not be a question of doing this on a TARIC code basis, and there could be an evolution of other codes or standards that we might need to set out within a statutory instrument.  Therefore, if we are to be very specific around a particular coding system, this would reduce that level of flexibility.  This is something we have to watch.We all agree that for a variety of reasons one of the key motivations we have is to try to support indigenous production.  How exactly this is to be done is something that may best be determined as time evolves and the possibility we are stitching in here by using the statutory instrument mechanism is the right course.I understand Deputy Coveney's amendment in that one may look at indigenous production in that very explicit manner, as a factor in our considerations, but we have to be careful since we are operating within a free trade system where the rules are fairly explicit and can be pursued.  While obviously we have to consider what our domestic production levels are, it is something that is best done in the use of those secondary instruments rather than necessarily in primary legislation.This is going to evolve.  Within the European process we have stitched in various review stages.  We have to review it anyway, to reach the 10% target as to what the level will be as regards other renewable fuels coming in.  Establishing the general obligation system while using the statutory instrument mechanism to adjust it is the right process.  To be specific under primary legislation would weaken our ability to be flexible.  While I understand the amendments have the very positive intent of supporting indigenous production, in the long-run we shall be better served by giving ourselves the flexibility necessary to adjust standards and codes as we go on.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	7	I understand the point the Minister is making as regards amendment Nos. 1 to 4, inclusive, but if my colleague wants to press them I will support him.However, I am surprised, particularly in relation to amendment No. 11, that the Minister does not believe this is a factor which should be considered.  When assessing the percentage bio-fuel mix in the future, one of the factors the Minister should consider is the capacity of domestic producers to supply bio-fuel to meet market demands.  As regards amendment No. 12, one of the factors he should consider is what other countries are doing in this area.  Surely that should be stitched into the legislation.The legislation states, "For the purpose of a review under this section, the Minister shall have regard...", and that is reviewing the percentage of bio-fuels — the 4% we were introducing.  If we are going to increase or reduce it at some stage in the future, the legislation already says the Minister shall have regard to the effect of the bio-fuel obligation on fuel prices in the State.  That is a domestic consideration, and it stipulates he shall have regard to the reports required to be submitted to the Commission of the European Communities on progress in the promotion of use of energy from renewable sources pursuant to Article 22 of the directive.  Therefore, we have to take EU directives into account.All I am saying is that the Minister should have regard to the capacity of domestic producers to supply increased levels of bio-fuels and that he should also look at what other countries are doing to support domestic production.  We all agree that where possible we want to see bio-fuels that are used in Ireland produced in Ireland.  We cannot block imports from other European countries, and neither should we, but we can put market conditions in place that make it as advantageous as possible for people to produce the bio-fuels that will be used in Ireland here at home, and give farmers and companies here the option to do that.I shall press amendments Nos. 11 and 12, while I can understand the Minister's points on the other amendments and I believe what he says makes some sense.  However, amendments Nos. 11 and 12 are in a different category.  They have nothing to do with TARIC codes, and neither have they anything to do with quality.  They are simply asking any future Minister who might not have the same grasp of this issue as the present incumbent to have regard to what other countries are doing and to the capacity to produce bio-fuels domestically in Ireland, as that industry develops into the future.  I do not believe that is too much to ask.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	8	We must have regard to the directives.  This is primarily being driven by European directives and legislation.  That is a good thing, as it gives us a scaled response that will help establish a stable market.Crucially as well, we are involved in a very sensitive world trade issue here and we have to be very careful in our legislation in terms of explicit reference to some of the considerations that the Deputy has mentioned.  However, we may weaken our hand if we are explicit in that.  It is better to put it into secondary legislation.
#SeanSherlock	Labour	13678	Cork East	speech	unkown-language	2010-05-19 00:00:00	Prelude	9	I move amendment No. 2:
In page 6, between lines 38 and 39, to insert the following:" "commencement date" shall mean 1 January 2013;".
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	36	I move amendment No. 21:
In page 19, line 27, to delete "the amount of".
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	37	I move amendment No. 22:
In page 19, between lines 35 and 36, to insert the following subsection:"(2) For the purposes of subsection (1)(b), each biofuel obligation certificate shall have a value equivalent to one litre of the specified amount calculated in accordance with section 44C(3) for the purpose of determining the biofuel obligation.”.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	38	I move amendment No. 23:
In page 19, line 36, to delete "(2) Within 28 days" and substitute "(3) Within 28 days".
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	39	I move amendment No. 24:
In page 19, line 46, to delete "(3) Where an" and substitute "(4) Where an".
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	40	I move amendment No. 25:
In page 19, lines 47 and 48, to delete "subsection (2)" and substitute "subsection (3)".
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	41	I move amendment No. 26:
In page 20, line 3, to delete "(4) For the" and substitute "(5) For the".
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	42	I move amendment No. 27:
In page 20, line 8, to delete "subsection (2) or (3)" and substitute "subsection (3) or (4)".
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	43	I move amendment No. 28:
In page 20, line 11, to delete "(5)(a) Subject to” and substitute “(6)(a) Subject to”.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	44	I move amendment No. 29:
In page 20, line 29, to delete "(6) A biofuel" and substitute "(7) A biofuel".
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	45	I move amendment No. 30:
In page 20, line 39, to delete "subsection (2)" and substitute "subsection (3)".
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	46	I move amendment No. 31:
In page 20, lines 40 and 41, to delete "subsection (3)" and substitute "subsection (4)".
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	47	I move amendment No. 32:
In page 21, line 5, to delete "section 44I(2)" and substitute "section 44I(3)".
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	48	I move amendment No. 34:
In page 22, line 29, after "publication" to insert "on the internet".
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	49	I move amendment No. 35:
In page 22, line 30, to delete "The Minister" and substitute "For the purposes of paragraph (a), the Minister”.
#SeanSherlock	Labour	13678	Cork East	speech	unkown-language	2010-05-19 00:00:00	Prelude	50	I move amendment No. 36:
In page 30, to delete lines 38 to 51 and in page 31, to delete lines 1 to 3 and substitute the following:"44X.—(1) Subject to subsections (2) and (3), the Minister, having regard to the need to increase the security of supply of transport fuels, to promote the use of biofuels that meet certain minimum standards and to ensure the protection of consumers of biofuels, may make regulations prescribing minimum standards and specifying certain EU Taric codes in relation to biofuels consumed or disposed of by sale or otherwise in the State, which are required to be met for the purpose of making an application under section 44G for a biofuel obligation certificate.(2) Regulations under this section may prescribe—(a) different minimum standards and Taric codes in respect of different classes of biofuels, and(b) different dates in respect of the coming into force of different minimum standards prescribed by the regulations.”.
#MJNolan	unknown-#MJNolan-party	unknown-#MJNolan-dob	unknown-#MJNolan-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	51	Amendments Nos. 41 to 43, inclusive, are consequential on amendment No. 40.  Amendments Nos. 40 to 43, inclusive, will be discussed together.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	52	I move amendment No. 40:
In page 31, between lines 7 and 8, to insert the following:"(b) the Minister for Agriculture, Fisheries and Food,”.This amendment ensures the Minister for Agriculture, Fisheries and Food is included in the list of those to be consulted when regulations are being made under the Bill in regard to bio-fuel standards.  Amendments Nos. 41 to 43, inclusive, are consequential technical amendments arising from the insertion of amendment No. 40.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	53	I move amendment No. 41:
In page 31, line 8, to delete "(b) The National” and substitute “(c) the National”.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	54	I move amendment No. 42:
In page 31, line 10, to delete "(c) the Revenue” and substitute “(d) the Revenue”.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	55	I move amendment No. 43:
In page 31, line 11, to delete "(d) the Agency” and substitute “(e) the Agency”.
#SeanSherlock	Labour	13678	Cork East	speech	unkown-language	2010-05-19 00:00:00	Prelude	56	I move amendment No. 44:
In page 31, between lines 25 and 26, to insert the following:"(b) by substituting the following for the definition of “Minister”:" ‘Minister' means the Minister for Communications, Energy and Natural Resources;",".This technical amendment is self-explanatory.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	57	The definition of "Minister" is already outlined in the principal Act and there is no requirement to repeat it.  Therefore, I do not propose to accept the amendment.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	58	I move amendment No. 45:
In page 37, before section 21, but in Chapter 1, to insert the following new section:"CHAPTER 2Amendment of Fuels (Control of Supplies) Act 198221.—Section 7 of the Fuels (Control of Supplies) Act 1982 is amended—(a) in subsection (3), by substituting the following for all of the words from “shall be liable on summary conviction” to the end of the subsection:"shall—(i) on summary conviction, be liable to a fine not exceeding €5,000 or to imprisonment for a term not exceeding 12 months, or to both, or(ii) on conviction on indictment, be liable to a fine not exceeding €20,000 or to imprisonment for a term not exceeding 2 years, or to both.",and(b) by inserting the following after subsection (5):"(6) Where an offence under this section is committed by a body corporate and is proved to have been committed with the consent or connivance of, or to be attributable to any neglect on the part of a person being a director, manager, secretary or other officer of such body corporate or a person who was purporting to act in any such capacity, that person shall be guilty of an offence and shall be liable to be proceeded against and punished as if he or she were guilty of the first-mentioned offence.".".This amendment updates the penalties for an offence under section 7 of the Fuels (Control of Supplies) Act 1982.  The Fuels (Control of Supplies) Acts 1971 and 1982 empower the Minister for Communications, Energy and Natural Resources, in the event of a fuel emergency and on foot of an order made by the Government, to make orders or give directions relating to the control, acquisition, supply, distribution or marketing or fuels in the State.  Section 7 of the Fuels (Control of Supplies) Act 1982 provides for the appointment of authorised officers in a fuel emergency to inspect premises and obtain information on the control, acquisition, supply, distribution or marketing or fuels.  The existing section 7(3) provides that:Any person who—(a) obstructs or impedes an authorised officer in the exercise of any of the powers conferred on him by this section,(b) refuses to produce any record or document which an authorised officer lawfully requires him to produce,(c) produces or causes to be produced or knowingly allows to be produced to an authorised officer any record or document which is false in any material respect knowing it to be false, or(d) wilfully fails or refuses to comply with any lawful requirement of an authorised officer under subsection (1)(b) of this section,shall be guilty of an offence, and shall be liable on summary conviction to a fine not exceeding €634 or, at the discretion of the Court, to imprisonment for a term not exceeding twelve months or to both such fine and such imprisonment.Given the important role to be played by an authorised officer during the course of fuel emergencies, it is proposed that the penalties provided for under section 7(3) be updated.  In this regard, the amendment increases the fine on summary conviction from €634 to €5,000, introduces a penalty on conviction on indictment of €20,000 or imprisonment for a term not exceeding two years or both and provides for the lifting of the veil of incorporation in respect of such events under section 7.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	59	While I am not objecting to the amendment, I seek clarification.  Section 20 deals with breaches of the law under the Fuels (Control of Supplies) Act 1971.  It refers to a breaking of the rules relating to bio-fuels mix, falsifying documentation and so on.  Does the amendment relate to preventing or inhibiting the Garda or any other authorised officer from testing, asking questions or visiting a site?
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	60	Yes.  Should there be an emergency necessitating the use of the powers provided in the 1971 and 1982 Acts to control the sale, distribution and marketing of fuels, the authorised officer will oversee any cases in which someone acts illegally or fraudulently in the operation of such a market.  The amendment provides for an increase in the fines to be imposed for such breaches.
#MJNolan	unknown-#MJNolan-party	unknown-#MJNolan-dob	unknown-#MJNolan-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	61	I thank the Minister, his officials and members for their attendance.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	62	I am not sure we have ever got through Committee Stage of a Bill as quickly as we have today.  It is a reasonable morning's work.  The reason might be that I have not waffled on for as long as I normally do.I wish to flag an issue.  This morning I was expecting to see a significant amendment tabled by the Minister to introduce a windfall levy for electricity generators.  That is not happening because of a misunderstanding or a lack of preparation.  The basic reason has been outlined to me.  However, it is not acceptable to introduce, as I understand the Minister plans to do, a significant new section which many would regard as almost a new Bill.  It will introduce a very complex provision to put in place a legal basis for a windfall levy for energy generators in respect of the carbon they are producing.  From the point of view of the Opposition, introducing such a significant amendment on Report Stage, even if the Bill will be recommitted to allow a more extensive discussion, is totally unacceptable.  We will have not have an opportunity to amend the provision the Minister will introduce.  It will not really be an amendment but a piece of legislation.  The Bill has gone through all Stages in the Seanad and almost all Stages in the Dáil and at the very last Stage when we will not have an opportunity to make amendments and will only have an opportunity to make limited comments, the Minister will introduce a provision to raise between €70 million and €100 million for the State.  It will have a significant impact on energy generators and there are issues that will need to be teased out.The Minister knows that I am in favour of what he is trying to do, but I cannot allow legislation to be passed in the way in which I understand he proposes to introduce it.  We have flagged these concerns previously when significant new elements of legislation were introduced on both Committee and Report Stages.  We are going down a very dangerous road in not preparing properly for legislation and introducing significant new sections at the last minute when there is not time for proper scrutiny or debate.  We are, essentially, trusting the Minister, his officials and officials in the Office of the Attorney General to get it right, but that is not how legislation should be introduced.  The Minister is not allowing me and other Opposition Deputies to do our job.  This is something about which we should be very concerned.  The Minister's hands may be tied in this regard.  However, we should not have reached this stage.  I want to flag the issue at this stage because I presume we will be taking Report Stage next week or the following week.  I did not want to pretend that I am happy with it because I am not.
#SeanSherlock	Labour	13678	Cork East	speech	unkown-language	2010-05-19 00:00:00	Prelude	63	We are all agreed on the need to transpose the directive and to adopt a proper approach in meeting our bio-fuels obligations.  While there might be a different emphasis on certain aspects of the directive, there is broad agreement on the need to do it properly and act with haste.  I am three years into my first mandate here.  I fail to understand why we are legislating in this way.  It seems to me that the windfall levy — the carbon levy — should be provided for in a completely separate and distinct Bill.  Given its importance, I do not understand why it is being tacked on to this legislation.  This legislative provision is not a mere administrative detail.  It will have serious permutations for industry.  I do not doubt that it will be challenged.  The lawyers will have a field day on this one.  I do not understand why the amendment in question is to be introduced on Report Stage.  It does not make sense.  Many of the procedures that govern this House belie common sense.  It does not make an ounce of sense for the Government to proceed in this manner.  I wonder why that is the case.  I assume the Minister is relying on the advice of the Attorney General.  Perhaps the amendment was not presented to us on Committee Stage because advice is outstanding.  I do not know.  It does not make sense for this Legislature to introduce something as significant as a carbon levy in this manner, as part of the Energy (Biofuel Obligation and Miscellaneous Provisions) Bill 2010.  The Labour Party does not support the manner in which it is being introduced.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	64	I hear what the Deputies have to say.  I understand their concerns and the points they are making.  I expected us to be able to debate this on Committee Stage.  The Bills Office made its call, in conjunction with the committee secretariat, as it is entitled to do.  During the Report Stage debate, we will have to recommit to Committee Stage in order to debate the amendment.  Provision will be made for amendments to be taken as part of that process.  I am glad we have briefed the Deputies opposite, at least, so they are not ill-informed about the basic provisions we are seeking to introduce.  It will be possible for further amendments to be proposed when the Bill goes to the Seanad.  The system allows us to consider the proposal and amend it, if necessary.  Deputy Sherlock's frustration with the workings of the House is understandable.  I share it on many occasions.  The reality behind this measure, from my perspective, is that we are seeking to introduce this measure by 1 July next.  That will give us a three-month lead-in time before revenues start to arrive in October.  It will also allow us to assist large energy companies for which this is a matter of urgency.  This will help us to maintain competitiveness and to retain jobs.  The nature of the workings of the House means that it would have been impractical to try to get a new Bill up and running and passed by the House in that sort of timeframe.  While I understand members' concerns about using a Committee Stage amendment in this way, I believe it is the best means of achieving the public policy objective of putting a price on carbon across the economy.  I am committed to proceeding in this manner because I see it as the only practical means of achieving our goal.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	65	How will we be able to propose amendments to the Minister's amendment?  What will happen in practice — it has happened before — is that when this section is recommitted to Committee Stage, we will debate it straight away and make a decision on it.  I do not see how we can put amendments together just after seeing the Minister's amendment for the first time.  Perhaps that is not fair, as we may see the amendment beforehand.  We will be debating the amendment for the first time.  The manner in which the legislative process works is that when an amendment is debated and accepted as part of a Bill, one takes advice on it before proposing a new amendment to the amended part of the Bill.  That process will not happen in this case unless some kind of delay is provided for between the recommittal to Committee Stage and the Report Stage itself.  That is not my understanding of how it works, however.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	66	I am speaking on the basis of my understanding that some amendments have already been submitted by Deputy McManus.  Perhaps the clerk to the committee can assist us in this regard.  As I understand it, we have an opportunity to arrange the timing of the debate in a manner that will give us some flexibility.  I would like as much time as possible to be available to consider these amendments.  I am in the hands of the clerk.  I understood it would be possible for the amendments that have started to come in to be reintroduced.
#MJNolan	unknown-#MJNolan-party	unknown-#MJNolan-dob	unknown-#MJNolan-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	67	Perhaps we will go into private session to allow the clerk to clarify the matter.The select committee went into private session at 11.05 a.m. and resumed in public session at 11.15 a.m.
#MJNolan	unknown-#MJNolan-party	unknown-#MJNolan-dob	unknown-#MJNolan-constituency	speech	unkown-language	2010-05-19 00:00:00	Prelude	68	In accordance with Standing Order 87, the following message will be sent to the Dáil:The Select Committee on Communications, Energy and Natural Resources has completed its consideration of the Energy (Biofuel Obligation and Miscellaneous Provisions) Bill 2010 and has made amendments thereto.
