#SeanArdagh	unknown-#SeanArdagh-party	unknown-#SeanArdagh-dob	unknown-#SeanArdagh-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	0	I welcome the Minister for Justice, Equality and Law Reform, Deputy McDowell, and his officials to this meeting for the purposes of resuming consideration of Committee Stage of the Private Security Services Bill 2001. Before we begin, I confirm that the committee will continue until 5.15 p.m., and it is then agreed that tomorrow morning the joint committee will consider the Criminal Justice Bill 2003 and the justice and home affairs briefing by the Minister regarding the meeting last week. Is that agreed? Agreed.
#SeanArdagh	unknown-#SeanArdagh-party	unknown-#SeanArdagh-dob	unknown-#SeanArdagh-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	1	Does the Minister wish to reiterate the points he made on the last occasion?
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	2	I outlined my belief regarding gardaí and members of the Defence Forces that, in respect of gardaí, the matter is properly dealt with in Garda legislation, not private security legislation. As regards the Defence Forces, I pointed out that it is a matter for the Minister for Defence to make up his mind but that he has more than ample opportunity to do so in that the Defence Forces regulations provide that off duty employment can be terminated or limited where it is likely to prove detrimental or prejudicial to the best interests of the Defence Forces. We cannot push the matter any further at this stage.
#JoeCostelloLAB	unknown-#JoeCostelloLAB-party	unknown-#JoeCostelloLAB-dob	unknown-#JoeCostelloLAB-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	3	I asked the Minister to clarify whether such an exemption is intended to apply to prison officers and fire brigade staff. It seems strange that he does include the Air Corps police fire service, the air navigation service and so on as part of the exemption. The amendment refers directly to section 3.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	4	Section 3 exempts people while carrying out the duties of their office or employment. If it were necessary to mention prison officers in that category I would have no objection to doing so, but I do not think it likely at the moment that prison officers will come within the scope of this. Even if they did, section 3(1)(e) covers an officer or employee of a Government Department or State agency while carrying out his or her duties. Thus, it is not necessary to do that.
#JoeCostelloLAB	unknown-#JoeCostelloLAB-party	unknown-#JoeCostelloLAB-dob	unknown-#JoeCostelloLAB-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	5	Are members of the Garda Síochána and the Defence Forces not employees of Government Departments?
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	6	They are not officers or employees of a Department, they are statutory officers. I do not think prison officers are in the same category as a matter of common law but police officers are independent State officers subject to the Garda Síochána, and they do not fall within the category of "employee" and are not officers of a Department. For instance, a member of the Garda Síochána is not an officer of the Department of Justice, Equality and Law Reform. Sometimes I am sued in certain circumstances and I often wonder why because I am not vicariously liable for police activity.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	7	The Minister is a clear target, he puts his head up a lot. I still think that amendment No. 48, which relates directly to members of the Garda and the Defence Forces, is a belt and braces job to ensure there is no ambiguity about this. Thus, one does not have to wait for the Garda Commissioner or the Chief of Staff of the Defence Forces to lay down the regulation and make it clear to their members that they are not to be employed by certain people. In that regard, the Minister should look at this again. It is important that we exclude those particular groupings from those particular jobs. Even if he cannot accept this point at this stage, I would hope that the Minister will have another look at it on Report Stage.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	8	I move amendment No. 19:
In page 8, subsection (1), lines 16 to 18, to delete paragraph (d) and substitute the following:"(d) an authorised officer, or authorised person, within the meaning of the Air Navigation and Transport Acts 1936 to 1998,”.This is essentially a drafting amendment to substitute the revised text of section 3(1)(d) which was supplied by the Department of Transport.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	9	I move amendment No. 20:
In page 8, subsection (2), line 28, after "services" to insert "or security services of a particular class".Section 3(2) provides that the private security authority may, in exceptional circumstances by order, exempt from the Bill's provisions persons who are providing security services at a specified place, event or function. Amendment No. 20 is designed to permit an exemption for a particular class of security services, as opposed to all security services.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	21	They may be prosecuted in certain circumstances.
#JoeCostelloLAB	unknown-#JoeCostelloLAB-party	unknown-#JoeCostelloLAB-dob	unknown-#JoeCostelloLAB-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	22	There will be a €500 fine.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	23	For each person employed without a permit the fine might add up to a fair old amount.
#JoeCostelloLAB	unknown-#JoeCostelloLAB-party	unknown-#JoeCostelloLAB-dob	unknown-#JoeCostelloLAB-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	24	Would the legislation apply to marches or events like the huge anti-war march of 100,000 people through the streets in March 2003 and the stewarding of it? Is the Bill relevant to a function of that nature - some form of march on the streets? Would organisers of such an event have to apply for an exemption if it was thought it might be an exceptionally large occasion? Take the example of the anti-bin tax march or the march to Mountjoy Prison in support of Deputy Joe Higgins.
#SeanArdagh	unknown-#SeanArdagh-party	unknown-#SeanArdagh-dob	unknown-#SeanArdagh-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	25	Does the legislation apply to anarchist-type marches?
#JoeCostelloLAB	unknown-#JoeCostelloLAB-party	unknown-#JoeCostelloLAB-dob	unknown-#JoeCostelloLAB-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	26	What about a candlelit march to Mountjoy?
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	27	The particular subsection we are amending is designed to deal with a specified place, event or function——
#JoeCostelloLAB	unknown-#JoeCostelloLAB-party	unknown-#JoeCostelloLAB-dob	unknown-#JoeCostelloLAB-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	28	I seek clarification because it would have particular relevance if it does extend to the stewarding of marches of protest as they are quite regular. One is taking place outside the Dáil at the moment.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	29	"Security service" is defined as meaning a "service provided by any one of the following persons", carried out according to the subsection, in the subsection as follows, "in the course of an employment or as an independent contractor but, except in the case of a door supervisor or security guard, does not include a service provided by a person whose principal function is to provide it only for the person's employer." If, in the unlikely event that Group 4 security was brought in to marshal an anti-war march, it would be liable in so far as the service it was providing fell within the definition of the Act. It has to be acting in the course of employment or as an independent contractor for reward. I do not believe, therefore, that anti-war marches or Reclaim the Streets events would be covered.
#SeanArdagh	unknown-#SeanArdagh-party	unknown-#SeanArdagh-dob	unknown-#SeanArdagh-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	30	Could services of a particular class provided by Group 4 be exempted?
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	31	It would be possible. A commercial enterprise could, in theory, be exempted from the provisions of the Act in certain circumstances.
#SeanArdagh	unknown-#SeanArdagh-party	unknown-#SeanArdagh-dob	unknown-#SeanArdagh-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	32	To what service does the Minister contemplate this applying?
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	33	If it were decided in the context of a Papal visit, for example, that 5,000 stewards would be needed in the Phoenix Park and they were to receive €20 each, they would be acting as an independent contractor for reward. In those circumstances it would not be practicable to require them to be registered providers of services under the Act. Another possibility would be the provision of security services at, say, a motor rally, which required stewards scattered over a 40-mile course. It might be decided that it was not reasonable to say that only registered security services could be remunerated for providing the service.
#SeanArdagh	unknown-#SeanArdagh-party	unknown-#SeanArdagh-dob	unknown-#SeanArdagh-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	34	A security firm that has all of the accoutrements of a semi-military organisation and is a security company under the Act——
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	35	It is very unlikely that it would ask for an exemption. All of its employees would be on the register.
#SeanArdagh	unknown-#SeanArdagh-party	unknown-#SeanArdagh-dob	unknown-#SeanArdagh-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	36	The company might need to take on professional security personnel as organisers.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	37	It might need effectively to take on a reserve force. In those circumstances, if it were reasonable, the authority might take the line that it cannot ask everybody to go through a registration process.
#SeanArdagh	unknown-#SeanArdagh-party	unknown-#SeanArdagh-dob	unknown-#SeanArdagh-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	38	That is something we might come back to.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	39	I move amendment No. 21:
In page 8, subsection (2), line 29, after "function" where it secondly occurs to insert "or in connection with a visit to the State by a specified person".Section 3(2) provides that the Private Security Authority may, in exceptional circumstances, exempt from the provisions of the Act persons who are providing a security service at a specified place, event or function. Amendment No. 21 is designed to deal with visits to the State by a specified person. That might apply to visiting Heads of State, Papal visits and so on. It could be President Castro.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	40	I move amendment No. 22:
In page 8, subsection (2), line 33, to delete "thereat" and substitute "there".This is simply an effort to make legislation more readable for the ordinary person. There has been a movement in recent times to make legislation more easily understood. It is a very simple amendment.
#SeanArdagh	unknown-#SeanArdagh-party	unknown-#SeanArdagh-dob	unknown-#SeanArdagh-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	41	I appreciate the spirit in which the amendment is made, but I do not know whether the Minister can accept it because it might change the meaning.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	42	I am sure he can.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	43	"There" refers to a place. "Thereat" is an adverb. It is a bit antiquated. I will examine it again for Report Stage. I am surprised that the parliamentary counsel is using the word "thereat". There is now a manual of simplified English in legislation. Some of what it bans, I believe, is open to question. Latin words such as bona fide are not to be used.
#SeanArdagh	unknown-#SeanArdagh-party	unknown-#SeanArdagh-dob	unknown-#SeanArdagh-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	44	Will the Deputy withdraw that amendment?
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	45	I will do so on the basis that the Minister will re-examine it.
#JoeCostelloLAB	unknown-#JoeCostelloLAB-party	unknown-#JoeCostelloLAB-dob	unknown-#JoeCostelloLAB-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	46	This section relates to the thorny issue of expenses which was alluded to earlier. It is fairly blunt. It provides that the expenses incurred by the Minister in the administration of this Act shall, to such extent as may be sanctioned by the Minister for Finance, be paid out of moneys provided by the Oireachtas. It gives the impression that, once the Minister for Finance sanctions the expenditure, the administration of the Act will be paid for by the Oireachtas. The Minister has now told us that is not the case. Has he had any further thoughts as to how the levy will be introduced? Will it relate to both the firms and the individual licensees? How is it to be charged? Will the charge be based on the size of a firm or individually? Will it be a licensing fee or a general levy? Will there be sufficient money to make it fully self-financing?
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	47	We had a lengthy debate on this the other day. It is opportune to examine it again. The Minister has had time to reflect. A whole week has elapsed. I am sure the Minister has not had much else to do but reflect on what we spoke about last week.
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	48	Nothing else has been on my mind.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	49	Minor peripheral issues would not have detained the Minister for long, so I am sure he thought about this. During last week's debate and subsequent to discussing the issue of expenses, we discussed the question of companies registering offshore. This brings us back to the Minister's statement that this body will be self-financing. If companies register offshore in another EU state, as they are entitled to do under this legislation, a few very small operators could be left carrying the can. How can we levy companies that have registered offshore? Will there be some form of registration fee here? How will it be dealt with? What we do not want is major bodies - and they are the ones who will look closely at this and who will reap any advantage there is to be reaped - registering offshore because it pays them to do so, leaving small Irish operators to carry the can for regulating the whole business and experiencing difficulty in doing so. Has the Minister had any further thoughts on this, and can he clarify the matter further?
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	50	This reminds me of a colleague of mine at the Bar who on one occasion was cross-examining a witness and not getting an answer. He asked whether the witness had not heard the question or could not answer it. The witness turned to him and said, "Shut up, I am still thinking". I have been thinking about the points raised by the Deputy since our last discussion. It is a significant issue. I am very conscious that an operator could go to another EU member state which had little or no financial obligations, for whatever reason, in respect of a similar system provided there and that we could find ourselves seriously undermined. There are various solutions in principle to it. One solution is, while recognising the right of EU member state registered bodies to carry out business in Ireland, to require those who are mainly operating here to pay a licence fee based on reality rather than on theory, based on the fact that they are operating here although they are registered abroad. It is not easy to resolve this. We are considering it, but we need more time to think it through. I am grateful to the Deputy for raising the matter. I do not want to create a loophole through which all our potential funding disappears. There are answers. It is not that the difficulty makes the whole scheme unworkable but it will have to be addressed. At this stage I cannot say what line we will take on it.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	51	I wish to add a small rider. When the Minister is considering this matter perhaps he would bear in mind the report prepared on the private security industry, which his secretary has beside him, and the figures quoted therein. If I recall correctly, the figure quoted was about £200,000 to run an office on an annual basis. The Chairman would have more experience of this than me. It is unreasonable to suggest that an office comprising a chief executive, secretaries, equipment and so on, which is to be the authority for the number of bodies that are to be established, could be run on an annual basis for £200,000.
#SeanArdagh	unknown-#SeanArdagh-party	unknown-#SeanArdagh-dob	unknown-#SeanArdagh-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	52	Would it also include the complaints process?
#MichaelMcDowellPD	unknown-#MichaelMcDowellPD-party	unknown-#MichaelMcDowellPD-dob	unknown-#MichaelMcDowellPD-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	53	Yes.
#PaulMcGrath	unknown-#PaulMcGrath-party	unknown-#PaulMcGrath-dob	unknown-#PaulMcGrath-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	54	I will give an example of how these things can get out of hand. A few years ago the Department of Health and Children established an office whereby it appointed a chief executive to negotiate on behalf of the health boards and to talk with the Department. There were eight health boards at the time, there are now ten. If I recall correctly, the cost of running that office was in the region of £500,000. Given what it is proposed to do in this case and the number of bodies with which the authority will have to deal, it will come across problematic issues. The authority will have to deal with real problems and complaints to a greater extent than the office to which I have referred. I advise caution in terms of how it could be self-financing or how it could be financed through the Department. We do not want it to fail because of lack of funding, because it is not working properly or because it is not doing its job. The last thing we need is that legislation should be introduced that is unable to do the job. In that context, the Minister should look carefully at the type of structure being considered and the costs involved. The Office of the Ombudsman might be a similar organisation, though it would have more bodies.
#JoeCostelloLAB	unknown-#JoeCostelloLAB-party	unknown-#JoeCostelloLAB-dob	unknown-#JoeCostelloLAB-constituency	speech	unkown-language	2003-10-07 00:00:00	Prelude	55	Part of the problem is that we do not know how many people or firms are involved in the industry. The figure of 800 firms was given. There were varying figures given for the numbers employed in the industry ranging from 11,000 to 12,000 and up to 30,000. Therefore, we do not know the actual number of people or firms involved. This will not be known until we begin to register and license. It would be impossible at this stage to know what the actual cost will be, given that the authority will operate on a part-time basis with, presumably, full-time staff. There is no indication of the number of staff required. There would be a chief executive officer and a part-time authority. The Minister will have to play it by ear for a period. The question is whether the Minister for Finance would be prepared to pick up the tab initially. The process could be long drawn out unless there is a commitment to employ adequate staff to carry out the work in a short period. How long will it take to compile the register and license each of the individuals, if people have to be vetted and checks made, as provided for in the legislation? This could be a long drawn out process, if we have to wait for the money to come in from the bodies that will be licensed or registered or both. We may find ourselves this time next year or the following year with an unregistered security service. Presumably, once the legislation is passed, unless there is a separate ministerial order, we would have opened up the industry to competition from abroad. Perhaps the Minister's approach should be that initially the costs would be borne by the State but when the extent of the firms and employees in the industry is known, a mechanism could be devised for a costing on the licence or registration that would be appropriate to ensure competition and efficiency in getting the work done.
