#BrianCowen	unknown-#BrianCowen-party	unknown-#BrianCowen-dob	unknown-#BrianCowen-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	0	I propose to take Questions Nos. 1 to 3, inclusive, together.My Department was represented on the national emergency response co-ordination committees, established each time on an ad
hoc  basis, with regard to the two severe weather situations of recent months.  The committees were chaired by the Department of the Environment, Heritage and Local Government as the lead Department.  The committee responding to the flooding crisis included a principal officer from my Department and members of the Government Information Service.  The committee responding to the snow and sustained freezing conditions included these officers and an assistant secretary from my Department.  I am satisfied with the role they played in both situations.My Department is specifically nominated in the framework for major emergency response with regard to the co-ordination of information for communication to and through the media.  This role was managed by the Government Information Service, which among other activities organised daily briefings for journalists with the relevant Ministers.  I am glad to take this opportunity to express once again my and the Government's appreciation of the work of local authorities, the Garda Síochána, the Health Service Executive, the Defence Forces, Civil Defence and other statutory bodies, as well as Departments, in responding to the two severe weather events.  I am also glad to recognise the very valuable contribution made by voluntary organisations and individuals in providing assistance to their fellow citizens during those events.
#BrianCowen	unknown-#BrianCowen-party	unknown-#BrianCowen-dob	unknown-#BrianCowen-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	11	I did not suggest that there was an implied criticism by the Deputy in respect of any of the efforts being made.  I just made the point that perhaps the agreement, subject to ratification, could form the basis upon which a greater degree of redeployment will be possible.  I refer to the flexibility that will be needed, quite apart from the obvious flexibility in emergency situations to which I have already referred.  The structural changes that could be envisaged as a result of a ratification of the agreements reached would greatly assist in covering particular service needs to which the Deputy would refer under existing arrangements.On the question of salt supplies, local authorities generally maintain ten days' supply for gritting the priority roads and in most years such a stock is more than adequate.  It will be necessary for the Department of Transport and local authorities to consider the costs and benefits of maintaining a supply to sustain gritting work for a longer period.  Extra stocks of salt and the necessary storage facilities would cost extra and this must be measured against anticipated requirements.The question of harnessing community effort by, for example, local authorities supplying salt to local communities and business partners can be examined.  Another area that will be considered is the question of householders and businesses in urban areas clearing snow and ice from footpaths outside their premises without incurring a legal liability which might expose them to claims for negligence.  The Department of Transport has a review group looking at all of these matters, and covering both the flooding and the cold weather period.On the question of water services and water conservation, there is a number of issues that arise from which lessons can obviously be learnt during this period of which we speak.  Much of the problem during the cold weather arose from people letting water run continuously from fear of pipes freezing.  That is not an acceptable practice.  Freezing can be avoided by good insulation of pipes.  There is much work that can and should be done.  The emphasis on energy efficiency and savings in that area using existing schemes, some of which are directed to local authority estates, would all give an opportunity for county councils to think creatively about how they can ensure that some of these practical problems are avoided in the future.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	12	I have two questions for the Taoiseach, primarily following on our experience of flooding in Cork on 19 November last.  I agree with what he had to say about the response by local authority workers and many voluntary organisations, which, in some cases, was heroic.  However, there are lessons to be learnt.Will the Taoiseach commission an independent inquiry into the flooding of Cork city at that period?  There has been an internal inquiry in the ESB.  There have also been reports by Cork City Council and Cork County Council, and the all-party Oireachtas committee is looking at it.  However, the Taoiseach's Ministers and backbenchers in Cork have supported calls for an independent expert inquiry into how the flooding occurred and how we can ensure, through management of water flows through Inniscarea dam, in particular, and further upstream, we can reduce the likelihood of it recurring.  Everyone agrees that the 540 tonnes of water a second coming through the dam at its peak during the flood period is what caused most of the damage in Cork city.  Will there be an independent inquiry?  The Minister of State, Deputy Kelleher, in particular, has been vocal on this issue?A failing occurred with regard to the information flow between the ESB and Cork City Council and, most importantly, between those bodies and the public.  Technology provides interesting solutions which are being adopted elsewhere, in particular, in the UK in a number of towns where flooding is a problem.  The Office of Public Works has recently begun a tendering process to examine a new system whereby people could be warned via mobile telephone about flooding.  However, the tender is limited to flooding.  Has the national emergency response committee discussed broadening the response to include other emergencies?  Will the Taoiseach consider broadening it to general emergency responses?
#BrianCowen	unknown-#BrianCowen-party	unknown-#BrianCowen-dob	unknown-#BrianCowen-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	13	The Office of Public Works is the lead agency for dealing with flooding problems.  It has had much success with considerable investment, approximately €150 million over the past several years, in flood relief projects.Regarding what further matters need to be examined as to what happened in Cork in November, as Deputy Coveney said, consideration is being given by the Oireachtas environment committee to various reports and the internal reports from the Cork local authorities.  There is also a Lee Valley catchment area review to be done by the Office of Public Works to see what occurred in November.  While I am not as familiar with the events as the Cork Deputies would be, the November floods there were regarded as an unusual event to have taken place.  However, in no way should that minimise the reality for the people on the ground as a result of what happened.Lessons will be sought to be learned from the events.  As to whether any further investigation is warranted, we should await the outcome of the ongoing considerations.  A similar question addressed to the line Minister would provide a more accurate and detailed response to this as I do not have the information requested before me.
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	14	During the recent severe weather emergencies, there was talk for a while on local and national radio about getting the Army to help out.  Does the Taoiseach believe the Army should have been brought out in certain cases during the flooding in November and the frosts in January?  What lessons have been learned from these events?In his reply to Deputy McManus, the Taoiseach referred to the damage done by frost to the road network.  The Wexford local authority claims it is not getting adequate funding to restore its road infrastructure to the condition it was in before these events.  Some roads in County Wexford, as a result, are impassable.  I know from speaking to colleagues from other parts of the country that their road networks are in a similar state.
#SeamusKirk	unknown-#SeamusKirk-party	unknown-#SeamusKirk-dob	unknown-#SeamusKirk-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	15	These questions should be directed to the relevant Minister.
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	16	A Cheann Comhairle, in all fairness the Taoiseach raised some of these matters in his reply to which I am responding.  The Taoiseach comes from a rural constituency himself so will be aware of the importance of the rural road network.  Has he any comment to make on the condition of the rural road network?
#BrianCowen	unknown-#BrianCowen-party	unknown-#BrianCowen-dob	unknown-#BrianCowen-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	17	The Army is always available to assist the civic authorities where called upon and available.  In many parts of the country in which the Army was required during the flooding, it was very good at sand-bagging operations and arranging preventive measures at danger points in many towns at risk of flooding from their rivers.  I saw all of these actions taking place.  Where its assistance was sought by a local emergency co-ordination committee, it provided personnel and did an excellent job.  It was also an opportunity for the wider civil community to recognise the Army's professionalism in all that it does.  I always have been impressed by how training, discipline and effectiveness are brought to bear on situations I have seen at first hand.  It is commendable.Regarding the roads, in exceptional situations such as this, local authorities estimated a sum of €180 million, subject to further assessment.  Some €240 million was provided by the Department of Transport to be used by local authorities with their full discretion.  My understanding from my area is that, on a cross-party basis, councillors were anxious to ensure the money went to those roads this year, even if it meant deferring other improvement works in other parts of the county through projects that were not of the same magnitude of importance in terms of providing a basic road network in those areas.  That work has been deferred, which is sensible.  We all know there is no money and when one does not have money, one must use what is there to best effect.  That is a case of local authorities using their local know-how and local engineers accurately assessing where the real need exists in the course of this year.  Some of these areas are coastal areas and require particularly quick attention because of the impact of frost and severe cold on the passibility of some of these roads.  Not every problem can be solved overnight.  Many of the more serious ones are being attended to because of the discretion being applied to spending allocations.
#JamesBannon	unknown-#JamesBannon-party	unknown-#JamesBannon-dob	unknown-#JamesBannon-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	18	Does the Taoiseach agree the Minister for Transport let down the people of Ireland by not returning from holidays to have a more hands-on approach to the big freeze?
#SeamusKirk	unknown-#SeamusKirk-party	unknown-#SeamusKirk-dob	unknown-#SeamusKirk-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	19	I ask Deputy Bannon to put a question.  Imparting information is not allowed during Question Time.
#LizMcManus	unknown-#LizMcManus-party	unknown-#LizMcManus-dob	unknown-#LizMcManus-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	20	He asked a question.
#JamesBannon	unknown-#JamesBannon-party	unknown-#JamesBannon-dob	unknown-#JamesBannon-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	21	The people of Ireland feel they were left down because there was inadequate salt and many issues were not addressed at that juncture.  Does the Taoiseach agree the recruitment embargo on outdoor staff is seriously affecting the restoration of our county and regional roads?  Some roads in the midlands, including in the Taoiseach's area, are still closed because of the big freeze and damage caused by water.
#BrianCowen	unknown-#BrianCowen-party	unknown-#BrianCowen-dob	unknown-#BrianCowen-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	22	What roads are closed in my area?  Deputy Bannon should name one.
#JamesBannon	unknown-#JamesBannon-party	unknown-#JamesBannon-dob	unknown-#JamesBannon-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	23	Does the Taoiseach support the establishment of a River Shannon authority to manage the River Shannon?  Over 40 bodies have a vested interest in the River Shannon.  The Taoiseach must bring these bodies together to manage the River Shannon.  That is not happening and all we have from the Government is a proposal to set up a committee to prepare another report.  The people of Ireland know we have had too many reports with no action by the Government.  I would appreciate the views of the Taoiseach on the River Shannon authority, set up by statute to deal with this problem once and for all in the midlands region.
#BrianCowen	unknown-#BrianCowen-party	unknown-#BrianCowen-dob	unknown-#BrianCowen-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	24	I thank Deputy Bannon for the close attention he pays to my area as well as his own.  I thought he would have been kept busy enough in Longford and Westmeath but I am sure Deputy Enright is delighted to hear Deputy Bannon is down around her country to do a few jobs.
#JamesBannon	unknown-#JamesBannon-party	unknown-#JamesBannon-dob	unknown-#JamesBannon-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	25	The Taoiseach let down the people of Longford.
#BrianCowen	unknown-#BrianCowen-party	unknown-#BrianCowen-dob	unknown-#BrianCowen-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	26	Deputy Bannon should keep it up; he is not making an impact on me.It is important to point out the work of the committee was done and nothing was left undone as a result of the presence or absence of the Minister for the few days he was on a family holiday.  Political capital has been made at this stage.  Many prominent Opposition politicians were not around in that period but I have not checked where they were holidaying.
#LizMcManus	unknown-#LizMcManus-party	unknown-#LizMcManus-dob	unknown-#LizMcManus-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	27	The Taoiseach's party is in government.
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	28	The Taoiseach could have left someone in charge.
#BrianCowen	unknown-#BrianCowen-party	unknown-#BrianCowen-dob	unknown-#BrianCowen-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	29	Being in Government, I ensured I was here for all of that week, as one would expect.
#JamesBannon	unknown-#JamesBannon-party	unknown-#JamesBannon-dob	unknown-#JamesBannon-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	30	I did not see the Taoiseach in his waders around the Shannon area.
#SeamusKirk	unknown-#SeamusKirk-party	unknown-#SeamusKirk-dob	unknown-#SeamusKirk-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	31	Deputy Bannon, please.
#BrianCowen	unknown-#BrianCowen-party	unknown-#BrianCowen-dob	unknown-#BrianCowen-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	32	I did not head up to that part of the country.
#TerenceFlanagan	unknown-#TerenceFlanagan-party	unknown-#TerenceFlanagan-dob	unknown-#TerenceFlanagan-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	33	The Taoiseach was too busy.
#BrianCowen	unknown-#BrianCowen-party	unknown-#BrianCowen-dob	unknown-#BrianCowen-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	34	The Deputy's idea of water sports differs from mine.
#TerenceFlanagan	unknown-#TerenceFlanagan-party	unknown-#TerenceFlanagan-dob	unknown-#TerenceFlanagan-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	35	The Taoiseach forgot about the people.
#BrianCowen	unknown-#BrianCowen-party	unknown-#BrianCowen-dob	unknown-#BrianCowen-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	36	The Deputy raised an important point on co-ordination of management of the Shannon River, an issue upon which there have been several discussions in the past and one which cannot be easily resolved.  The Deputy will be aware there are historical issues in regard to bog development in that area on which the silting impact has been considerable, a problem also not easily resolved.I recall the former President of the Irish Farmers' Association, IFA, Mr. Tom Clinton, was at that time involved in a major review in regard to whether the Shannon could be drained, a claim often made by politicians of various hues and cries down the years.  The problem is that the drop from Athlone to Meelick is only a number of feet.  If my memory serves me correctly that drop is not even 15 feet.  When one considers the amount of water coming down that type of terrain the surrounding area becomes almost like a saucer.  Many land reclamation projects and tributary systems have been undertaken in the area and anyone with a knowledge of it, as I have, knows that if one walks along the Shannon banks and the callows during the summer one will see houses which have not been inhabited for years, some of which are no longer habitable.  This is an area in which people lived prior to that land drainage work.  The problem is huge.The suggestion from somebody on the back of a tractor every time a flood occurs that this is a problem that can be easily solved, apart from anything else, is not in line with geological reality.
#LizMcManus	unknown-#LizMcManus-party	unknown-#LizMcManus-dob	unknown-#LizMcManus-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	37	I presume the Taoiseach is not referring to Deputy O'Rourke.
#BrianCowen	unknown-#BrianCowen-party	unknown-#BrianCowen-dob	unknown-#BrianCowen-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	38	No, I do not refer to Deputy O'Rourke.  There is a particular Deputy, whom I will not name, in that general area who makes a habit of standing on the back of a tractor, on a couple of occasions with Mr. Jim Fahey, bemoaning the fact that we have a flooded Shannon.
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	39	Much depends on the back of whose tractor one is standing.
#BrianCowen	unknown-#BrianCowen-party	unknown-#BrianCowen-dob	unknown-#BrianCowen-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	40	Efforts are being made to try to pull this together.  There are various authorities involved, including the local authorities, the OPW and the ESB, which historically had a role in this.  The role of the ESB is often questioned by locals in the area in terms of how quickly water is allowed down the river bearing in mind the Ardnacrusha situation.  There are as many views on that issue as there are people living in that region.  It is an issue with which I am familiar and one that I would like to see improved.  I do not believe the solution is to remove from the Shannon River some people who already have responsibility in this area.  We must try to pull together in a coherent manner the various interests involved.  We must try to see what is possible.  The view of some people on draining the Shannon is a little simplistic and does not do justice to the complexity of the issues and interests involved.I am acutely aware of the problem and I have asked the Minister of State at the Office of Public Works to address this issue in a coherent manner and to revert to me on it.
#SeamusKirk	unknown-#SeamusKirk-party	unknown-#SeamusKirk-dob	unknown-#SeamusKirk-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	41	I will allow a brief question from Deputy Kenny.
#EndaKenny	unknown-#EndaKenny-party	unknown-#EndaKenny-dob	unknown-#EndaKenny-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	42	I apologise to the Taoiseach for not being here earlier but I was in the Department of Finance dealing with other matters.Perhaps I could make a helpful suggestion.  Part of the national emergency response is the air-sea marine rescue service.  A contract in respect of helicopters will soon be signed with a major international company.  Deputy Deasy and other Members from the south-east have raised this matter with me.  In view of the helpful comments by the Taoiseach last week on committees being able to do their work, perhaps that process could be considered by the Oireachtas Joint Committee on Transport prior to signing the contract.  I suggest this on the basis of Waterford not wishing to be left out in terms of a 24 hour service.  There are valid reasons for delivering on that.I understand the Air Corps is interested in examining what it can provide, in terms of cost efficiency and effectiveness for the State.  A letter has been received by the chairman of the Joint Committee on Transport and it would be a very good exercise for politicians from all parties to look at a process like this and be able to do their work before there is a sign-off for a ten year period.  It might be possible to deliver projects in a more cost-effective and comprehensive way.  I do not know all the details but it would be a very valid exercise for the Oireachtas joint committee and I would like the Taoiseach to give his support to that.
#BrianCowen	unknown-#BrianCowen-party	unknown-#BrianCowen-dob	unknown-#BrianCowen-constituency	speech	unkown-language	2010-03-30 00:00:00	Prelude	43	On foot of many comments from Deputies on all sides, the Minister, Deputy Dempsey, is examining whether there is any way in which he can examine the matter constructively in order to see if there is a way forward.  There were questions on transport last week, during which this matter was dealt with in detail.  The Minister indicated he is examining whether anything can be done.  I do not want to pre-empt his consideration.  It is not a question of him not trying to see if there is a way forward.
