#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	0	I welcome and thank members and the Minister. They are very welcome to the Select Committee on Children and Youth Affairs. The Dáil referred the affordable child care Bill 2017 to our committee on 1 February. Today's meeting of the select committee will consider the Bill on Committee Stage and report back to the Dáil. Before proceeding with the business, I remind members and those in the Public Gallery that mobile phones should be switched off completely or to aeroplane mode for the duration of this meeting as they interfere with our broadcasting systems. Even when on silent mode they tend to do so. I also remind Members of the long-standing parliamentary practice to the effect that they should not comment on, criticise or make charges against a person or body outside the House or an official either by name or in such a way as to make him, her or it identifiable. I welcome the Minister for Children and Youth Affairs, Deputy Zappone, and the officials from her Department. In advance of the Minister's opening statement, I wish to bring a matter of correspondence to the attention of the committee and the Minister because it relates to Scouting Ireland. As the Minister, Deputy Rabbitte and I will be aware, this matter entered the public domain at the end of last week. All three Members of the Oireachtas present made statements to express concern about the matter. I wish to bring it to members' attention that I received correspondence from Scouting Ireland's chief executive officer, Dr. John Lawlor, yesterday and have had conversations with him since. I have formally requested, with the agreement of members of the committee, to write to Scouting Ireland and request a copy of its child protection procedures for the consideration of this committee. I have no doubt but that this will also be circulated to the Minister. I will make arrangements for this letter to be circulated to all members of the committee because it is addressed to me as Chairman of the committee. I just wanted to put that into the public domain. Whether we consider requesting Scouting Ireland to come before us is a matter which we can consider at a later date. While we do not have compellability powers in respect of Scouting Ireland as an organisation, I have spoken with the organisation and Dr. Lawlor indicated he would not be averse to attending to discuss the matter in the future. I understand matters are under investigation within the organisation. This is no secret; Dr. Lawlor himself has put it on the public record. Therefore, we would not wish to pre-empt or predetermine any of these matters but I wanted to put that on the record for the members present because I was not able to reach a number of members last week. I was out of the country on business pertaining to another committee. I think that concludes that part.
#DeniseMitchell	unknown-#DeniseMitchell-party	unknown-#DeniseMitchell-dob	unknown-#DeniseMitchell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	1	I agree with the Chairman because my understanding is that Scouting Ireland itself is undertaking a review-----
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	2	Correct.
#DeniseMitchell	unknown-#DeniseMitchell-party	unknown-#DeniseMitchell-dob	unknown-#DeniseMitchell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	3	-----and it will take a few months. Therefore, it would probably be best, if we were to call them in, to do so afterwards-----
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	4	At a later stage.
#DeniseMitchell	unknown-#DeniseMitchell-party	unknown-#DeniseMitchell-dob	unknown-#DeniseMitchell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	5	-----because they may come in and not be able to answer anything.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	6	I concur with Deputy Mitchell. I think for us to get involved in matters of such importance to the organisation would predetermine them. While I have the greatest of respect for members, a question might be asked in a particular way and answered in a particular way that might prejudice Scouting Ireland's internal findings on the matter.Once a copy of the child protection policy within Scouting Ireland is provided to the committee, I will circulate it to all members and the Minister. I will also copy the Minister on the letter for her information.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	7	I very much welcome the interest of the committee in the issues the Chairman has identified and raised. As the committee, I am sure, is aware I have also sought an urgent report. I welcome the interest of the committee and it can only help us move forward on the matter.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	8	I thank the Minister.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	9	I am pleased to have an opportunity to bring the Childcare Support Bill to Committee Stage. When I introduced the Bill to the House on Second Stage I was very grateful for the strong support I received from all sides of the House and the very constructive tone contained in all suggestions made. I acknowledge and thank Deputies and the Chairman for their support of the Bill and especially for the detailed attention they have given to preparing amendments. In particular, I note in advance that I am pleased to accept in principle an amendment to Schedule 2 to the Bill on the purpose of referrals for child care support from Tusla, the Child and Family Agency. Similar amendments on the issue were proposed by Deputies Rabbitte, Mitchell and Funchion. We can discuss the detail later in the meeting but I want to signal at the outset that I accept the amendments in principle and I thank the Deputies for their valuable contribution. I also want to signal in advance that I plan to propose a small number of further amendments on Report Stage. These amendments will principally involve minor changes to the Child Care Act 1991 to facilitate the registration of school-aged child care services with Tusla. As such, they result from my announcement last December that I planned to introduce the regulation and registration of school-aged child care providers during this year in order that these providers can take part in the affordable child care scheme at the outset. To achieve this outcome, I plan to propose a number of amendments to the definition of school-aged services, which are set out in the Child Care Act 1991, so as to clarify more precisely the scope of such services and to expand the definition to include children up to 15 years of age. The definition is currently limited to primary school children, and the proposed amendment will ensure it aligns instead with the age limit of 15 years as set out in the affordable child care scheme. The introduction of school-aged child care regulations will also have knock-on implications for the exemptions from registration for childminders, which are also set out in the Child Care Act at section 58L. Therefore, I intend to propose two related amendments to section 58L to ensure unintended consequences for childminders do not arise. At the same time, I want to confirm that all registered childminders will be eligible to participate in the affordable child care scheme. We will not only seek to maintain but to grow over time the number of registered childminders. The report of the expert group on childminding, which I commissioned, was submitted to me last month and will be published by the group shortly. I intend to develop an action plan setting out short-, medium- and long-term actions in response to the report to support the childminding sector on a path towards registration.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	10	I note full attendance and I thank the Deputies for their attendance. I intend to try to conclude business on this matter this afternoon. For the information of members, the following amendments are being grouped for the purposes of debate: amendments Nos. 1, 2, 6 and 22; amendments Nos. 5 and 9; amendments Nos. 8 and 26; amendments Nos. 11 and 32; amendments Nos. 12 to 14, inclusive, and 30; amendments Nos. 16 to 18, inclusive; and amendments Nos. 20, 21 and 23. As the members who proposed amendments Nos. 15, 19, 25 and 27 are aware, they have been declared out of order. Other amendments that are not grouped can be discussed individually and as all members are aware, there will be an opportunity to discuss each section. I thank the Minister for her opening remarks.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	11	Amendments Nos. 1, 2, 6 and 22 are related and may be discussed together.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	12	I move amendment No. 1:In page 5, to delete line 26 and substitute the following:" "civil partner" shall be construed in accordance with section 3 of the Act of 2010;".These amendments are technical drafting amendments. Amendments Nos. 1 and 2, which clarify the definitions of "civil partner" and "cohabitant", are required by virtue of the fact that the definitions of "civil partner" and "cohabitant" in the Civil Partnership and Certain Rights and Obligations of Cohabitants Act 2010 are implicit in the sections of the Act to which the amendments refer, rather than explicit.  Amendment No. 6 to section 6 relates to the outsourcing arrangements for the school scheme administrator. While subsection (1) of amendment No. 6 allows outsourcing of functions conferred on the scheme administrator, subsection (2) specifies that these functions may include the making of payments. However, in subsection (2) there are no particular specified payments to which "the payments" refers. Amendment No. 6, which is purely a drafting amendment, therefore proposes to delete the word "the". Amendment No. 22 is also a technical drafting amendment to provide clarity that the child to whom the paragraph refers is the child for whom an application is being made for financial support under the scheme.
#SeanSherlock	Labour	16519	Cork East	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	13	I liked the original wording on line 29, which states, "two persons who are married to each other". Perhaps the Minister will clarify the reason for this change as the section as drafted seemed reasonable and in keeping with the idea of simplifying the language around legislation.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	14	Whereas I appreciate the Deputy's sentiment the phrasing used in the published Bill would be appropriate if the definitions in the 2010 Act took the form of '"X" means etc.'.
#SeanSherlock	Labour	16519	Cork East	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	15	I thank the Minister.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	16	I move amendment No. 2:In page 5, to delete line 27 and substitute the following:" "cohabitant" shall be construed in accordance with section 172(1) of the Act of 2010;".
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	17	I move amendment No. 3: In page 6, lines 2 to 4, to delete all words from and including "at" in line 2 down to and including "section 15" in line 4.This amendment ensures that the definition of a couple and, therefore, of a partner, continues to apply at all relevant times and not just at the two points in time specified in the published Bill, namely, when making an application or when commencing payments. While those two points in time are critical, as the definition of a couple determines whose income is assessed when an application is made the current wording omits any reference to the timing of reviews under section 17. If a couple separates after the time they were awarded a subsidy and the applicant then seeks a review of the income, it is the applicant's current status as a lone parent that should matter and not his or her status at the time the application was made, namely, when they were still a couple. By deleting any reference to points in time the proposed amendment ensures that the definition will apply at all relevant times.
#KathleenFunchion	unknown-#KathleenFunchion-party	unknown-#KathleenFunchion-dob	unknown-#KathleenFunchion-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	18	I welcome this proposal. It makes sense because entitlement to various schemes is based on previous income and if a couple separates one of them ends up having to argue his or her case in that regard. I welcome the common sense approach being applied to this legislation.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	19	I move amendment No. 4:In page 7, line 9, to delete "2018" and substitute "2019".Section 2 provides for the establishment of the affordable childcare scheme and for the scheme to be funded out of moneys provided by the Oireachtas. As payments under the scheme will not be made in 2018, it is proposed to amend this section to provide that the payments will be made in the first year in which the Oireachtas shall make moneys available to the Minister for the purpose of paying subsidies under the scheme.
#SeanSherlock	Labour	16519	Cork East	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	20	Forgive my ignorance on this one if I have missed something in the discourse or in the Minister's Second Stage speech but who does the Minister anticipate will be the body to administer the scheme?
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	21	It will be Pobal.
#SeanSherlock	Labour	16519	Cork East	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	22	Okay. I thank the Minister for that.
#SeanSherlock	Labour	16519	Cork East	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	23	I wish to give notice that I may submit an amendment to this section on Report Stage.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	24	Amendments Nos. 5 and 9 are related and may be discussed together.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	25	I move amendment No. 5:In page 8, line 23, to delete “in writing”.This amendment relates to section 6, which concerns the outsourcing arrangements for the scheme administrator. Amendment No. 9 relates to section 8, which limits participation in the scheme to approved child care service providers that have signed a scheme contract with the Minister for Children and Youth Affairs. While references to communications throughout the Bill refer to communications in writing or by electronic means, the references to contracts in sections 6 and 8 refer only to agreements in writing. They do not, therefore, allow for the possibility of contracts that are solely held in electronic form and signed by means of a certified digital signature. To allow for this possibility and to ensure consistency in the approach throughout the Bill, amendments Nos. 5 and 9 delete the words "in writing" and, as a result, a contract would be described simply as an agreement.  At a practical level, I would note that current contracts in place between my Department and child care providers are solely in electronic form. Therefore, this is an important point in terms of administrative efficiency for both child care providers and the State.
#SeanSherlock	Labour	16519	Cork East	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	26	On the wider section, I wish to give notice that I may submit an amendment on Report Stage.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	27	I move amendment No. 6:In page 8, line 28, to delete “the”.
#AnneRabbitte	unknown-#AnneRabbitte-party	unknown-#AnneRabbitte-dob	unknown-#AnneRabbitte-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	28	I move amendment No. 7:In page 9, line 11, after “parent” to insert “or guardian”. In light of the number of children who are cared for outside of the home, whether in foster care or other family situations, the insertion of the word "guardian" is prudent. 
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	29	I can confirm that the definition of parent in section 1 of the Bill states that for the purposes of this scheme, parent includes "a person acting in loco parentis". As a guardian is acting in
loco parentis, any reference in the Bill to parent must be understood, therefore, to include a guardian. As the proposed amendment is already provided for in the Bill, I will not be accepting it.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	69	Amendment No. 15 in the name of Deputy Rabbitte has been ruled out of order on the basis that it poses a potential charge on the Exchequer. The Deputy will be aware of that as that will have been brought to her attention.
#AnneRabbitte	unknown-#AnneRabbitte-party	unknown-#AnneRabbitte-dob	unknown-#AnneRabbitte-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	70	This relates to section 11.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	71	It does and amendment No. 15 is the amendment in question.
#AnneRabbitte	unknown-#AnneRabbitte-party	unknown-#AnneRabbitte-dob	unknown-#AnneRabbitte-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	72	In this amendment I sought to introduce a specific provision for lone parents.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	73	Correct.
#AnneRabbitte	unknown-#AnneRabbitte-party	unknown-#AnneRabbitte-dob	unknown-#AnneRabbitte-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	74	While I understand it has been ruled out of order on revenue grounds, that is unfortunate.The purpose of my submitting this amendment was to support lone parents and identify the conundrum they would find themselves in between education and training and the support element. A lone parent in training represents 100% of the workforce in that house and for that person to engage and get back to employment, there is a space in which they would need additional support. I submitted the amendment to ensure that lone parents would be mandated and that there would be a practice in place to support them to get back into employment or to further education. I was trying to get a balance between finishing training and getting back into the workforce. It is unfortunate it has been ruled out on revenue grounds. I would have like to have seen it accepted. A good deal of the conversation that took place in the past 18 months on the affordable child care Bill was around the most vulnerable and those who need to get back into a particular pathway of self-development for themselves and in terms of the workforce. Lone parents and Single Parents Acting for the Rights of our Kids, SPARK, would have lobbied me on that and it is regrettable that the Department has not seen its way to including it. I would love to hear the Minister's explanation as to the reason it has been ruled out.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	75	Does any other member wish to contribute? In that case, from my perspective, given the nature of what Deputy Rabbitte is trying to achieve in her amendment, I wonder whether a definition change within the Bill enabling the Intreo scheme, although obviously in a different Department, might resolve the issue the Deputy has highlighted and whether that might be considered because it is an eligibility matter. I would agree broadly with the sentiment of Deputy Rabbitte's amendment. It is out of order. We are discussing the section, but I would ask that it is something the Minister might consider with her Cabinet colleague.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	76	Again, I appreciate very much the intention of the amendment and also the Chairman's comments. Clearly, he would be aware of that in light of the fact that as the Minister who is both the sponsor of the scheme and now the Bill, with a focus on those who have the least resources or are in situations where they require a significant amount of support in terms of child care - lone parents being one of the clearest examples of that - there is a need to provide them with the maximum support possible to ensure they get back to work or training. I appreciate the intention of the amendment. The Bill, as the Chairman said, gives the Minister the power to make regulations specifying definitions of "work" and "study". I will be defining "work". It will include within the definition not only employment and self-employment but also State-sponsored labour market activation programmes, in which lone parents would no doubt be participating in many instances. I expect that any lone parent taking part in an Intreo employment activation scheme who is eligible for financial support will be awarded the maximum of up to 40 hours of support. In addition, given their expected income level, a lone parent on such a scheme typically would be awarded the highest rate of subsidy per hour. My initial point is that they will more than likely receive the highest level of subsidy and support during that period of time. I appreciate the intention of the question. I could also indicate, as we may get to in some of the other amendments, that within the Bill we would be reviewing the operations of the scheme after a certain period of time. This may be one to which it might be helpful to bring a focus.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	77	I will call Deputy Sherlock and then Deputy Rabbitte.
#SeanSherlock	Labour	16519	Cork East	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	78	I will come in after Deputy Rabbitte.
#AnneRabbitte	unknown-#AnneRabbitte-party	unknown-#AnneRabbitte-dob	unknown-#AnneRabbitte-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	79	I welcome the final comment of the Minister. She said she may periodically review the impact of the affordable child care scheme on lone parents. This, in particular, is what I seek. I will withdraw my amendment but that is not to say that, between now and Report Stage, I will not decide to come forward with another amendment or proposal on lone parents. The Chairman has made a valuable point on the focus on job activation in respect of lone parents. With Intreo, there has to be some means by which matters cannot be left to chance. The phrase "more than likely" is not good enough for me. I need to ring-fence and protect.
#SeanSherlock	Labour	16519	Cork East	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	80	I was just going to suggest that if the Minister could revert to us with her own amendment or additional wording regarding the Schedule in terms of the income elements, it might be helpful to us. I, too, reserve the right to introduce an amendment on Report Stage on this issue.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	81	We will be doing some research on the work and study issue. That is relevant. Let me clarify whether I understand the amendment and what is being recommended. It suggests that where there is a period between the conclusion of the lone parent activation experience and getting a job-----
#AnneRabbitte	unknown-#AnneRabbitte-party	unknown-#AnneRabbitte-dob	unknown-#AnneRabbitte-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	82	There ought to be a bridge there.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	83	Exactly. I am wondering whether, if there is no work or study in the relevant period, normally meaning a move to the standard rate of subsidy, dependent on the income, it would still enable the maximum subsidisation but-----
#AnneRabbitte	unknown-#AnneRabbitte-party	unknown-#AnneRabbitte-dob	unknown-#AnneRabbitte-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	84	Let me state where I am coming from. I propose that when one finishes education or training, in respect of which 40 hours would have been allocated to one, and where one is trying to get back into the workforce-----
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	85	Looking for a job.
#AnneRabbitte	unknown-#AnneRabbitte-party	unknown-#AnneRabbitte-dob	unknown-#AnneRabbitte-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	86	-----there should be a bridge to meet the shortfall where one might not have the family support and the other adult support. I refer to the shortfall between the 15 hours, for which there would be an allocation, and the 40 hours. In order for there to be flexibility to allow one to attend appointments or interviews, or even prepare for interviews, there should be guidance issued from the Department stating how the support could be offered and how the gap might be bridged. Thus, someone who has engaged in training or further education might be put on the right path, with the support. It is in the final furlong, when all the other steps have been taken, that we need the support for the family.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	87	Well said, Deputy. It is worth looking at some bridging or transition mechanisms, in light of the Deputy’s recommendation, and it is also worth considering the specification of Deputy Sherlock.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	88	We would not want to pass a prescriptive section with unintended consequences. This has happened in the past, regrettably. It is important to thrash these things out. I thank the Minister.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	89	Amendments Nos. 16 to 18, inclusive, are related and may be discussed together.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	90	I move amendment No. 16:In page 12, line 32, after “determination” to insert “(including a statement of any variation in the maximum number of hours or the rate per hour)”.Amendments Nos. 16, 17 and 18 would allow the scheme administrator, when notifying an applicant of a subsidy award, to specify known changes to the subsidy in advance so as to allow the parent and child care provider to plan ahead. These amendments address situations when a forthcoming change in circumstances is known in advance. For example, the children's dates of birth will be specified in the application form. It will, therefore, be known in advance when a change in a child’s age will result in a change to the level of financial support. These amendments provide clarity that the initial determination of the amount of financial support to be provided over the next 12 months can include references to known changes in that amount. It should be noted that the Bill already allows for the amount of subsidy to be changed when the applicant notifies the scheme administrator of a change in his or her circumstances at the time the change of circumstances occurs.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	91	I move amendment No. 17:In page 13, line 7, after "amount" to insert "(if any)".
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	92	I move amendment No. 18:In page 13, line 8, to delete "(if any)" and substitute "(including any variation in any such amount)".
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	93	Amendments Nos. 20, 21 and 23 are related and may be discussed together by agreement.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	94	I move amendment No. 20:In page 13, line 19, to delete "and".Section 13 requires the Minister for Children and Youth Affairs to have regard when making regulations on the number of hours of financial support awarded to whether an applicant and his or her partner are engaged in work or study. The provision is intended to support families to get out of poverty through labour market participation by enabling full-time child care whenever a parent is engaged in work or study and ensuring, at the same time, that a certain level of child care support is available for all families regardless of the labour market situation. Amendments Nos. 21 and 23 will permit exemptions to be made to this work-study test in prescribed situations where the applicant or the applicant's partner is unavailable to care for a child for reasons unrelated to work or study by allowing the possibility of full-time child care support in those situations. Examples of situations which may be prescribed include situations in which an applicant's partner is in prison or hospital in the long term. In such cases, the applicant's partner will not satisfy the definitions of work or study but the applicant should still be eligible for full-time child care support if he or she is engaged in work or study. To provide for this possibility, amendment No. 23 requires the Minister to have regard to the unavailability of the applicant or his or her partner to care for the child and amendment No. 21 enables the Minister to make regulations defining the meaning of the term "unavailable" for the purposes of the scheme. In addition to the above amendment, I intend to undertake focused research in the coming months on the work-study test, the exemptions proposed in these amendments and their potential collective impact in disadvantaged communities. This research will inform the regulations to be made under section 13. In particular, the work will inform the definitions of "work" and "study", the situations in which the exemptions from work and study test will apply and both the standard and enhanced hours of child care subsidy to be provided. In addition, amendment No. 23 also addresses the way in which the scheme will wrap around the ECCE preschool programme and school hours. Section 13(6)(c) of the Bill requires the Minister when making regulations on the hours of financial support available to have regard to the period of time each week the child qualifies to participate in pre-school programmes. This wording is consistent with current ECCE rules in which eligibility for ECCE is determined simply by the child's age. It would also be consistent with certain changes to ECCE rules, including those planned for this coming September, which will create two full years' of entitlement. However, it is important to further future-proof the legislation to accommodate potential changes to the ECCE rules to offer parents some flexibility around choosing when to take up an ECCE entitlement. This possibility would require the affordable child care scheme to wrap around ECCE from the time the child is actually enrolled in that programme rather than from a single age at which the child qualifies for ECCE. In order to allow for this possibility, amendment No. 23 seeks to require the Minister to have regard to either eligibility to enrol in ECCE or to a child's actual enrolment in ECCE. As to school hours, the amendment requires the Minister to have regard both to enrolment in school and to eligibility to enrol in school. Enrolment is relevant to children aged four and five years, for whom school is not compulsory. Once children have reached the compulsory school age of six years, the affordable child care scheme will wrap around school hours for all children. As such, it is eligibility to enrol in school that matters.I must also stress that these are technical amendments. They do not alter the policy of the affordable child care scheme itself, rather they future-proof the scheme so that it is sufficiently flexible to wrap around ECCE in both its current format and in future potential scenarios.
#SeanSherlock	Labour	16519	Cork East	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	95	I have a question. Forgive me if I am out of order. The Chairman or clerk can correct me. It strikes me that in article 13(3) states "In making the regulations under subsection (2), the Minister shall have regard to the availability of resources." It says "shall have regard to availability", so it will not be a demand-led scheme at all, will it?
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	96	I am sorry, what is the Deputy saying it will not be?
#SeanSherlock	Labour	16519	Cork East	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	97	It will not be a demand-led scheme. In other words, the budget will be available to meet the demand.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	98	Obviously we hope that will be the case. The resources are sought on the estimate of demand and so far I think we have been very accurate.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	99	I move amendment No. 21:In page 13, line 20, to delete “Scheme.” and substitute the following:“Scheme; and(g) the circumstances in which an applicant and his or her partner shall be deemed to be unavailable to care for the child the subject of the application.”.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	100	I move amendment No. 22:In page 14, line 5, after “child” to insert “the subject of the application”.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	101	I move amendment No. 23:In page 14, lines 7 to 10, to delete all words from and including “and” where it secondly occurs in line 7 down to and including line 10 and substitute the following:“(c) in the case of income-related financial support, the unavailability of the applicant and his or her partner to care for the child,(d) the period of time each week that the child the subject of the application is enrolled in a pre-school programme funded by the Minister or the Minister for Education and Skills, or the period of time each week that the child is eligible to be enrolled in such a programme, and (e) the period of time each week that the child the subject of the application is enrolled in a school or is eligible to be enrolled in a school.”.
#SeanSherlock	Labour	16519	Cork East	speech	unkown-language	2018-02-27 00:00:00	Business of Select Committee	102	We are proposing to accept this but with the proviso that we may revisit the amendment on Report Stage.
