#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	0	I welcome members and viewers who may be watching the proceedings on Oireachtas TV. On 19 December 2018 the Dáil ordered that the Revised Estimate for Vote 40 - Children and Youth Affairs be referred to the select committee for consideration. After its consideration of the Revised Estimate, the committee will report back to the Dáil. I welcome the Minister for Children and Youth Affairs, Deputy Zappone, and her officials. I thank her for coming before the committee. The proposed format is that the committee deal with the Vote on a programme by programme basis. The Minister will give an overview of the Revised Estimate, outlining pressures likely to impact on her Department's expenditure in 2019. The floor will then be opened to members of the committee to ask questions. I ask them to put their specific questions by programme in order to make progress in an orderly and efficient manner. Members are reminded of the long-standing parliamentary practice to the effect that they should not comment on, criticise or make charges against a person outside the House or an official, either by name or in such a way as to make him or her identifiable.  I remind all attendees to switch off their mobile phones and move them away from microphones as they will interfere with the quality of the recording and broadcast of the proceedings. Members received a briefing document on the Revised Estimate in advance of the meeting. I invite the Minister to make her opening statement.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	1	I am pleased to discuss my Department’s Revised Estimate for 2019 which provides for a taxpayers’ investment of €1.5 billion, which represents an increase of just under €107 million, or 8%, on the allocation for 2018, following the Supplementary Estimate in December. As a result, my Department will spend €1.478 billion in current expenditure and €32 million in capital expenditure during 2019. Approximately half of the Vote is targeted towards public services that protect children and provide for their welfare. Another significant portion is provided to continue our journey to build an accessible, affordable and high quality early learning and care system. In addition to these areas, my Department’s Revised Estimate for 2019 contains a provision of almost €63.6 million for youth services. These resources will fund youth services throughout the country, including services for those at risk of disadvantage, and help to address some of the remaining challenges faced by LGBTI+ young people. The allocation for youth services represents an increase in funding of €3.4 million, or just under 6%, on the allocation for 2018. Other key items of expenditure include €26 million to meet the costs of the Irish Youth Justice Service, including the operational costs of the Oberstown Children Detention Campus; €19 million to meet the operational costs of my Department; €9.5 million for prevention and early intervention programmes which now include the area-based childhood programme and the prevention, partnership and family support programme; €7 million for the intervention programme for children and young people; €5 million for the Adoption Authority of Ireland; €4 million for the Commission of Investigation into Mother and Baby Homes; and just under €3 million for the Office of the Ombudsman for Children. The prevention and early intervention programmes are now fully funded by my Department following the completion of the welcome contributions made by Atlantic Philanthropies in previous years. The select committee will be aware that the single biggest item of expenditure in my Department’s Vote is the budget of Tusla, the Child and Family Agency. I am pleased to confirm that Tusla will receive additional funding of €31 million in 2019, which will bring its overall allocation to €785 million, which represents an increase of 4% on the allocation for 2018. When Tusla was transferred out of the HSE in 2014 to become a statutory agency in its own right, its budget allocation was €609 million. In the five years since its establishment funding has been increased by 29% to its 2019 level of €785 million. In addition, I am making a further €3 million available to it from my Department during 2019 to fund specific developments in the provision of support for family resource centres and to deal with domestic, sexual and gender-based violence. This level of investment underlines my commitment to ensuring Tusla is properly resourced to meet its mission statement in protecting and supporting the most vulnerable children, young people and families. With this level of investment, there is a strong onus on it to deliver on its ambitious business plan for 2019. I will work closely with the new chairperson of Tusla, the interim CEO and his management team to achieve the outcomes we all want to see from this year’s investment.  On early learning and care services, the international evidence is clear that investment in children during their early years results in long-term gains for them, their families, the economy and society in general. I am particularly proud of the increased resources being made available in 2019 for childcare services which we now call early learning and care services. I am on record as acknowledging that the radical transformation we want to see in the sector cannot be achieved in one, two or even three budgets. I have always said it will take time to correct decades of under-investment. As members of the committee will recall, I received additional funding in 2018 for childcare services by way of a Supplementary Estimate which brought funding levels to more than €500 million for the first time. The additional €59 million to be provided in 2019 brings funding for early learning and care services to just under €575 million. Children, parents and providers are all set to benefit.  The increased resources will allow me to continue to meet the growing demand for universal and targeted supports and enable me to widen the thresholds under the new affordable childcare scheme that I will introduce later this year. Under the scheme’s original policy proposals, income-based subsidies would have been available to all families with a net annual income of up to €47,500. This threshold will now increase by 26% to cover all families with a net annual income of up to €60,000. The scheme’s lower income thresholds have also been adjusted, meaning that maximum subsidy rates will be paid to all families with a net annual income of up to €26,000, whereas the previous proposed threshold stood at €22,700. The increased thresholds will mean that thousands of more families will benefit from the scheme once it is launched at the end of the year and see the cost of early leaning and care services tangibly reduce, resulting in a real impact.  I am planning the phased regulation of school-age childcare services and have set side an additional €450,000 for the Tusla early years inspectorate to enable it to begin to register services with effect from 18 February. This will enable school-age childcare services to access the affordable childcare scheme, help to support children’s safety and well-being and assist in the provision of new school-age childcare places, thus improving parental choice and supporting female labour market activation. Our investment in early learning and care services will help to lay the ground for the exciting opportunities presented by the recently published First 5, A Whole-of-Government Strategy for Babies, Young Children and their Families. 
First 5 will provide every child with a good, strong and equal start and represents a whole-of-government approach, with the objective of streamlining and improving parenting supports provided by a range of Departments and State agencies. I am pursuing some important legislation as a matter of priority. I recently announced my intention to table some important amendments to the Adoption (Information and Tracing) Bill 2016 which was passed on Second Stage in the Seanad some time ago. We are also finalising the text of a Bill to amend the Children Act 2001 that will form the basis for major reform of the guardian ad litem system. I know that the select committee shares my ambition to have these important Bills enacted as soon as possible.  The significant increase in resources in my Department’s Vote for 2019 brings great opportunities for the targeted development and improvement of services. I will work closely with Tusla, the early learning and care sector, my Department and all stakeholders across the wide range of services provided to achieve the best possible outcomes and value for money we can achieve. We have made good progress in recent years and I am determined to press ahead with the agenda I have set out.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	16	That is another question.
#SeanSherlock	Labour	16891	Cork East	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	17	Yes. Why is there no local agency to fulfil that need with the requisite professionals who are well able to provide the service?
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	18	I am somewhat in the dark. While I think I know where Deputy Sherlock is going and I accept the points he has made, I suspect he may be referring to a live case. For that reason, the Minister ought to exercise caution in how she answers the first part of the Deputy's question, although not the second.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	19	I appreciate the advice of the Chair and the fact that the Deputy is raising this issue at the committee. He stated this is about a process. My officials and I will need to make inquiries to clarify the process, the decisions made and Tusla's role in these cases. If he will allow us to do that and revert to him------
#SeanSherlock	Labour	16891	Cork East	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	20	I also raised the issue of cost. That is the reason for this meeting.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	21	He also raised the issue of cost. Ultimately, if the process in question is reasonable and acceptable in terms of Tusla's statutory role, the cost may be justified. I am not saying that is necessarily the case because I am not clear on exactly what is the process and need to make further inquiries in that regard.
#SeanSherlock	Labour	16891	Cork East	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	22	Why would the Child and Family Agency seek to go to court to determine the continuity of a service?
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	23	The Deputy is referring to a specific case involving a particular child.
#SeanSherlock	Labour	16891	Cork East	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	24	On the law of averages, if that is being done in the case of one child, it is happening systematically. I am asking whether it is happening systematically. I am trying to shed some light on that.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	25	I have offered to revert to the Deputy with a reply in that regard.
#SeanSherlock	Labour	16891	Cork East	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	26	I appreciate that.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	27	The Deputy's second question relates to Tusla transitioning to a way of engaging with providers of services through bringing in a commissioning process that was not there before. I acknowledge there may be difficult aspects to that transition period. However, the rationale for moving towards the commissioning process is an effort to work with the diversity of providers in certain areas. Particular questions may arise in the case of regionally-based services or in the context of family resource settings. The Deputy is ready to come back in. Does he wish me to continue? Am I in the right territory in terms of what he is asking?
#SeanSherlock	Labour	16891	Cork East	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	28	My question is simple: is Tusla centralising procurement services for the provision of occupational therapy and speech and language therapy? Must speech and language therapists now tender to provide services?
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	29	As I understand it, that is not the case for individual speech and language therapists. I may need to check that to provide an accurate reply to the Deputy.
#SeanSherlock	Labour	16891	Cork East	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	30	The provision of the child and adolescent mental health services, CAMHS, is an in-house service------
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	31	A commissioning process usually relates to organisations or------
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	32	The Minister's official is writing frantically. The Deputy will receive an answer in due course. We should move on to the next question.
#SeanSherlock	Labour	16891	Cork East	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	33	To be clear, CAMHS is an in-house service with professional staff. From time to time or systematically - again, that must be clarified - it will procure services, but the procurement process seems to be centralised in Dublin. I seek enlightenment from the Minister as to what is the process. If it impacts on the delivery of services to the child, we need closer scrutiny of that and what exactly is the service. If the Minister does not have time to come back to me today on that, I am happy to engage with her or her officials at some future date.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	34	I appreciate the Deputy's questions. I was trying to describe the transition to a new way of doing that. The Deputy is raising more questions in the same territory. What might be most useful would be for Tusla to present to the committee on its general approach to commissioning. The Deputy could raise these questions in that context. I am happy to revert directly to the Deputy following consultation with Tusla.There are lots of dimensions to the question the Deputy is asking and it is not clear to me. That is why I asked the Deputy if he was asking about individual therapists and whether a national agency should-----
#SeanSherlock	Labour	16891	Cork East	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	35	I thought I was clear about that. It comes back to cost. If one is talking about a cost reduction or a cost efficiency in the provision of services and if one is tendering for the provision of services in Cork through a process carried out in Dublin, I am modest enough to say that I do not understand the process. I am not afraid to ask a seemingly stupid question. It is unclear to me whether there is a centralised tendering process. If that is the case, does that have an impact on the provision of services? Does every single provider that is not a statutory provider like CAMHS, for instance, have to tender for the services it provides?
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	36	It would be very helpful to the committee if the Department could issue a note on procurement in that area through the secretariat. It would be very helpful in providing clarity.
#SeanSherlock	Labour	16891	Cork East	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	37	I appreciate the Minister's response on bringing Tusla before the committee, but I am asking the Department and the Minister-----
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	38	Indeed, and the Deputy is entitled to a response-----
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	39	We can do both or one or the other. There is a little questioning even here.
#SeanSherlock	Labour	16891	Cork East	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	40	The Minister will correct me if I am wrong. Am I wrong? Am I misinterpreting the system? The Minister will tell me if I am.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	41	It is not my understanding that there is a national approach to the tendering or commissioning process for services in Cork. I have not heard of that approach before. That is not to say that it does not happen for certain types of services. What I am saying is-----
#SeanSherlock	Labour	16891	Cork East	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	42	The Minister needs to be clear with us on whether this happens or not.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	43	I know that. I have just said that this is not my understanding. I have also said-----
#SeanSherlock	Labour	16891	Cork East	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	44	The question is coming from a genuine place. I raise it because of issues with services that I encounter on the ground. That is why I am asking. I am couching my language. I know I am repeating myself. I do not understand the process, and if somebody could tell me definitively whether there is local autonomy on the provision of services like occupational therapy and speech and language therapy or whether people have to go through procurement-----
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	45	That question has been asked.
#SeanSherlock	Labour	16891	Cork East	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	46	I have not had a sufficient answer to that question.
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	47	As the Deputy has said, we will come back to it. There are two very different processes here. Commissioning is carried out for wider services, not for each individual. It also sounds as though the Deputy has an individual query.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	48	I call on Deputy Mitchell. We are addressing programme A.
#DeniseMitchell	unknown-#DeniseMitchell-party	unknown-#DeniseMitchell-dob	unknown-#DeniseMitchell-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	49	I want to ask the Minister a few questions. I hope I am on the right heading, because I am getting a bit confused.
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	50	I will help the Deputy out.
#DeniseMitchell	unknown-#DeniseMitchell-party	unknown-#DeniseMitchell-dob	unknown-#DeniseMitchell-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	51	There is an increase of €17 million in capital funding for Tusla. Could the Minister outline where this funding is going? I also want to ask about the further €3 million made available to Tusla for the family resource centre programme and for domestic, sexual and gender-based violence services. Does the Minister have plans to increase the number of refuge places? Are we looking to increase the target beyond the 160 places we have, considering that the Council of Europe has been quite damning towards Ireland, saying we have far fewer refuge places than would be adequate?
#AlanFarrell	unknown-#AlanFarrell-party	unknown-#AlanFarrell-dob	unknown-#AlanFarrell-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	52	To clarify, capital spending has been increased to €17 million, not by €17 million. It is actually an increase of just over €3 million.
#DeniseMitchell	unknown-#DeniseMitchell-party	unknown-#DeniseMitchell-dob	unknown-#DeniseMitchell-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	53	Some €3 million is to be allocated to the family resource-----
#KatherineZappone	unknown-#KatherineZappone-party	unknown-#KatherineZappone-dob	unknown-#KatherineZappone-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	54	The family resource centre programme accounts for €1.5 million and domestic, sexual and gender-based violence services account for a further €1.5 million.
#DeniseMitchell	unknown-#DeniseMitchell-party	unknown-#DeniseMitchell-dob	unknown-#DeniseMitchell-constituency	speech	unkown-language	2019-03-06 00:00:00	Estimates for Public Service 2019	55	That is a total of €3 million.
