#NeasaHourigan	unknown-#NeasaHourigan-party	unknown-#NeasaHourigan-dob	unknown-#NeasaHourigan-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	0	Apologies have been received from Deputies Canney and Doherty. Before we begin I remind all of those in attendance to ensure their mobile phones are on silent mode or switched off. From the Irish Fiscal Advisory Council I welcome Mr. Sebastian Barnes, Dr. Martina Lawless, Ms Dawn Holland, Professor Michael McMahon and Dr. Eddie Casey. I thank them for making themselves available to the committee. All witnesses are reminded of the long-standing parliamentary practice that they should not criticise or make charges against any person or entity by name or in such a way as to make him, her or it identifiable or otherwise engage in speech that might be regarded as damaging to the good name of the person or entity. Therefore, if their statements are potentially defamatory in relation to an identifiable person or entity they will be directed to discontinue their remarks. It is imperative that they comply with any such direction. For witnesses and members attending remotely, there are some limitations to parliamentary privilege and as such they may not benefit from the same level of immunity from legal proceedings as a witness who is physically present. Witnesses participating in this committee session from a jurisdiction outside the State are advised they should also be mindful of their domestic law and how it may apply to the evidence they give. Members are reminded of the long-standing parliamentary practice to the effect that they should not comment on, criticise or make charges against a person outside of the Houses or an official either by name or in such a way as to make him or her identifiable. I remind members the meeting is limited to two hours due to the Covid-19 guidelines. This is to ensure the safety of members, witnesses and secretarial staff. We have agreed speaking times and slots and I ask members to remain within these agreed times. I suspect we will have some latitude towards the end if anyone wants to come in for a second round. I also remind members that other members are due to attend later and if, when vacating their seats, they use the wipes available to wipe their area, it will allow the next set of members to arrive and take their seats in a safe way. I invite Mr. Barnes to make his opening statement.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	1	I am sorry but I do not know whether the committee members can hear us.
#NeasaHourigan	unknown-#NeasaHourigan-party	unknown-#NeasaHourigan-dob	unknown-#NeasaHourigan-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	2	We can, yes.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	3	We cannot hear, unfortunately. If committee members could confirm whether they can hear us it would be very helpful.
#NeasaHourigan	unknown-#NeasaHourigan-party	unknown-#NeasaHourigan-dob	unknown-#NeasaHourigan-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	4	Yes, we can hear Mr. Barnes.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	5	We can hear the Chairman now. This is a perfect situation for a dialogue. As always, we thank the Chair and members of the committee for inviting us. Joining me remotely are council members Dr. Martina Lawless, Professor Michael McMahon and Ms Dawn Holland, as well as our chief economist and head of secretariat, Dr. Eddie Casey. We hugely value our engagement with the Oireachtas and see these meetings as an important part of our work. As committee members knows, the Irish Fiscal Advisory Council is an independent body established under the Fiscal Responsibility Act 2012. Its mandate is to endorse and assess the official macroeconomic forecast, assess the budgetary projections, assess compliance with the fiscal rules and assess the fiscal stance. This focuses on the overall fiscal stance rather than on individual tax measures or spending items and priorities. The council's fiscal assessment report was published last week and assesses budget 2020. In terms of the economic outlook, Covid-19 continues to have a major impact on the Irish economy. The budget projections imply a 6% decline in real modified gross national income, GNI*, this year, followed by a muted 2% recovery in 2021.November’s Covid-adjusted unemployment rate remains high, at 17.4% for those aged between 25 and 74. However, the outlook has improved since the spring. The domestic economy recovered strongly in the third quarter. Consumption has rebounded and multinational enterprises have supported activity. For budget 2021, the Government assumed that a vaccine would not be widely available until at least 2022, and that trade between the UK and the EU would be based on a hard Brexit. This was prudent, given the uncertainties and risks involved. However, it did not factor in a tightening of the Covid restrictions, as we saw in October. The budget forecasts cover just one year ahead, compared with the normal five-year horizon. This gives an extremely narrow picture as to how today’s policies might impact on the economy and on public finances. While medium-term projections are uncertain, they help to promote medium-term oriented fiscal policy. A return to five-year forecasting is essential for next April’s stability programme. In our report, we developed three scenarios to 2025 to help frame some of the medium-term challenges that Ireland faces. The extended budget 2021
projections would see the economy recover to pre-crisis levels of activity by the end of 2022. A milder scenario, with an effective vaccine next summer, and perhaps we have got closer to that, and an EU-UK free-trade agreement, could see the economy recover to pre-crisis levels somewhat earlier in 2022. By contrast, a repeat waves scenario, with further level 5 restrictions necessary in 2021 and 2022, could see the recovery delayed until well into 2023. The outlook remains highly uncertain and the impacts of the crisis might be felt for a very long time. Sectors such as retail, hospitality, transport and the arts are especially vulnerable to the pandemic. Counties more reliant on tourism and hospitality have also been worst affected, especially in the western and Border regions. The impact of Brexit also is still unclear and could be much different from what is assumed. Ireland is also exposed to international tax policy changes. Turning to the public finances, Covid-19 has led to massive Government spending on job supports, health responses and measures to stimulate demand. Tax revenues have fallen sharply in some areas, notably VAT. Yet corporation tax and income tax have fared better than expected. A very large deficit close to €20 billion, or approximately 10% of GNI*, is likely both this year and next year. This will lead to a sharp rise in the debt-to-GNI* ratio, which was already at high levels pre-crisis - the sixth highest in the OECD at the time. The council assesses that the Government’s decision to continue to borrow to support households and businesses through the Covid-19 crisis and to provide stimulus is appropriate, including up to €12 billion of supports in temporary stimulus for 2021. These measures should help to lessen the lasting damage of the economic crisis, and ultimately lead to a more sustainable path for Government debt. The council welcomes the use of contingencies in budget 2021
#KieranODonnell	unknown-#KieranODonnell-party	unknown-#KieranODonnell-dob	unknown-#KieranODonnell-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	15	Dr. Lawless is referring to a 3% reduction in GDP with a free trade agreement and that that would double in the event of a hard Brexit. I am surprised it is not more. While 3% is a sizeable reduction, Dr. Lawless has stated it will be only 6% if there is no free trade agreement. I would have thought the differential would be much higher.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	16	It is important to realise that even with a free trade agreement, which takes away the direct cost of tariffs, there are a lot of other increases in non-tariff barriers, documentation, different registrations and the need for sanitary checks on food exports. There are still quite a lot of costs involved. With regard to the direct effect of the free trade agreement and moving to WTO terms, there are still a lot of costs in the free trade agreement that would negatively affect customs. There is also the risk that a hard Brexit would have a slightly worse effect in the initial couple of months as firms adjust to all of these new checks and while the customs capacities and so on are being-----
#KieranODonnell	unknown-#KieranODonnell-party	unknown-#KieranODonnell-dob	unknown-#KieranODonnell-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	17	To finish on the point-----
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	18	With a harder Brexit, that while the long-term effect does not sound so much greater than a free trade agreement, there is a risk that the effects would be more likely to be front-loaded into 2021.
#KieranODonnell	unknown-#KieranODonnell-party	unknown-#KieranODonnell-dob	unknown-#KieranODonnell-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	19	Mr. Barnes said that "the permanent increases could even be as high as €8.5 billion as it is not possible to ascertain the nature of some of the increases in non-Exchequer areas. This reflects ongoing transparency problems in areas outside of the Exchequer that are traditionally not the focus of the Department." Could he expand on that? Where are these areas? Where does he see the scarring effects of Covid-19 in Ireland? He spoke about the three reforms - debt reduction targets, tools to save temporary receipts and sustainable growth. What are the priorities for the Government? Could he identify what those metrics should be in terms of dealing with the aftermath of Covid and oncoming train of Brexit?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	20	I will take those questions in a different order. The question of scarring effects on the economy, particularly transport and accommodation, is something about which we are very concerned. Some of these sectors have been very badly hit. We know the Government has put in a lot of support but ultimately we do not know how long those companies will be able to last under these conditions and we do not really know how quickly consumers will start travelling again. As with some of the effects of a hard Brexit, which, again, is a shock we have never seen, it is very hard for us to evaluate what those risks are but we just need to be aware of these risks, which is why we drew the committee's attention to them. The second question concerns the difference between the €5.4 billion, which is on an Exchequer basis where we have a very good handle on what is being spent and what is going on and this non-Exchequer part that is also within the general Government. It is important in terms of public finances, and this is how the European rules are specified, that we should not just look at the Exchequer, which is an important part of the institutional mechanism in Ireland. We should also look at the overall role of the Government, as measured by the general Government. This is how the fiscal rules are specified, which is one of the reasons we are so interested in it. The part that is not covered by the Exchequer is some 20% of the total so it is very big but up until recent years, basically not very much was happening there so it did not have a large impact on the kind of fiscal aggregates at which we look. 
#KieranODonnell	unknown-#KieranODonnell-party	unknown-#KieranODonnell-dob	unknown-#KieranODonnell-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	21	To which area of spending is Mr. Barnes referring?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	22	That is a very good question. This is basically local government, commercial semi-State bodies and extra-budgetary funds. Collectively, they add up to quite a bit. Until recent years, there was not a great deal of action happening there. This arose in the previous budget and this year as well. Quite a lot of the increase is coming through in these areas. We lack two things. We lack actual information on where the money is being spent. What we receive is a net figure that gives the overall number but it does not tell us where it is coming from. There are some offsetting amounts between spending and revenue. We have asked the Department of Finance to provide us with a much clearer picture of the numbers. The Department is working on this, which is good news. It would also be good to understand more about what is going on.Quite a lot of it is probably capital investment. It would be good to know what the investment plans are so that we and others can factor those into budgetary projections. It is an issue that has arisen over the past couple of years that basically relates to local government, semi-State bodies and a few other things. We are asking for more transparency in terms of numbers and understanding what the underlying story is.  Regarding the Deputy's final question about the areas where the budgetary framework could be strengthened, it is very good that the Government plans to look at the medium term in April. As we have said, it will face a number of challenges and we believe those challenges may be easier to manage with some measures to strengthen the fiscal framework. We focused on three. One is having a target for the debt-to-GNI* ratio. Obviously, in a period when debt is very high and needs to be brought down, it is natural to target the debt-to-GNI* ratio, particularly a few years ahead where the Government will have a bit of time to control the dynamics. Regarding one particular concern, previous Governments have had a debt target but, in our view, without very much commitment. It was also specified in terms of GDP, which is not the appropriate measure of national income, so this really needs to be measured in these terms. Under European rules, the debt rule is done in GDP terms, which does not make a lot of sense for Ireland and does not give it an accurate picture. The second area is around a rainy day fund. We also talked about a prudence account in the past. These are ways of essentially building up precautionary buffers for future shocks. It would also be a very good way of saving the excess corporation tax receipts and helping to smooth that over time. This is a relevant measure to consider after this year where the Government is clearly trying to stimulate the economy in 2021. The third measure is the kind of control of spending in normal times. The expenditure ceiling system has not worked that well. We have also had periods in the past couple of years where expenditure growth has been a bit too fast relative to the speed of the economy so strengthening the domestic controls around that would be helpful. We also make one or two other suggestions as well. These could be very helpful measures for the Government to consider as it sets out its medium-term plan in the autumn. It could put these measures in place that would strengthen the institutional framework as well just announcing what it plans to do.
#KieranODonnell	unknown-#KieranODonnell-party	unknown-#KieranODonnell-dob	unknown-#KieranODonnell-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	23	What is the largest single risk to the economy?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	24	In the short run, it is Covid while in the slightly longer run, it is Brexit. We have had some better news on Covid with the vaccine. The next few months will be quite difficult but beyond that, perhaps things will be less risky than we thought. Of course, there are many unknowns regarding the vaccines. In the short run, we hoped we would know by this point what will happen with Brexit. As Dr. Lawless explained, it is a large shock and the short-run effects in the early part of new year could be quite strong. There is significant uncertainty around both of those things. Those two things stand out but which of the two is the more important depends on the timeframe.
#MaireadFarrell	unknown-#MaireadFarrell-party	unknown-#MaireadFarrell-dob	unknown-#MaireadFarrell-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	25	I have a number of questions concerning the council's report. The report highlights the fact that budget 2021 includes substantial permanent increases in spending that are not matched with a clear future funding source and that this cannot be considered a fiscally prudent approach to budgeting. Although the Government initially said it would not raise taxes in 2021, it is now saying that there may be some increases in tax. We know that a number of EU countries such as Spain, France, Norway and Belgium along with Switzerland have a wealth tax. We have also seen that Argentina is even experimenting with a once-off levy on its 12,000 richest citizens - the so-called millionaires tax - to help pay for the recovery from Covid-19. What is the council's view on the imposition of a tax on wealth more broadly defined as an additional revenue-raising measure to help to improve fiscal sustainability and overall budgetary balance?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	26	The council's mandate is to look at the overall budgetary stance rather than specific measures so it is really a choice for the Government in terms of how it is going to manage the future challenges. That is one of the things we look forward to the Government announcing in the medium-term plan in April.We do not have a specific measure or view about any specific tax. We welcome the work of the tax commission. That is a good way of looking at this. It is important in the long run that the tax system supports growth, that it is fair, and that it is perceived to be fair, so it has a popular legitimacy. We welcome that work. That is the best we can say.
#MaireadFarrell	unknown-#MaireadFarrell-party	unknown-#MaireadFarrell-dob	unknown-#MaireadFarrell-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	27	The December Fiscal Assessment Report also notes that budget 2021 includes substantial permanent increases in spending of at least €5.4 billion. This spending provides for measures that would remain post-pandemic. The report says that this could rise to €8.5 billion after considering non-Exchequer areas and that "There is no sense as to how these [lasting increases] will be financed sustainably over the medium term." We are aware that the programme for Government commits to no increases in income tax or USC, to indexing bands and credits in line with earnings growth, and to focusing only on tax rises that focus on behaviours including carbon, sugar and plastic. Throughout the general election campaign Fine Gael attacked Sinn Féin for committing to a progressive increase in employers' PRSI. In Mr. Barnes's view, can the Government fund €5.4 billion increase in permanent taxation through increases in tax on sugar and plastic?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	28	Overall the choice is about how to prioritise spending and tax adjustments. This is very much a question for the Government. Deputy Farrell referred to the increase of €5.4 billion up to €8 billion, which is a very large increase in the context of recent budgets. It is also quite a large increase if one looks at it relative to the sum potential tax changes. Clearly, things such as the sugar tax raise a very small amount relative to that. It may well be desirable on public health grounds, but it is not something that radically changes the picture in Government revenue. The imposition of the carbon tax, again, can be very helpful in reducing emissions, which is a goal that we all support. On the other hand, those revenues have already been allocated to specific things. Again, it does not provide a general solution for supporting further spending. If one looks at the increase in PRSI rates, the estimate from Revenue is that this would bring in another €750 million per year. It is important to view this as context for looking at the impact of these increases in spending. Of course, the economy will grow over the coming years also, which will provide additional revenue. At the same time, the costs of standing still, which is the cost of the Government continuing to provide the same services taking into account the costs of paying higher wages, higher welfare rates or maintaining welfare rates in real terms at their existing levels, and the costs of ageing, which will add another €850 million per year on average to public spending, will eat up a lot of the space that growth will create. It will probably eat up more than the amount that additional growth will generate over some of these, once we get beyond the recovery. It is a challenging environment and there are difficult choices to be made in terms of increasing spending and perhaps reviewing spending in existing areas. One thing we call on the Government to look at is to strengthen the spending review process. That does some good work, but it could be made into a genuine process for looking at whether Government spending is prioritised and delivered in the most effective ways. There are some very hard choices coming around taxation and spending.
#MaireadFarrell	unknown-#MaireadFarrell-party	unknown-#MaireadFarrell-dob	unknown-#MaireadFarrell-constituency	speech	unkown-language	2020-12-08 00:00:00	Post-Budget Analysis: Irish Fiscal Advisory Council	29	I thank Mr. Barnes for that. I understand there will be hard choices but I hope we will not see a repeat of what happened previously where those most vulnerable in society were affected again and again, and harder and harder, under the so-called recovery, while so many people never saw any kind of recovery. Mr. Barnes made another point around the lack of clarity on the non-voted expenditure. I am interested to hear if he is familiar with how other EU jurisdictions have oversight of non-voted expenditure, which could help inform the committee on how to improve transparency in that regard. I am also quite interested in the whole issue of capital expenditure. We are being told that there will be an extra billion euro here, there and everywhere for capital expenditure but what it really boils down to is €9.3 billion in 2020 and it will be increased to €9.8 billion in 2021. We are aware of how important capital expenditure is in having a significant multiplier effect. If there is a vaccine in 2021, which could change the spending on income supports, does Mr. Barnes feel that this funding could be redeployed for capital spending to boost the growth in the overall budgetary balance?
