#BrendanSmith	unknown-#BrendanSmith-party	unknown-#BrendanSmith-dob	unknown-#BrendanSmith-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	0	I welcome members and viewers who may be watching proceedings on Oireachtas TV to the public session of the select committee. On 19 December 2018, the Dáil ordered that the Revised Estimates for Public Services in respect of the following Votes be referred to this committee for consideration. They are Vote 27 - International Co-operation and Vote 28 - Foreign Affairs and Trade. Today's meeting will consider the Revised Estimates for both Votes and report back to the Dáil. On behalf of the select committee, I welcome the Tánaiste and Minister for Foreign Affairs and Trade and the Minister of State with responsibility for the diaspora and international development, Deputy Cannon. I also welcome officials from the Department and thank them for the briefing provided in advance of the meeting. The proposed format is that the committee will deal with the Votes on a programme-by-programme basis, the Tánaiste will give a brief overview of Vote 28, and, at the outset of the consideration of each programme, he will give an overview of the programme, including outlining any pressures likely to impact on his Department's performance or expenditure relating to the programme in 2019. The floor will then be open for questions from members. I ask that they put their questions on the specific programme so that we can progress in as orderly and efficient a manner as possible. Members are reminded of the long-standing parliamentary practice to the effect that they should not comment on, criticise or make charges against a person outside the House or an official either by name or in such a way as to make him or her identifiable. I remind members and witnesses to turn off their mobile phones or switch them to flight mode as they interfere with the sound system and make it difficult for parliamentary reporters to report the meeting. They can also adversely affect television coverage and web streaming. Members received briefing documents on the Revised Estimates. I invite the Tánaiste to make his opening statement.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	1	I am pleased to present to the committee the Revised Estimates for my Department for 2019. I will focus on Vote 28, which is the Vote for the Department of Foreign Affairs and Trade, while the Minister of State will address the committee afterwards regarding Vote 27, which deals with international co-operation, which is the bulk of the expenditure for which my Department is responsible. Last month, the Taoiseach, the Minister of State, Deputy Cannon, and I launched, A Better World, Ireland's new policy for international development, and reaffirmed the Government’s commitment to making progress on delivering the UN 0.7 % target by 2030. A Better World sets out our vision for Ireland's contribution to international development looking forward to 2030 and is a statement of Ireland's commitment to global citizenship. Expanding our development co-operation is an investment in a better, safer and more sustainable planet.  Members will have seen the advance briefing notes provided by my Department on the two Votes, which summarise the main activities and priorities under each expenditure programme corresponding with my Department's high-level goals.For 2019, the overall gross Estimate for the foreign affairs and trade group of Votes, namely Votes 27 and 28, is €802 million compared with €754 million in 2018, This is an overall increase of €48 million, or 6.4%. The Vote 28 allocation sees an overall increase of €19 million, or 8%. The Vote 28 priorities for 2019 include, as one might expect Brexit, the passport reform programme and the operational side of a passport service dealing with a significant increase in the number of applications, Northern Ireland, the expansion of the overseas mission network under the Global Ireland 2025 initiative, provision for urgent capital building and security works at our missions abroad, continuing investment in the Department’s global ICT network and addressing increased operating cost pressures abroad across the mission network. Understandably, budget 2019 had a particular focus on Brexit readiness measures and further initiatives and information have been rolled-out since then. I secured additional funding for my Department to increase staffing and capacity at headquarters and in key Irish embassies and for the Brexit preparedness communications team, which has been active. Under Global Ireland 2025, I am pleased that we have been able in recent months to open new embassies and consulates general in Vancouver, Wellington, Santiago, Bogota, Mumbai and Amman with openings to follow this year in Cardiff, Frankfurt and Los Angeles. The Government's overarching ambition under this initiative is to ensure that Ireland is well positioned to secure our national interests, particularly economic interests, globally. Our expanded network will enhance Ireland's visibility globally, extend our influence and position us for trade and investment growth in new and existing markets. It will also benefit our citizens travelling overseas and will involve reaching out to our diaspora and exploring new platforms for engagement. The programme structure for Vote 28 corresponds with the Department's strategy statement 2017 to 2020 and mirrors the priorities as set out in our foreign policy document, The Global Island: Ireland's Foreign Policy for a Changing World, which sets out the Department’s work in five priority areas: supporting our people, engaging actively in the EU, promoting our values, advancing our prosperity and strengthening our influence. These correspond directly with expenditure programmes At to E in the 2019 Revised Estimates Volume, which the committee is considering. As has been proposed, I will make some short introductory comments on programme A to open the discussion. Once we complete our discussion of this programme, I will then take each of the programmes in sequence. I ask for the committee's forbearance in speaking in a little greater detail on programme A as it covers so many key policy areas for my Department, including Northern Ireland, consular services and assistance, our emigrant support programme, ESP, and diaspora funding, for which the Minister of State, Deputy Cannon has primary responsibility, and the passport service, including the passport reform programme. I wish to quickly update the committee on developments in all these important areas in service of Our People, the aptly chosen title for the programme. Work under programme A includes the effective delivery of passport and consular services for our citizens; supporting our emigrants and deepening engagement with our diaspora; sustaining peace and enhancing reconciliation and political progress in Northern Ireland, and increasing North-South and British-Irish co-operation, which is certainly needed these days. The amount allocated for current expenditure under this programme in 2019 is €77.7 million compared to €73.4 million in 2017, an increase of 5.8%. This programme is about Our People, namely Irish citizens at home and abroad and it covers a number of key priority areas for the Department. Together with the passport service, the provision of consular services and assistance lies at the heart of the Department's engagement with citizens. As Irish people continue to travel in greater numbers than ever before and to ever more remote and exotic locations, the demand for consular assistance has increased significantly. In 2018, my Department provided assistance to Irish citizens in more than 2,343 serious consular cases. Regrettably, this included assistance in over 292 cases where Irish citizens died abroad. A new consular strategy has been developed to address the growing and often complex demand for information and assistance. The strategy outlines how the Department will prioritise modernising and improving the service provided to Irish citizens in distress abroad. Our crisis planning and preparedness team continually reviews the Department's travel advice and works closely with our embassies abroad and external organisations to prepare for major events. For example, planning is currently underway for the rugby World Cup in Japan in 2019. The Passport Service issued some 860,000 passports in 2018, which was the highest number ever issued in a single year. This represented an increase of more than 10% on the previous year. We expect the number of passport applications to continue increasing throughout 2019. I announced on 16 March that more than 230,000 applications had been received so far in the year, representing an extraordinary increase of 30% on the same period in 2018, which was a record in itself. Target turnaround times for applications depend on the category of application. Online applications, which now represent over 70% of all applications, are being processed in under than two weeks. In fact, over 50% are being processed in less than a week. First-time applications, of necessity, take longer because of required entitlement and identity checks. We have taken on board the lessons learned from recent peak seasons and are implementing enhanced measures to provide quality customer service processes and, in particular, to manage our overall demand and the seasonal application increases. This is being done by the recruitment of additional staff, the re-organisation of production processes and administrative arrangements and the continuous implementation of service improvements through the passport reform programme. We learned a lot of lessons last year from pressures in the passport system which arose partly because of a period of extremely bad weather when the system had to be shut down for a couple of days as well as on foot of the sheer volume of applications. We have anticipated those pressures again this year and responded pretty well so far. My Department works closely with Department of Public Expenditure and Reform to seek to ensure the passport service is adequately resourced with sufficient permanent staff throughout the year. More than 80 new permanent staff have been assigned across all the offices since the end of 2018. In addition and in response to the general increase in applications during the busy peak season, sanction has been received to recruit 230 temporary clerical officers, TCOs, to assist in passport processing. In excess of 160 TCOs have already been assigned, with the remainder due to be in place in the coming weeks. A further response by the passport service has been the establishment of a new, dedicated customer service hub. The hub is resourced to deliver an effective service to members of the public who contact the office with queries by telephone or webchat. More than 70 staff are in place with a further 30 staff due to commence by early May. We have had a significant recruitment process under way for a number of months. As part of the passport reform programme, the second phase of the online passport renewal service was rolled out in November 2018. This facility is now extended to the renewal of children's passports and has introduced a passport card for children. It has also expanded the cohort of adults eligible to renew online. The online service, which is available 24-7, 365 days a year to applicants renewing their passports anywhere in the world, brings significant benefits with faster turnaround times and greater customer satisfaction. The online service has been instrumental in the management of overall passport operations and in allowing the passport service to allocate staff resources more efficiently to cope with unprecedented demand. Further developments planned in the reform programme for 2019 include an automated mailing project, a business process automation project, additional work on the online renewal service and the ongoing improvement to customer systems.Further developments planned in the reform programme for 2019 include an automated mailing project, a business process automation project, additional work on the online renewal service and the ongoing improvement to customer systems. The 2019 allocation includes a capital allocation of €5.5 million in respect of the passport reform programme.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	11	We do not get to hold on to the money unfortunately. It goes straight into the Exchequer, I am afraid.
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	12	It is not reflected in the figures. There is, obviously, a cost if 860,000 passports are being printed. There is a cost for administration and the machines. I saw that the cost for the increased number of personnel required was reflected. I refer to 230 temporary staff as well as new staff. The other figure might be there but I did not notice it.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	13	About €60 million came in last year from the increased fees charged etc.
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	14	Is that over the cost of-----
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	15	That was a significant increase on the previous year.
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	16	I meant was it over the cost of producing the passports. Sometimes-----
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	17	It was.
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	18	The Minister, therefore, has a case to look for an extra €60 million from the Minister for Finance, Deputy Donohoe, because his Department has been contributing.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	19	I will come back to the Deputy in a second on that.
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	20	The Minister will have heard a request from my party and others to open a passport office in Belfast because of the number of passport applications from the Six Counties. A great deal is done online now but there is still a demand for a passport office, in the consular service or elsewhere. I know some of the difficulties people face in emergencies etc. If the Department is making €60 million, that would lend weight to an argument for approaching the Minister for Finance and stating some of that money could be ring-fenced to staff an office in Belfast, Derry or somewhere in the Six Counties to accommodate the need there. Turning to the increase in the numbers using emergency consular assistance, it is great to see so many more people being helped. The Minister mentioned that 292 people died abroad and help being provided by the consular services. The Kevin Bell Repatriation Trust, KBRT, does tremendous work in that area. I do not know if the Department funds or helps it in any way, given the work it and others do in repatriating those who have passed away abroad. Those stuck abroad are also sometimes in need of medical transfer back home. It is good to see a new consular strategy since so many more people are travelling and working abroad. There might, however, need to be additional funding to provide help. I refer to cases of distress or where there is no insurance, or not enough insurance, to help families cope in distressing circumstances.  Regarding North-South co-operation, I again have no problem in welcoming the additional €1 million allocated to the reconciliation fund. Much more could be spent in that area. Overall, it is about €6.5 million, not including money for the diaspora and other similar uses. I am referring to programme A, taking headings A6 and A7 together. We need to ensure the appropriate funds are available given the demands we are facing in the future. That includes demands for truth and reconciliation from both communities, as the Minister rightly recognised.  The Minister yesterday, or perhaps before that, also met the family of Mr. Patsy Kelly, an independent councillor murdered in Tyrone by the Ulster Defence Regiment, UDR. Families like that are seeking proper investigations. They are not always looking for financial support in trying to get to the truth. Sometimes, however, they do come up against logjams and then they need the support of the Minister and his Department. On occasion, that can involve legal costs because not every family has the wherewithal to get solicitors and other legal professionals on board. The Pat Finucane Centre has done tremendous work in this area in the past. It has helped represent some families who have achieved progress in seeking truth. There is, however, great frustration for families in other cases. I think that is nearly everything. 
#BrendanSmith	unknown-#BrendanSmith-party	unknown-#BrendanSmith-dob	unknown-#BrendanSmith-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	21	I call the Minister, Deputy Coveney.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	22	We have looked at the idea of a passport office in Northern Ireland. The vast majority of applications received by the passport service from applicants residing on the island of Ireland, however, are submitted through Passport Express and Northern Ireland Passport Express. Northern Ireland Passport Express allows applicants living in Northern Ireland to apply for their passport through more than 70 post offices. We are now seeing a big shift online as well. Some 70% of renewals, and rising, are now happening online. A person only needs to go into a passport office if he or she is travelling for emergency reasons and his or her passport is not in date etc. That is a relatively small number of people. People come to the passport offices in Dublin or Cork for that. It can be a long journey whether people are living in the west or north west of Ireland. That does not mean that we should be opening passport offices all over the country or the island. I will, however, keep this under review. At the moment, however, all of the trends point toward a shift online or to having a fairly efficient express postal system. That will allow us to focus resources on turnaround times and keeping people informed about their applications. On the repatriation of a person's remains when he or she has died abroad, this is something with which I am currently not so happy. While there is a fund available and we provide some financial resources to the fund, there is a question as to whether the State should do more to help families to bring a loved one home after he or she has passed away. We have had discussions within the Department on the issue and will continue to examine it. There is a constant discussion we need to have about encouraging people to take out insurance when they go abroad and cover themselves for the cost of an accident or fatality. If we make policy decisions to the effect that the State will pick up the tab, people will not take out travel insurance in some cases. There is a competing issue, therefore, because there are some tragic cases in which the State should intervene directly where families cannot afford to bring the deceased home. The approach thus far has been to support a charity that helps to fund the cost for families, which has been the recommendation to me for the reasons I have outlined. In respect of the significant numbers I outlined earlier, some of the cases will be different and will put families under a great deal of financial pressure.
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	23	There are also Irish citizens who live abroad but whose families might live in Ireland. They would not necessarily have insurance.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	24	I take that point and would not like to be in any way dismissive of that. We need to keep that issue under constant review. On the reconciliation fund, we have increased it by €1 million, which is an increase of almost 25%. I would like to see us continuing to increase it. I hate to say it but politics in Northern Ireland and the relationship between communities is quite fragile. We may well have to invest much more time and financial resources to try to work with UK authorities to ensure that regardless of what decisions are made in respect of Brexit, we will maintain a calm and supportive position, in particular through community leaders who reach out in a responsible way through many of the programmes we fund. While I accept that the sum of €1 million may seem to be small, in the context of increasing the fund from €2.7 million to €3.7 million, it is a considerable increase in percentage terms.
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	25	I have no problem with that and, like the Tánaiste, I believe the increase will result in more benefit than cost.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	26	That is all there is to programme A. I do not think there is anything controversial in it. It contains modest increases in important areas.
#TonyMcLoughlin	unknown-#TonyMcLoughlin-party	unknown-#TonyMcLoughlin-dob	unknown-#TonyMcLoughlin-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	27	I welcome the Tánaiste and Minister of State. On Brexit preparedness, additional staff have been hired but is the Tánaiste satisfied that the level is adequate to cater for what is coming down the line? While we do not yet know what the final outcome will be, is he satisfied that there are adequate staffing levels in the Department's headquarters and the Irish embassies in the areas we are discussing? I welcome that under Global Ireland 2025, the Department will open additional embassies and consuls in various places and there are a number of other areas we could and will consider in the near future. I wish to put on record my appreciation of the wonderful work that is being done in consular assistance. I have been approached in respect of a number of cases in recent years, particularly in recent months, where there were serious accidents involving persons without insurance as well as one fatal accident. The work that was carried out by the Department's consular staff is to be commended and I am sure that I speak for many of the families when I say the Department and the other group which the Tánaiste mentioned have done exceptional work. It is important because families tell me that at a time such as that, when they are far away and might not understand all the information they receive, people are on the ground to help and assist them in the event of a sad occasion. On passports, each of us as a public representative is inundated daily in respect of additional passports. The passport service did phenomenal work in issuing 860,000 passports in 2018, which is the highest ever, but the number continues to rise. It is only right and proper that we would acknowledge the work of people in this service. I was often asked about a location in the north west but the online facilities for passports will remove many of the problems for people. It is a successful and important development. On the Minister of State's comments about diaspora issues, we are making significant progress in various parts of the world where we previously did not. I acknowledge his presence and commitment to the work he is doing in that regard. We have spoken about Brexit and the future of Northern Ireland. The Joint Committee on the Implementation of the Good Friday Agreement, of which I am a member, has met a number of groups who have benefited from the reconciliation fund. The fund has been well supported and it is only right and proper that we continue in that regard because various groups have benefited from it.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	28	On the staffing aspect of Brexit, the largest impact for us will be on the passport service. We have a communications unit dedicated to Brexit and, in sheer numbers, there has been a significant increase in the numbers we have taken on to ensure we will have an efficient passport delivery service. The other areas across Departments that have taken on significantly more staff in the context of Brexit are those such as the Department of Agriculture, Food and the Marine, the Revenue Commissioners, and agencies linked to the Department of Business, Enterprise and Innovation. As would be expected, more people have been taken on by Enterprise Ireland, IDA Ireland and Bord Bia as well as in local enterprise offices and so on in some cases. Sufficient resources are in place across Government but we will have to keep that under review. If there is a no-deal Brexit, it will put a much greater strain on the system. If we have to manage the competing challenge of trying to protect the integrity of the Single Market while at the same time preventing physical border infrastructure on the Border, it will involve more resources and a plan to be worked out with the European Commission, which we would have to do unilaterally with the Commission. We hope that such a plan will not be needed, but in case it is, we are planning for it. If there is a no-deal Brexit, the expenditure on multiple areas, especially such as support programmes in vulnerable economic sectors including that of agriculture, will be significant, which the Minister for Public Expenditure, Deputy Donohoe, will take into account. From our Department's perspective, we play a co-ordinating role, as opposed to taking on hundreds of people to work in Dublin Port, Rosslare, Dublin Airport or somewhere else. In terms of co-ordination and communication, we have more staff and bigger teams in some embassies, London, Paris and Berlin being the obvious examples. I am satisfied that we have put in place sufficient staff resources, but in a no-deal scenario everything will change and we have to gear up for it. As of today, I am happy that we are in a reasonably good place.
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	29	The point that most passports are issued online is taken, but outside Cork and Dublin there is a lot of the country without any passport office cover in an emergency. A person living at the far end of County Donegal, never mind someone living in Derry or elsewhere in the Six Counties, has a long way to travel to Dublin, especially if it is an emergency. These are the cases with which I have dealt. In fairness to the Minister's office, it has been very helpful in the past in dealing with emergencies. It is a good facility to be able to contact somebody who can give advice. There will always be a cohort who will not be able to make online applications and in practice there will be strange or emergency cases who will need some access to a person. It might be that it would be rolled out more, rather than just Passport Express. It would help to have someone to check when people are doing it because often the delay is caused when people send in material and have forgotten to do this, that or the other. Are there plans to reopen the embassy in Iran that was closed due to financial constraints? I welcome the opening of the other consular services. We had the advantage when the group travelled from here to Washington of seeing the great work done there. The consular service and the ambassador explained what would be rolled out and how while it might cost money, it would be cost-effective in terms of the benefits Ireland would get and investment in the country. I encourage more of the same, as the Minister outlined.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	30	The only place we can print passports in an emergency is Dublin. Even if someone goes into the Passport Office in Cork to see someone at the desk, the passport cannot be printed there and then. Many people who need passports quickly fly out of Dublin which is by miles the busiest airport. We are trying to move the process to a place where we can have a lot more interaction online as the technology allows us to do more and more. The geographical location where passports are printed will become less relevant, but I take the point and we will keep the matter under review. We are reopening the consular service in Cardiff next month. There are no plans to reopen an embassy in Iran, but the issue has been raised on several occasions.
#BrendanSmith	unknown-#BrendanSmith-party	unknown-#BrendanSmith-dob	unknown-#BrendanSmith-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	31	I am conscious of the pressure at Government level here and in London, but are there talks taking place at official level between the Irish and British Administrations and the political parties in Northern Ireland on the need to progress talks to have the Northern Ireland Assembly and Executive restored? The last time the Minister was here he did not indicate any optimism about when the necessary progress would be achieved. For relatively little money, the reconciliation fund has been very successful. Officials in the Department have done and still do a great job in working with communities throughout Northern Ireland and the Border counties. While the programme is beneficial, if we do not deal with the legacy issues, there will still be much hurt and anxiety. It is decades since many of the atrocities were committed. Families who have not heard the truth and seen justice are getting older and fear their lives will end before they get the truth about how they lost a loved one. I know this from dealing with the families of victims in the Monaghan and Dublin bombings, people in Belturbet and others in the Border area. They are becoming increasingly anxious and understandably angry that we are making no progress in dealing with the legacy issues. We cannot emphasise enough the need to get the message across that it is a priority for all of us in public life. At times these families can understandably think the issues have gone off the agenda. It is very important, therefore, that we send the message from the Oireachtas and the Government that we continue to pursue them with the British Government and the Northern Ireland authorities. Far too often people say to me they know who committed a crime and who murdered someone, but, unfortunately, that person has never been brought to justice. I know that the framework is in place in the Stormont House Agreement and the Fresh Start agreement to make progress in that respect. The Minister mentioned the legislation being progressed here, but it is an issue of concern, regardless of political pressures on many fronts. Naturally, we will not achieve progress until the Assembly and Executive are restored. Similarly, the North-South Ministerial Council is important. It is often written out of the political agenda, but it would have been extremely important and beneficial if it had been functioning in the past two years, whether at plenary or sectoral level. Are there plans for talks to resume between the Minister, the Secretary of State, Ms Bradley, and the political parties represented at Stormont?
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	32	We did have an exploratory meeting with the leaders of all the political parties a few weeks ago in Belfast. They outlined their positions and all said they wanted to get back into devolved government structures in Northern Ireland. There was, however, a fairly direct conversation about the expectations of different parties about what was required to do this. It is very difficult to create the platform or political environment for compromise where parties will accommodate each other's concerns while the Brexit cloud hangs over Northern Ireland. Political parties are focused very much on decisions being made in London, even though many of them are not represented there. I have regular conversations with the Secretary of State for Northern Ireland on assessing when is the right time to bring parties together. We cannot force the holding of those meetings and have another failure on our hands as that would be very damaging. The public has grown increasingly cynical about, and disillusioned with, the political system in Northern Ireland and we will all have to work hard to try to re-establish trust that Stormont can work and make the right decisions for people, regardless of from where they come and who they are. Unfortunately, Brexit has had a desperately polarising effect, not just on political parties but also on communities. The focus of discussion on Brexit is back on identity, constitutional issues, tribal debates and at the same time the tension in dealing with many of the legacy cases, reinforced, for example, by the Finucane family who continue to ask for a full public inquiry, in which we support them, and the decision on a prosecution in connection with the events of Bloody Sunday.The position is similar with the inquest into Ballymurphy and the ongoing inquest into Kingsmill. This has created difficult political debates without an Assembly or Executive in Northern Ireland to give political leadership to help communities get through a difficult process when it comes to reconciliation. That is why I said earlier that Northern Ireland is in a rather fragile and difficult place and we need to be careful with the language we use and the decisions we make. However, if we can find a way of creating some certainty around the Brexit process - I hope this can happen in the coming days and weeks - then I believe there will be a window. This is because I believe all parties in Northern Ireland recognise the need for more localised leadership coming from Stormont. Certainly, we will work hard with the British Government to try to make that happen.
#BrendanSmith	unknown-#BrendanSmith-party	unknown-#BrendanSmith-dob	unknown-#BrendanSmith-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	33	We will move on to programme B.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	34	I do not imagine we will need anything like as long a debate on programme B, apart from the pay and non-pay elements. The increases in the non-pay elements relate to Brexit information, campaigning and communications primarily. The pay elements relate largely to pay restoration decisions. The other areas relate to actions around EU engagement and other actions linked to our membership of the European Union. There are no real budget increases of note in those areas. If people want me to go into the matter in detail I can do so, but I do not think there is any controversy here. It is a relatively small amount of money and reflects playing our part as a member of the European Union.
#MaureenOSullivan	unknown-#MaureenOSullivan-party	unknown-#MaureenOSullivan-dob	unknown-#MaureenOSullivan-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	35	I have one comment. I attended two of the Common Foreign and Security Policy meetings, including the most recent one in Bucharest. I have real concerns over the increasing talk about European armies, etc. There are few voices at that level talking about other ways of dealing with issues besides a European army.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	36	I wish to put the position on the record. Every time there is that kind of discussion, an Irish voice normally intervenes to remind people of what our Constitution says and our policy on military neutrality. Of course we are absolutely committed to the European Union and its future but there are different perspectives. The complexity of Common Foreign and Security Policy aims to try to accommodate those perspectives in different ways. Ireland, through our triple lock system, will decide if and when Irish troops travel to different parts of the world. That will not be decided by someone else. That is something we remind people of on a regular basis.
#BrendanSmith	unknown-#BrendanSmith-party	unknown-#BrendanSmith-dob	unknown-#BrendanSmith-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	37	We will move on to programme C.
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	38	Under programme C pay and non-pay are pretty straightforward. The other figures relate to contributions to international organisations. A 2019 allocation of €34 million is essentially at the same level as the revised figure for 2018. It reflects the best estimate of mandatory contributions to international organisations in 2019. The Department is committed, on behalf of the State, to paying assessed contributions to international organisations. This includes peace, security and human rights contributions to the UN, which is the largest single contribution. This is in accordance with a rolling three-year schedule negotiated by the UN. The contributions are based on a percentage of Ireland's GNP. Again, this is a non-controversial area linked to commitments we have made. It is rolled over a three-year cycle.
#AengusOSnodaighSF	unknown-#AengusOSnodaighSF-party	unknown-#AengusOSnodaighSF-dob	unknown-#AengusOSnodaighSF-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	39	As with the last allocation the funds seem to be staying the same. One of the international organisations to which we contribute is the UN. We seem to be paying in less, although in miniscule amounts. This seems to fly in the face of our commitments in terms of the UN and environmental degradation around the world. Will we expect to have to make larger increases to these international organisations in future? I have in mind the UN in particular, because the world seems to be becoming more volatile again and the UN may be needed to address peace and stability in some areas as well as the environment. A separate question arises on human rights and the protection of human rights internationally. Again, the committee has done much work in this area. Is this an area where we should be increasing our contributions? Is it simply demand-led? Do we grant whatever the UN asks of us rather than looking to increase contributions specifically? Businesses and corporations that do not respect human rights need to be held to account for abuses of human rights, violations and environmental degradation. Should we be supporting international organisations that seek to tackle those problems?
#SimonCoveney	unknown-#SimonCoveney-party	unknown-#SimonCoveney-dob	unknown-#SimonCoveney-constituency	speech	unkown-language	2019-03-28 00:00:00	Estimates for Public Services 2019	40	This figure is not our total contribution to the UN. This is a contribution to UN organisations that is subject to calculations made at a UN level under commitments made as part of a three-year cyclical process. We make a series of other contributions to UN agencies separately, including the World Food Programme, UNHCR and environmental NGOs. I imagine the Minister of State, Deputy Cannon, will discuss these when it comes to his Vote. We are increasingly investing through UN organisations in what is entirely untied aid. That is as it should be. We are looking to sit on the decision-making body, the UN Security Council, in some years' time. Ireland's foreign policy is very much shaped by EU membership and UN membership. Most of the expenditure in programme C relates to Ireland's mandatory contributions to international organisations of which we are members, including the UN. The 2019 Estimate reflects the best estimate at the time of mandatory contributions due this year. It should be noted, however, that the challenge of forecasting the UN peacekeeping budget in particular, which is the largest part of our payments to the UN, is not an easy one. It is difficult to estimate this in advance as the existing peacekeeping contribution might be expanded or reduced depending on the circumstances or a new one might be established. Also UN contributions are invoiced in US dollars and, therefore, are subject to currency fluctuations. The complexity of the UN budget process and the negotiations of contribution rates for all UN participants make this budget difficult to quantify at any stage of the year. This estimate may go slightly up or down depending on several factors, including whether new peace-keeping missions are required or whether exchange rates change. Anyway, this is our best guess at this point.
