#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	0	I remind members and witnesses to please ensure that their mobile telephones are on flight mode or switched off for the duration of the meeting as they interfere with the broadcasting equipment even when on silent mode. The minutes of the meeting of 11 March 2021 have been circulated to all committee members. Are they agreed? Agreed. Is the European Union legislative proposal we scrutinised in private session - COM (2021) 87 - agreed? Agreed.
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	1	On behalf of the committee, I welcome from Department of Education Ms Martina Mannion, assistant secretary with responsibility for the National Educational Psychological Service, NEPS, special education, social inclusion and early years education policy; Mr. Eddie Ward, principal officer, special education section; Mr. Brendan Doody, assistant chief inspector in the inspectorate division; and Mr. Eamon Murtagh, director of the planning and building unit. I also welcome Ms Mary McGrath, head of operations, National Council for Special Education, NCSE; and Ms Anne Tansey, director, NEPS. The officials are here to brief the committee on the provision of special educational needs, specifically funding and the allocation of resources, the roll-out of the school inclusion model and the role of special needs assistants, SNAs, the provision of autism services, State recognition of a broader range of intellectual disabilities and the implementation of the Education for Persons with Special Educational Needs, EPSEN, Act 2004. The format of the meeting is that I will invite Ms Mannion to make an opening statement, which will be followed by questions from the committee. Each member has a six-minute slot, which gives him or her an opportunity to question the witness and for the witness to respond. I will keep an eye on the clock and when the six minutes has concluded, I will interrupt to ensure the meeting runs smoothly. As the witnesses are probably aware, the committee will publish the opening statements on its website following the meeting. Before we begin, I remind members of the long-standing parliamentary practice to the effect that they should not comment on, criticise or make charges against a person outside the Houses of the Oireachtas or an official either by name or in such in way to make him or her identifiable. As officials are giving evidence remotely, from a place outside of the parliamentary precincts of Leinster House, as such, they may not benefit from the same level of immunity from legal proceedings as a witness physically present does. They have already been advised of that and whether it is appropriate to take legal advice on the matter. As we have started the meeting, it is a bit late now if they have not. They are reminded of the long-standing parliamentary practice to the effect that they should not criticise or make charges against a person outside the Houses either by name or in such a way as to make him or her identifiable, or otherwise engage in speech that might be regarded as damaging to the good name of a person or entity. Therefore, if their statements are potentially defamatory in relation to an identifiable person or entity, they will be directed to discontinue their remarks by the Chair. It is imperative that they comply with all such directions.I now ask Ms Mannion to make her opening statement.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	2	I thank the Chairman and committee members. At the outset I wish to thank the committee for its invitation to officials from the Department of Education, including the National Educational Psychological Service, and from the National Council for Special Education, NCSE, to meet with its members today. With their agreement, I will share my time for the opening statement with Ms Mary McGrath, head of operations at the NCSE. We are also joined today by a number of other officials, including Mr. Eddie Ward, principal officer of the special education section, Mr. Brendan Doody, assistant chief inspector of the Department's inspectorate division, Ms Anne Tansey, director of the National Educational Psychological Service, and Mr. Eamonn Murtagh, director of the Department's planning and building unit. The committee in its invitation has set out a number of topics to discuss today, including the funding and resourcing of special education supports. The Department of Education continues to prioritise investment in supports for pupils with special educational needs. Last October, a range of new investments in the area of special education was provided for as part of the budget 2021 measures. The State, this year, will spend over €2 billion, or over 20% of its total educational budget, on providing additional supports for children with special educational needs. This represents an increase of over 50%, in total expenditure, since 2011. Budget 2021 provides for vital additional teachers and school staff in the area of special educational needs, including more than 400 extra special education teaching posts and almost 1,000 additional special needs assistants. It also provides funding for important reforms in the area of special education, such as the further roll-out of the school inclusion model. In terms of staff resources for special educational needs, the provision for 2021 delivers for mainstream classes, special classes and special schools. Four hundred additional teachers have been provided in this area for 2021, including 145 additional special education teachers being provided for mainstream schools. Special education teachers provide additional teaching support for pupils with special educational needs who are enrolled in mainstream classes. To limit the extent of allocation disruption for schools this year, in a year where there has already been a great deal of disruption due to Covid-19, the existing special education teacher allocations will be maintained for mainstream schools for the forthcoming 2021-22 school year. No school will see a reduction to its current level of special education teaching supports next year. However, additional allocations of special education teachers will continue to be made for new schools which open for the first time; developing schools which are achieving significant demographic growth; and exceptional circumstances arising in schools, pending the next re-profiling process for schools. Two hundred and thirty-five additional special class teaching posts have also been provided, which will facilitate the establishment of an additional 1,200 special class and special school placements this year. These classes will support pupils who have been assessed as requiring a special class placement for them to be able to access an education appropriate to their needs. Special classes are part of a continuum of education provision that enables students with more complex special educational needs to be educated, in smaller class groups, within their local mainstream schools. The extra teachers being provided will ensure that the new special classes, including new classes to support pupils with autism, can be opened in areas where there may be currently a shortage of provision or in areas which have been achieving significant levels of demographic growth and where additional special class placements are needed. Up to 200 new special classes are planned to be opened for September 2021 meaning that we will have over 2,000 special classes, compared to 548 special classes in 2011.Twenty-three additional teaching posts are also being provided for special schools to meet expected increases in pupil numbers in special schools due to increasing enrolments and demographic trends in 2021. Providing an appropriate school placement for every child is a top priority for the Department and the NCSE. Almost 1,000 extra SNA posts are also being provided for in 2021. The extra posts will ensure that we can continue to provide additional SNA supports for new special classes that open in 2021; new enrolments to special schools; and additional SNA allocations for mainstream schools. They are part of our planning process to develop a general allocation for allocating SNA support to mainstream schools. The provision of almost 1,000 extra SNA posts to the school system in 2021 will mean that the number of SNA posts will have increased by almost 70%, from 10,575 in 2011 to over 18,000. In addition to this planned additional investment, the Department has provided for a range of measures to support pupils during a second period of school closures, in 2021, and also to support children with special educational needs to return to school. The Department has recognised that school closures can have a particular impact on children with special educational needs and, accordingly, it has prioritised children with special educational needs for the earliest possible return to in-school teaching and provided specific guidance and supports to schools, including additional IT funding, to support continuity of learning for the affected children during the school closure period. A supplementary education programme is being provided for children with special educational needs who have missed in-person education. A significantly expanded summer education programme for children with complex special educational needs was provided last year. It aimed to prevent regression among children with special needs, and planning is under way to provide for a similar summer education programme this year. Yesterday, Monday, saw the return to in-school learning for all school students for the first time since we closed for the Christmas break. Overall, a package of more than €630 million has been provided to support the reopening of schools, including funding for personal protective equipment, additional teaching posts, sanitiser, enhanced cleaning and much more. As part of the package of supports, additional teachers have been provided to support the reopening of primary schools to provide enhanced substitution and eliminate the need to mix classes when a teacher is absent.  It is acknowledged that this has been a very challenging and demanding year for the education sector, particularly for children with special educational needs and their parents. Recognising this, the Department has sought to support the well-being of school communities during this Covid-19 period. In addition to its normal work in supporting schools and students, the National Educational Psychological Service, NEPS, has developed a range of resources to support the well-being of children and young people in line with the Department's
Wellbeing Policy Statement and Framework for Practice. These include well-being guidance, webinars and toolkits, including a targeted toolkit for school staff, Supporting the Wellbeing of Students with Special Educational Needs (SEN) Returning to School: Strategies and Resources. I thank the committee for our invitation. I will hand over to Ms Mary McGrath from the NCSE.
#DonnchadhOLaoghaire	unknown-#DonnchadhOLaoghaire-party	unknown-#DonnchadhOLaoghaire-dob	unknown-#DonnchadhOLaoghaire-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	17	I apologise for missing the private session of the meeting because, unfortunately, I was delayed coming up from Cork and only got here in time for this contribution. There are many issues that I would like to raise around the school inclusion model, about which I have particular concerns. I also have concerns about the allocation of special educational teachers. I know remarks have been made in that regard. Many people representing teachers involved in new and developing schools have a different view of what was announced a week or two ago in terms of the allocation model. I will focus on two issues. I will pick up from what was said by Deputy O'Callaghan and address similar issues. When I speak to parents who have children with special educational needs, there is enormous frustration and a sense that the system is, if not a bit broken, certainly a bit dysfunctional. One would imagine that there is information on every child, particularly those who are in special schools and those progressing to post-primary level about how many children there are and how many places should be made available, yet those places never seem to be available. That applies to units and special schools. I want to understand how the National Council for Special Education and the Department anticipate demand. How are we failing to meet demand? There is a crisis in Cork city relating to special units and special schools. Why are we not anticipating future demand? What are we doing to fix that? It is too common, in particular at this time of year, for families to contact me because they have no school places for their children in September or even the following September. One family that was in contact with me had received rejections from 12 different schools in Cork and had nowhere to go in September. The situation is similar as regards special schools. Our guests might be aware that at least six children will be leaving Cara Junior School and have no special school places. The Department should surely have anticipated that this need would arise.  There is a specific crisis about places and units that I am going to localise to Cork, to some extent. There may be some schools that should be opening units and have not but, overall and at both levels, we are not getting ahead of demand and putting in place the provision in advance. I would like a comment on that. I am sure our guests heard Mr. Gary Murphy talking about his son on "Drive Time" last week and the frustration that he has faced, as have so many other families. It is widely agreed that children with special educational needs were among those who lost out the most during the lockdown.I welcomed the fact that last year's programme was expanded. There were parents who were disappointed with the hours that were available and the difficulty in getting through the past year so it is crucial that this year's programme is the largest and most comprehensive ever to ensure those who lost out the most are supported and given the greatest assistance possible to catch up and maintain education over the summer months. Can the witnesses outline whether there are plans to expand on last year? One of the biggest obstacles for those who want to receive it at home is finding tutors. Has work been done on any kind of centralised database of teachers and SNAs who are willing to provide this tuition to make it easier for parents to navigate? It is a simple thing the Department could do. Could Mr. Murtagh comment on any progress regarding the new building for St. Gabriel's Special School? 
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	18	I might address the issue of students who, as the Deputy indicated, have suffered most as a result of lockdown such as children with special needs and the plans for a programme for the summer. The important thing to reiterate is that right from the time when the schools closed in March 2020, the Department was highly conscious of the impact of such closures on children with special educational needs. All of the steps we have taken since March 2020 have been to mitigate learning loss at every point. It involves the additional supports by way of funding, guidance and how we have managed to support those children to return safely to school. That has been our priority. The actions we took in the context of the schools being closed involved the introduction of the supplementary programme. This programme allowed for in-school provision for children who were unable to access school during the school closures. It was offered by way of additional hours teaching that could be made available to children in their home where we had guidance from public health as to how this could be managed safely in homes or, at the request of a number of schools and following representation, on school premises. As we provided guidance to schools that they could use school premises to offer the supplementary programme, that is an additional support that is available. In respect of the summer programme, we have engaged extensively with the stakeholders regarding what worked in summer 2020. Parents requiring to offer the summer programme by way of home tuition is something that has come across as being clearly difficult for parents. The kind of measures we are looking at in terms of summer 2021 involves seeing additional supports that can be put into schools to allow the schools to run the programmes. The greater the uptake of the programmes in schools, the more this will reduce the burden on parents but, importantly, it involves listening to education stakeholders regarding what they need to do to run the programme successfully in schools. I am conscious of time so that was just a brief update of the summer programme. 
#DonnchadhOLaoghaire	unknown-#DonnchadhOLaoghaire-party	unknown-#DonnchadhOLaoghaire-dob	unknown-#DonnchadhOLaoghaire-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	19	If the building unit could come back to me in writing, that would be fine. Could Ms McGrath offer a brief response to that because it is a vitally important issue? There is a particular crisis in Cork. It would be great if the Minister could meet Deputies from Cork. There is a crisis everywhere but particularly so in Cork. How are we not anticipating demand better?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	20	There have been significant increases in the provision of special classes in Cork over the past number of years. The number of primary autism special classes has increased by 240% to 166 since 2015. Similarly, at post-primary level, the number of special classes has increased by 205% to 70 since 2015. We engage in a continuous cycle of planning for special classes with parents, professionals, schools and their patrons. As I said earlier, generally the schools respond very positively to local requests from SENOs to establish special classes and respond to the needs of the children and young people in their community. We are aware of a growing demand for special school placements over the past number of years and have engaged very co-operatively with the existing special schools and their patrons over this period. We are aware of a small number of children who are without a special school place for September 2021 and are working very closely with the existing schools, their patron and our colleagues in the Department of Education and Skills. All the stakeholders together are exploring a number of options with a view to providing a short-term solution and more medium-term solutions and we hope we will make significant progress in this space over the coming period.
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	21	Next up is Deputy Ó Cathasaigh, followed by Deputy Alan Farrell. The Deputies are just swapping around.
#MarcOCathasaigh	unknown-#MarcOCathasaigh-party	unknown-#MarcOCathasaigh-dob	unknown-#MarcOCathasaigh-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	22	I thank Ms Mannion and Ms McGrath for their presentations this morning. I welcome, first of all, the significant increase in staffing in this area, namely, 1,000 SNAs and 400 SEN teaching posts. That is a significant improvement on the situation which we had beforehand. Notwithstanding some of the concerns I share with Deputy Ó Laoghaire around the school inclusion model, it is welcome as well that the resources are being put into the schools in order that the schools make the decision about the provision of resources so that resources, particularly the SNA resources, get to the children with needs more quickly. I will go into a few specifics and then I have a few wider questions. My first question is very specific. How is the hiring going? We are looking for 400 SEN teachers and for 1,000 SNAs. Are we managing to fill those posts?
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	23	The teaching posts are allocated to the individual schools and it is a matter for the schools to recruit the teachers as they would do in the normal way. I do not believe that there will be any challenges in dealing with this. These are teachers who will be interested in working in the area of special education. Particularly at primary level, there should not be any particular challenges in those areas. Obviously, at post-primary there are separate challenges, particularly in relation to, for example, subject specialists but it should not impact in terms of special education teaching posts. In relation to the SNA allocation, the additional allocations have not gone out to schools yet as we are working through that allocation process. We commit each year to have those SNA allocations to schools in May and we intend to be able to provide those to schools as quickly as possible.
#MarcOCathasaigh	unknown-#MarcOCathasaigh-party	unknown-#MarcOCathasaigh-dob	unknown-#MarcOCathasaigh-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	24	I thank Ms Mannion. I suppose the follow-on question is the flip side to that. Deputy Ó Laoghaire was driving at it as well. If we are recruiting 400 new SEN teachers, do we have the physical accommodation? How confident are we regarding the physical classrooms that we will be able to provide for these teachers and for the students who need that? Maybe somebody from the buildings unit would like to come in on that.
#	unknown-#-party	unknown-#-dob	unknown-#-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	25	We are working closely with colleagues in the NCSE in terms of the identification of schools that are in a position to provide special classes for the coming September and where additional accommodation or refurbishment of existing accommodation is required to facilitate the provision of those classes. We ensure we work closely with them to allow that to happen through the additional school accommodation, ASA, application process in terms of projects to deliver that. It is a fairly fluid situation, as colleagues in the NCSE have outlined in terms of identification of these classes, but where a school has identified a need for September 2021 and a commitment to put that in place, we work hard to enable that to happen before the coming school year.
#MarcOCathasaigh	unknown-#MarcOCathasaigh-party	unknown-#MarcOCathasaigh-dob	unknown-#MarcOCathasaigh-constituency	speech	unkown-language	2021-04-13 00:00:00	Business of Joint Committee	26	If I still have time, I might turn to Ms McGrath in my third question. I want to ask Ms McGrath about this education and professional development, EPD, that is being provided by the NCSE and by others in the education space. I am aware of the summer courses and the seminars that are available. Are we satisfied that that level of upskilling is what we want and what is required in the area? Are we satisfied that those resources are going into the right areas? How are we in terms of getting teachers trained to a high level, that is, to level 9 or level 10, in this specialty area? I have often found within schools that one gets pockets of excellence but they become quite siloed. If we are training to this high level, do we have a good mechanism whereby experience and best practice can be shared between schools in order that we are not all separately trying to reinvent the wheel when we are providing these services?
