#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	15	We will try again. When I announced last December that the Government had agreed to increase the price of the television licence fee by €43, I also announced a wide range of measures that will be implemented to strengthen the accountability and transparency of RTE in relation to the use of the substantial public funding being provided to it.These measures include the following: RTE will operate on the basis of a public charter – I will shortly initiate a public consultation on a draft charter; future funding of RTE will be linked to multi-annual business plans with outputs that can be independently verified; RTE will publish an agreed statement of programme commitments that can be measured; RTE will establish an audience council in the first half of this year to act as an advisory body to the authority; RTE will publish a code of fair trading practice in the first quarter of this year; and RTE is implementing a change management programme supported by a new financial management system that will bring greater transparency and accountability in relation to the cost of each RTE service. My officials will continue to meet RTE management over the coming months to ensure compliance with the commitments given.RTE will not receive the full increase of €43 as it was an integral part of the Government decision that 5% of the net proceeds of the television licence fee – approximately €7 to €7.50 –  is to be ring-fenced as a special broadcasting fund to encourage new, innovative and additional public service broadcasting. The remaining €36, approximately, will go to RTE. This is still a very significant increase and, accordingly, I am committed to ensuring that the licence fee paying public get good value for money. The package of reforms announced and the associated accountability and transparency measures are designed to ensure that this objective is realised.
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	16	I was very disappointed to see the large hike in the licence fee and the manner in which it was brought in. Like many other increases introduced by the Government since the election and sneaked in after the budget, hit ting the ordinary man on the street and the ordinary consumer—
#RoryOHanlon	unknown-#RoryOHanlon-party	unknown-#RoryOHanlon-dob	unknown-#RoryOHanlon-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	17	The Deputy should ask a question.
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	18	I am coming to my question. There are many questions I would like to ask. What percentage of the licence fee increase will go towards programme making? Has the Minister made any provisions to increase the level of programme making? Every time one turns on the television one notices that Irish-made programmes are fewer and fewer. One could almost count on one hand the number of Irish-made programmes.I know the Minister said he will continue to meet RTE to ensure the licence fee increase is justified. However, has anybody from the Department been appointed to RTE to ensure that is the case?
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	19	I am not at all surprised that the Deputy and his party are disappointed by the increase in the RTE licence fee. When we increased the fee previously we were castigated by the Opposition for not making the increase greater.A policy adviser and a number of public servants work full time in my Department on the issue of RTE. There were more meetings with RTE personnel in the six months before Christmas than were held with them since the formation of the Government. RTE personnel said they never had as many meetings with a Department as took place over those six months. The purpose of those meetings was to examine the general and financial management of RTE and the result has been certain understandings predicated on a licence fee increase. My Department will continue to work day-to-day with RTE to ensure that the commitments it made are fulfilled.Commitments regarding home-produced programmes are set out in documents available on the websites of RTE and my Department, although those were predicated on a full €43 licence fee increase which was not approved. On RTE 1, RTE has undertaken to increase home-produced drama at peak time by 15%, home-produced news and current affairs by 10%, home-produced music by over 12%, home-produced factual and historic programming by 8% and home-produced entertainment by 14%. The issue is not as acute in radio because most of the programming on that medium is home-produced. On Network 2, increases in home-produced programmes will be in the order of 7% in news and current affairs, 6% in music and 8% in entertainment. RTE has committed to increase dramatically the extent of home-produced programmes which is the main reason the licence fee was increased.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	20	The main purpose of my meeting with the Greek Fisheries Minister and current President of the Fisheries Council, Mr. Georgios Dris, was to discuss with him the Irish box and to seek his support for urgent actions at Council level to provide for its continuation. I outlined in some detail the history of the Irish box and its critical importance to the conservation of fish stocks and the livelihoods of Irish fishermen. Those fishermen are substantially dependent on fishing within the box.I explained that Ireland is totally opposed to the Commission proposal which was presented at the December Council on western waters on the basis that it seeks to eliminate the Irish box as a separate zone. It also proposes scrapping current vessel limits on Spain within the box as well as the effort limits on other member states without imposing an equivalent restriction for the Irish box area. I pointed out that the Commission's approach, which is to introduce effort limits across very large areas of western waters, would not be effective. It would prove very difficult to control and would lead to a transfer of fishing effort into the Irish box from outside, increasing fishing pressure in this very sensitive zone. I pointed out that the Commission's proposal would give Spain's entire "Grand Sol" fleet of 230 large whitefish vessels access right up to the 12 mile zone of the Irish coast.I set down the amendments Ireland is seeking to the Commission's proposal. These involve the establishment of the Irish box as a sensitive zone, establishment of effort limits for the box based on recent fishing effort history of each member state, including Spain, and the continuation of the effort regime for the rest of western waters as at present. I found Mr. Dris open and sympathetic to my proposals for the box. I sought and received a commitment from him to give priority during the first part of the Greek Presidency to working to achieve a compromise that recognises the ecological sensitivity of the Irish box and its importance to the Irish fishing industry. I had the Irish box included on Monday's Fisheries Council agenda. At the conclusion of the debate in Council, the Greek Presidency restated the commitments given at our bilateral meeting and called on COREPER to commence working on a draft compromise for presentation to the Council as soon as possible.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	21	We have not had the opportunity to question the Minister since before Christmas. Will he confirm that the Commission has taken the view that the Irish Box is a bilateral issue for Ireland and Spain to resolve? Will he also confirm that he has effectively lost the legal  argument? For example, he has given no indication that the matter might be referred to the European Court.The Spanish armada of vessels has been lying quietly off the coast of northern Spain while problems relating to the recent oil spillage there have been addressed. However, it is now slowly moving towards Ireland's key interests in the 50 mile box. Recently, the first of these vessels was arrested. Will the Minister concede that he has lost the battle and shown the white flag to Spain?
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	22	I do not accept that. The Irish Box requires more attention than the issuance of a few press statements or discussions with a few journalists. The Deputy referred to a Spanish boat detained over allegations of fishing offences. It was not inside but outside the Irish Box. Despite the portends of doom and gloom since 1 January, the number of Spanish vessels within the box has not even reached double figures on any day. While there are Spanish vessels outside the box, their presence this year is less than usual.This issue was not formally placed on the agenda of the Council meeting last December and it was never going to be decided then, despite efforts to suggest otherwise. It was originally contained in the Commission's proposal for resolution throughout this year, with a view to taking action in 2004, not only with regard to the Irish Box but also the Shetland and plaice boxes, also within European Union waters. Last October the Spanish requested a legal opinion which was subsequently tabled although there would not have been enough time to address it. We strongly objected to the opinion.Some may wish this to be a bilateral issue, but this Government and others do not take that view. For example, at Monday's meeting, the Portuguese publicly and strongly supported the Irish position, as did the United Kingdom. The Commission's proposals will affect issues beyond the Irish Box which will impact on other countries. In view of this we have a number of allies. The issue may ultimately go to court, but I would like to think we will reach a compromise. In this regard, the Greek President of the Council was very accommodating.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	23	The Common Fisheries Policy reform package agreed at the December Council was a complex compromise which contains many of the recommendations of the national strategy review group which worked with me in preparing the national position in the reform process. The reform package included key national priorities  such as the continuation of the Hague quota preferences, an action plan to address the problem of juvenile fish catches, stronger control and enforcement and new regional advisory councils giving fishermen a strong voice in shaping future fisheries policy at EU level.The result of the Council agreement must be seen in the context of rapidly declining fish stocks and reduced quotas for all member states. Agreement was secured in the new framework regulation that when the Community establishes new fishing opportunities the Council shall decide on the allocation of the opportunities, taking into account the interests of each member state. In addition, in the face of concerted pressure from five member states, I was successful in having the Hague preferences specifically recognised within the framework regulation, something greatly welcomed by the industry. The Hague preferences are of critical importance to Ireland as each year they deliver additional quotas for many of the key whitefish stocks in our waters.There has been a sustained attempt in recent years to eliminate the Hague preferences and thereby reduce Ireland's share of the total EU quota allocation. There was an intensified effort in December to deny Ireland these extra quotas and, heading into the Council, I was faced with the situation whereby the draft framework regulation contained no reference to the Hague preferences, with the very real risk of these additional quota entitlements being lost for good.After lengthy and at times fraught negotiations, I succeeded in overcoming the legislative obstacle and I formally achieved the reinsertion of the Hague preferences into the new CFP regulation, as well as securing the extra whitefish quotas of about 2,000 tonnes for 2003 under the Hague preferences. I also secured changes to the new CFP regulation to ensure there is flexibility in relation to revisions to allocation keys.
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	24	While the Minister may have been fraught over there, it is guaranteed that fishermen were frothing over here and not for love of the Minister. Following the fisheries negotiations in Brussels recently, the Minister stated that he had negotiated a satisfactory deal for fishermen. I wish to pose several questions with regard to what the Minister means by "satisfactory" and state what I consider unsatisfactory.In 2002, the total quota tonnage was over 200,000 tonnes; in talks in which the Minister participated recently, he achieved a little over 190,000 tonnes for 2003, a reduction of 10,000 tonnes. I cannot understand how the Minister can claim this was a satisfactory deal. This will devastate the whitefish fleet in the west and north-west due to boats being restricted to nine days at sea per month. The Minister's claims that he would protect the Irish Box by restricting the number of foreign trawlers to 40 rings hollow on this side of the House. The Minister has totally conceded to the Spanish in giving greater access to the Irish  Box while the Irish fleet has access for just nine days per month.Is the Minister receiving a list of the vessels entering the Irish Box at present? He said the number had not reached double figures but I do not care what the figures are. I want to know if the Minister knows the names of the vessels entering and the times of entry. During the negotiations, the Taoiseach said that we had to broker a better deal. I want to know what the Minister said to the Taoiseach when he came back from the negotiations.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	25	A very good deal was brokered—
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	26	I would like to see it outlined.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	27	—in the context of the position we were in. I recall a former party colleague of the Deputy's who was in a Wexford pub when he was supposed to be negotiating on beef with the Russians.
#PhilipHogan	unknown-#PhilipHogan-party	unknown-#PhilipHogan-dob	unknown-#PhilipHogan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	28	We are in the present, not the past.
#BernardJDurkan	unknown-#BernardJDurkan-party	unknown-#BernardJDurkan-dob	unknown-#BernardJDurkan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	29	This is typical. The Minister should concentrate on the subject.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	30	I was not in any pub, I assure the House.
#PhilipHogan	unknown-#PhilipHogan-party	unknown-#PhilipHogan-dob	unknown-#PhilipHogan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	31	The Minister might as well have been in the pub.
#RoryOHanlon	unknown-#RoryOHanlon-party	unknown-#RoryOHanlon-dob	unknown-#RoryOHanlon-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	32	The Minister without interruption, please.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	33	Deputy Kehoe is correct to say that last year's quota was 200,000 tonnes and that this year's is 190,000. That is in the context of a position where there were huge reductions in stocks and scientists were calling for a moratorium on fishing in all the waters around our coast with regard to a number of species. Going into the Council meeting there was no possibility of having the Hague preferences, which are very important to us. I was faced with the possibility of either a moratorium or a days-at-sea restriction in relation to all Irish waters. Despite the message put around at the December Council, where it was said this would devastate the entire west coast of Ireland, a small portion of the north-west of Ireland, from Donegal Bay upwards, not from Galway Bay, is affected. In answer to a later question, which may not be reached during the time for oral questions, I point out that at the very most only 20 boats will be affected by the days-at-sea limitation.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	34	What about Greencastle?
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	35	If a proportion of those 20 boats make a choice based on the type of fishing they have carried out over recent years, that figure will be even lower. I accept they are affected and that  is unfortunate. That small section was included in the days-at-sea limitation because the UK is a supporter of the days-at-sea limitation in relation to cod and hake. The scientific proofs strongly suggested that there should be a moratorium. I do not accept it was a bad deal. It was a very good deal.
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	36	May I ask one brief supplementary? If the Minister is a man he will stand up and answer it. Has the Minister met the fishing organisations?
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	37	I am a man. I met the fishing organisations on Monday last.
#PaulKehoeFG	unknown-#PaulKehoeFG-party	unknown-#PaulKehoeFG-dob	unknown-#PaulKehoeFG-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	38	Are they happy?
#PhilipHogan	unknown-#PhilipHogan-party	unknown-#PhilipHogan-dob	unknown-#PhilipHogan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	39	Are the organisations happy?
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	40	I met them on Monday. They are reasonably happy and in their comments to the media they said it was a very constructive meeting with the Minister.
#PhilipHogan	unknown-#PhilipHogan-party	unknown-#PhilipHogan-dob	unknown-#PhilipHogan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	41	We got it out of him at last.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	42	I welcome the contribution of the Dublin Chamber of Commerce report to the ongoing discussion on how to develop the potential of Dublin specifically and Ireland in general with regard to the information society. Indeed, I met the Dublin Chamber of Commerce informally on 3 December last year and part of the discussion related to the report.While the provision of communications infrastructure and services is a matter in the first instance for the private sector, my Department has undertaken a number of initiatives to accelerate and promote investment in telecommunications infrastructure with the co-operation of the various development agencies and following consultation with the communications operators.To date ten private sector contracts have been signed under the National Development Plan 2000-2006. My Department is also funding the construction of open access metropolitan area fibre optic networks in upwards of 19 towns and the Liberties-Coombe area of Dublin to facilitate the provision by the private sector of advanced communications services to consumers, educational establishments and business. It is expected that these projects will be completed progressively over the next two years at a cost in the region of €60 million. Construction of networks will begin shortly in Cork, Galway and  Mayo and further projects will commence once contracts have been completed.In Dublin specifically, my Department is overseeing the development of the digital hub, which is the Government's flagship project in the digital content sector. I met the Dublin Chamber of Commerce on this matter. This project aims to cluster Irish and international new media companies, research and development and educational-community initiatives in the Liberties-Coombe area of Dublin.To date, the Digital Hub Development Agency Bill completed all stages in the Seanad before Christmas; the construction of a 3 km, high speed, open access, fibre broadband network in the hub was completed in September 2002; Media Lab Europe, a third level research and development educational facility, has been established as a partnership between the Irish Government and the Massachusetts Institute of Technology. It is the flagship project of the digital hub.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	43	Has the Minister visited Greencastle and Castletownbere since he got his famous fishing deal? Does the Minister agree that Ireland is now in the third division and that, in English terms, we are at the bottom of the second division? The Dublin Chamber of Commerce report makes it clear that cities such as Helsinki, Seoul and Singapore have the quality broadband network which gives video quality services and are in the premiership.Cities such as Copenhagen, London, San José, Sydney etc. are in the second division. We are in the third division with Prague, Tel Aviv, Dubai and so on. The Minister has been in office for six months and it is fair to say he has taken little initiative which would change that position. Is it not the case that he slashed the capital budget in this regard? Will he take on board any of the 40 or 50 major recommendations on how to accelerate broadband access for not only Dublin but every part of the country. In relation to regional policy this is vital. What is the Minister's policy on an enhanced tax regime to a lower VAT rate for e-commerce? In other words, will the Minister take a significant initiative to haul us out of the third division where we have been since 1997 The Minister is always harking back to ancient history. When the rainbow Government left office we were top of the league. The Minister did not retain that position. There was no interest the last time around and now he is in a disastrous situation.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	44	It is interesting Deputy Broughan should mention policy. I do not have to go back too far because just before the last election we all issued policy statements on issues, but the Labour Party did not make one policy promise in relation to broadband infrastructure.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	45	That is not true. My colleague—
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	46	There was not one concrete proposal on broadband infrastructure in its manifesto.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	47	The Minister is misleading the House.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	48	The Deputy's party did not even bother to launch a technical policy on e-commerce.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	49	The Minister is greatly misleading the House.
#RoryOHanlon	unknown-#RoryOHanlon-party	unknown-#RoryOHanlon-dob	unknown-#RoryOHanlon-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	50	The Deputy should allow the Minister to answer without interruption.
#DinnyMcGinley	unknown-#DinnyMcGinley-party	unknown-#DinnyMcGinley-dob	unknown-#DinnyMcGinley-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	51	He is out of order.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	52	His party has had no communications policy since 1997.
#RoryOHanlon	unknown-#RoryOHanlon-party	unknown-#RoryOHanlon-dob	unknown-#RoryOHanlon-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	53	The Minister is on his feet.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	54	On the Deputy's accusation on initiatives I have taken – he is incorrect as he generally is – if he listens to any of the technical people they will tell him that this Minister understands what is required, particularly in relation to the policy direction I gave to the ODTR, now ComReg, before Christmas on FRIACO.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	55	It has not happened yet.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	56	That was a major initiative and it is now accepted by Eircom and others that it will be effective before June of this year. That is, in effect, a flat rate rather than a taximeter type charge per month, which will be up to speed with the Internet. In relation to broadband, this week I launched an initiative on pilot projects and money has been spent in this regard on wireless lam. I very much disabuse the Deputy and others on the spend on broadband. There is no cut in regard to broadband. We will spend as much money as we can on that –€60 million will be spent between now and next year on the roll-off of fibre optic cable to 19 towns and cities around the country.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	57	The Minister slashed the budget.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	58	I assure the Deputy there have been plenty of initiatives in this area.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	59	The Minister lost the battle.
#RoryOHanlon	unknown-#RoryOHanlon-party	unknown-#RoryOHanlon-dob	unknown-#RoryOHanlon-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	60	That concludes the question.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	61	The Deputy is wrong.
#TommyBroughan	unknown-#TommyBroughan-party	unknown-#TommyBroughan-dob	unknown-#TommyBroughan-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	62	I have the report.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	63	The Deputy should check it out.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	64	Section 19(11) of the Broadcasting Act, 2001, provides that the Broadcasting Commission of Ireland, which is a statutorily independent body, shall draw up new codes and rules relating to advertising likely to be of direct or indirect interest to children. In November 2002, I formally directed the Broadcasting Commission of Ireland to draw up new codes and rules relating to advertising and that priority be given to those codes pertaining to advertising directed at children, and the Commission has commenced that process.The question of advertising directed at children is a sensitive and complex matter. While there is broad agreement that children should be protected and should not be exploited as consumers, there are many differing views as to how this objective can be best achieved. The Oireachtas decided in 2001 that the best way to proceed was to provide the Broadcasting Commission of Ireland with the power to draw up and implement codes and rules on children's advertising that would apply to all broadcasters licensed in Ireland.The Deputy makes a link between additional increased revenues that will flow to RTE as a result of the increase in the television licence fee and the possibility of restricting advertising directed at children. I am of the view that it is better to have clear codes and rules that will apply to all broadcasters licensed in this jurisdiction. The purpose of the codes and rules will be to set standards and ensure that children are adequately protected.The approach at EU level to the question of advertising directed at children is of direct relevance to us in Ireland. The European Commission presented the findings of a study on the impact of advertising and teleshopping on minors in March 2001. The main finding was that the provisions of the television without frontiers directive provide an adequate and flexible framework for member states rules in this area. The EU Commission has recently published its work programme for the review of the directive, and the work of the Broadcasting Commission of Ireland on its new codes and rules will help inform Ireland's approach to the review of the directive.
#SeanCroweSF	unknown-#SeanCroweSF-party	unknown-#SeanCroweSF-dob	unknown-#SeanCroweSF-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	65	What time scale does the Minister envisage? When should we expect a report from  the commission? Is he aware Sweden bans television advertising directed at children under 12 years of age? This ban has been commended by the United Nations as a good example for others to follow. I am sure the Minister is aware that many of his constituents from poorer backgrounds, particularly coming up to the Christmas period, are under pressure from advertising specifically geared towards children. There is the crazy situation where children are targeted by advertisers trying to sell products as early as August.
#DermotAhern	unknown-#DermotAhern-party	unknown-#DermotAhern-dob	unknown-#DermotAhern-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	66	I wrote to the chairman of the Broadcasting Commission of Ireland in November 2002 and have had discussions with him about this issue to try to bring forward these standards as quickly as possible. I cannot give a time scale as it is up to the Broadcasting Commission of Ireland but in the meantime, the existing codes of standards and practice drawn up in 1995 by one of my predecessors are in situ and will remain so. It may well fall for some consideration during Ireland's Presidency of the EU in 2004 and it might be one of the issues to the fore. It is an issue we are trying to address to build on the international experience from Sweden, to which the Deputy referred, and other countries and the current codes of standards in place.
#EamonRyanGP	unknown-#EamonRyanGP-party	unknown-#EamonRyanGP-dob	unknown-#EamonRyanGP-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	67	I am glad my colleague asked this question because it is a hugely important issue. Late last year my office did some work on it and looked at advertising on children's television. We surveyed 200 advertisements during the afternoon on "Den 2" and looked at what was being advertised. It was incredible to see it was typically the highest fat food and products with the highest sugar content – the worst products one would want for one's children.
#RoryOHanlon	unknown-#RoryOHanlon-party	unknown-#RoryOHanlon-dob	unknown-#RoryOHanlon-constituency	speech	unkown-language	2003-01-29 00:00:00	Prelude	68	A question please.
