SeanSherlock	Deputy Seán Sherlock	None	I move amendment No. 1:
SeanSherlock	Deputy Seán Sherlock	None	I move amendment No. 5:
In page 6, to delete lines 43 and 44 and substitute the following:"7.—A provider shall comply with a disclosure request made to the service provider only where it is technically possible and reasonable in scope in that the request is not so wide as to place an undue cost on the service provider.".There are suggestions that the telecommunications industry, through various submissions it has made, would request that this should be brought into the legislation.  The amendment is self-explanatory.  We are asking that a provider shall comply with a disclosure request made to the service provider only where it is technically possible and reasonable in scope — in that the request is not so wide as to place an undue cost on the service provider.Again, with reference to the cost burden, if, for instance a designated officer should make a disclosure request, there has to be a reasonable approach to this.  If, for instance, the request trawls so wide as to be entirely non-specific and take up a large amount of time, then this will obviously place a burden on the relevant ISP or telephone company.  If a disclosure request is as wide-ranging as a chief superintendent determines it should be, then we must be mindful of the cost to the service provider in yielding up that information.I know the Minister of State will argue to the effect that disclosure requests are needed and there has to be discretion on the part of the chief superintendent.  Nonetheless, I believe the request has to be targeted and some degree of scope must be allowed for as regards the ISP or telephone company.  That is fundamentally what I am addressing here.
SeanSherlock	Deputy Seán Sherlock	None	To my mind, the memorandum of understanding referred to by the Minister of State on Committee Stage is not on a statutory footing.  Section 7 states that service providers shall comply with a disclosure request made to them.  It is important the views of the telcos and the ISPs, Internet service providers, are acknowledged.  One of the parties to the memorandum of understanding is the ISPAI, Internet Service Providers Association of Ireland.  It made a submission on the Bill and stated section 7 was far too wide and unwieldy and takes no account of what is reasonable, technically possible and not very expensive.  Its recommendation is that a service provider shall comply with a disclosure request made to it only where it is technically possible.  I take on board the views expounded by the Minister of State but the reality is that we do not know for sure how many requests will be made by a designated officer.  We do not know for what purposes such requests will be made, against whom they will be made or the reasons why they may be made.  If we accept in good faith what the Minister of State is saying, then we deduce requests will only be made in respect of taxation or an investigation by the Revenue Commissioners, a chief superintendent or an officer of the law.I refer to the Bills' digest, a very good document published by the Oireachtas Library service.  It states that under the Bill an individual can only find out that data relating to him or her is accessed on foot of a disclosure request by first making a request on the basis that they believe the data has been accessed.  This veers somewhat from the point of the amendment but I seek to nail down the idea that there is a clear focus in respect of how the legislation is used.  We may agree that one must retain data and that such data can be pertinent to solving a crime but we have no wish for anyone to flout the purpose of the legislation for their own ends.  We have no wish for anyone to make nefarious requests for disclosure and trawl with the net so wide such that it would put a cost on the ISPs and such that a service provider is spending resources for something that may not be for the detection of a crime or for which the legislation is designed.  I wish to put down a marker in this respect and I intend to press the amendment.
SeanSherlock	Deputy Seán Sherlock	None	Do we know who the responsible judge would be in respect of this oversight?  How has that system been used?  Has the judge used this provision in respect of other legislation?  My understanding is that provision is also relates to the interception of postal packets and telecommunications messages and the oversight is pertinent with regard to that legislation.  I am given to understand reports are rubber-stamped in respect of how that provision works, without any qualitative analysis of the provision in question.  I am unconvinced that the oversight mechanism in this legislation would be used as designated.  I suspect that the oversight provision will end up simply being rubber-stamped as per other legislation and that we will not know in real terms whether the legislation will be flouted or abused by certain persons.  It is open to abuse regardless of whether one accepts the bona fides of a chief superintendent or any other designated officer.  That is the point we want the Minister of State to clarify.  I want to ensure disclosure requests are made only where it is technically possible and reasonable and that the oversight mechanism will be subject to proper scrutiny.
SeanSherlock	Deputy Seán Sherlock	None	Yes.
SeanSherlock	Deputy Seán Sherlock	None	I move amendment No. 6:
In page 7, between lines 20 and 21, to insert the following:"(5) A report under this section shall contain details of the numbers of prosecutions actually commenced as a result of investigations to which requests related, and a detailed justification for any significant excess of numbers of requests over numbers of prosecutions actually commenced.".This is another strengthening provision and it seeks to ensure that the law will not be flouted in any way.  It speaks to the theme of amendment No. 5.Bearing in mind the Interception of Postal Packets and Telecommunications Messages (Regulation) Act 1993, the current reporting format is inadequate, even if there is judicial oversight.  If one examines some of the reports and documents arising from the oversight procedure, one will see they contain a single paragraph stating records regarding the legislation have been examined by a judge.  That is all they state.  We do not want similar circumstances obtaining regarding the legislation under discussion.We would like to have included a provision seeking to examine the nature of the disclosure requests.  If a request is made and leads to a criminal offence or prosecution, there would be some justification for the provision.  However, if there were a large number of disclosure requests made but no correlation between those requests and subsequent prosecutions, it would provoke questions.  There is always a need for some form of qualitative analysis to ensure legislation is working properly and fit for purpose.  That is why the Labour Party is saying a detailed report should be made.Oireachtas Library and Research Service documentation states an individual can only find out if data relating to him or her has been accessed on foot of a disclosure request by first making a request on the basis that he or she believes the data have been accessed.  That is a fairly serious provision.  The reporting procedure could redress such a disparity in the Bill.  If one does not know that a disclosure request has been made about one, one has no way to access the referee or other such designated person.  Perhaps the Minister has a view on that.  If my understanding of the provision is wrong, I will openly acknowledge it but the amendment will ensure that the legislation is not used for nefarious purposes, that it is fit for purpose and that it is used in a manner to ensure that somebody cannot trawl widely for a disclosure request and do so for purposes other than expediting justice.
SeanSherlock	Deputy Seán Sherlock	None	The Minister of State offered the example of a Mr. Ryan, so I will continue to use that example.  He also referred to the requirements of the directive and the terms under which data must be submitted to the Commission.  I accept that point.  However, if we are discussing the rights of this Mr. Ryan in respect of whom disclosure is requested, under the Bill Mr. Ryan can only find out if a disclosure request has been made by first making a request to the Data Protection Commissioner on the basis that he believes that personal data has been accessed.  If the data relating to Mr. Ryan has been accessed, there is no analysis after the fact.  If nothing arises from the disclosure and Mr. Ryan is innocent, there is nothing in the analysis thereafter that allows Mr. Ryan to know that a disclosure request was made about him by one of the designated officers.  The reporting mechanism to the Commission does not allow for that either.We are trying to ensure that if Mr. Ryan is not prosecuted, a report under this section will contain details of the numbers of prosecutions actually commenced as a result of investigations to which requests related and detailed justification for any significant excess in numbers of requests.  If no prosecution is taken against Mr. Ryan, it could be argued that it is an excess.  That must be quantifiable as well.  I know I am repeating myself but I am trying to strike a balance between what is appropriate and inappropriate use of the disclosure request in the first instance to ensure that in the case of people who are innocent parties and against whom disclosure requests are made, the State, because of a reporting procedure, 12 months after the enactment of the Bill would be able to note an inordinately large amount of disclosure requests from a particular source about a certain person where no action has arisen from them.  It is right to have a method by which we can question that process.I might be overly pedantic about this but we must prevent nefarious use of the law.  That is my objective.
SeanSherlock	Deputy Seán Sherlock	None	Perhaps the Minister of State could clarify and acknowledge whether the Bill states an individual can already find out if data relating to him or her has been accessed on foot of a disclosure request.  That provision is already open to the person.  Amendment No. 6 includes the statement: "A report under this section shall contain details of the numbers of prosecutions actually commenced as a result of investigations."  The Minister and I will differ on this amendment and I will conclude my deliberations on it.
SeanSherlock	Deputy Seán Sherlock	None	I do not; I will press it.
SeanSherlock	Deputy Seán Sherlock	None	I move amendment No. 7:
In page 8, line 25, after "fit," to insert the following:"and with due regard to the rights of any person whose life, bodily integrity or property was sought to be vindicated in the criminal investigation concerned,".The purpose of this amendment is to ensure that some balance is brought into the question of how to deal with a minor breach of section 6.  If there is a breach, the user will be notified and may be compensated, but if any prosecution is to be quashed as a result of the destruction of the evidence on the orders of the Data Protection Commissioner, there must be some consideration of the rights of the victim concerned.  That is the justification.
SeanSherlock	Deputy Seán Sherlock	None	I do not wish to justify it.  I withdraw the amendment.
SeanSherlock	Deputy Seán Sherlock	None	I move amendment No. 8:
In page 10, line 11, to delete "Acts 1889 to 1995" and substitute "Act 1889".This is a technical amendment.  Others more learned than I advised that it be made.  We tabled a similar amendment on Committee Stage which the Minister rejected.  On reflection, the Minister's reply to our amendment highlighted a further problem, namely, that there is a contradiction between the reference to section 1 in line 10 and the reference to a number of Acts in line 11.  The reference in section 1 means that we should refer to the 1889 Act in the singular.  As only individual Acts have sections, we have tabled a revised wording on Report Stage.
SeanSherlock	Deputy Seán Sherlock	None	I withdraw the amendment on that basis.
