SeanSherlock	 Chairman	2019-07-03T13:30:00+01:00	I thank members for providing a quorum. We will now go into private session.
SeanSherlock	 Chairman	2019-07-03T14:40:00+01:00	Do those proceedings specifically relate to the weir on the River Blackwater?
SeanSherlock	 Chairman	2019-07-03T14:40:00+01:00	Briefly, does this form part of the statutory consents required?
SeanSherlock	 Chairman	2019-07-03T14:50:00+01:00	Does Deputy Buckley have any further questions?
SeanSherlock	 Chairman	2019-07-03T14:50:00+01:00	I will go straight into some questions. My first is for the local authority representatives. I do not think there is any ambiguity about the fact that the structure is owned by Cork County Council. That is correct, is it not?
SeanSherlock	 Chairman	2019-07-03T14:50:00+01:00	We have a submission here which is an observation from the Department of Communications, Climate Action and Environment. It is one of the documents which is part of the file before us. I will quote directly from it.It is also understood that Fermoy Town Council (now Cork County Council) originally agreed the repair works would be undertaken by OPW as part of the Fermoy Flood Relief Scheme, and would be paid for by the Council. However, the Council did not proceed with repair works as part of the Flood Relief Scheme, but rather advised DCCAE [that is, the Department] that the works on the ancillary fish pass solution were included as part of the tender process for Phase II of the Flood Relief Works. The Council then advised that as tender prices received were in excess of what was originally envisaged, they were proceeding with the Flood Relief Works but would be investigating the procedures for retendering separately for the fish pass.Can either Mr. Healy or Mr. Morey clarify how they interpret this statement from a local authority perspective?
SeanSherlock	 Chairman	2019-07-03T14:50:00+01:00	I assume Mr. Sydenham is, from an OPW point of view, corroborating that statement by Cork County Council in respect of the observation made by the Department of Communications, Climate Action and Environment. Forgive me if we are getting into surreal territory here but, as a local public representative and a Teachta Dála, I find it extraordinary that we have all the silos of Government in one room. Whether a local authority, IFI, whichever Department or the OPW, there is a certain amount of: "We do not hold the funds to do the job." The points have been made by previous speakers. There needs to be a whole-of-government approach to this. We take at face value and in good faith every statement made today. Regarding overall Government expenditure, I do not buy the arguments about voted expenditure or voted funding and line Departments. Creative mechanisms can always be found to find a relatively small parcel of money to do a job that would meet all the State's obligations, and that is the point. It is the State that has these obligations in respect of EU legislation and directives.As Chairman, I perceive that we are hiding behind certain directives. We are saying that there is a statutory obligation and that statutory consents are required. This has been very enlightening because it has highlighted the clear line of demarcation that seems to exist between Departments in respect of who holds the can. The times in which we are living are not as constrained as 2011. Considering the figures of €1.34 million and €1.7 million in their entirety in the context of overall Government expenditure, one would be hopeful that all stakeholders could come to some agreed, co-ordinated and unified position in tandem with the stakeholders on the ground so that this could be funded. I fail to understand what the €350,000 will buy. We have heard from TJ O'Connor and Associates and White Young Green. There have been other reports on the needs in this regard. For the sake of argument, we will call what is on the table a northern relief pass. There is also a repair and restoration project. They represent two discrete budget lines. The council says that it does not have the funding to carry out either project. It has extended its lámh amach to the Minister for a few bob, a small amount of money, for more consultation. Does it not understand why the people of Fermoy are exasperated and weary at this stage?
SeanSherlock	 Chairman	2019-07-03T15:00:00+01:00	My understanding is that the local authority is seeking a loan facility from the European Investment Bank, EIB. Will Mr. Morey confirm that? I refer to a loan facility for general purposes.
SeanSherlock	 Chairman	2019-07-03T15:00:00+01:00	Has that loan facility been secured? How much is available under it?
SeanSherlock	 Chairman	2019-07-03T15:00:00+01:00	Cork County Council has publicised the fact that it is seeking this facility.
SeanSherlock	 Chairman	2019-07-03T15:00:00+01:00	The public perception was certainly that it had been secured, if I may be bold enough to say so.
SeanSherlock	 Chairman	2019-07-03T15:00:00+01:00	Everybody, including the various stakeholders here, agrees that Cork County Council owns the structure and has responsibilities in respect of heritage, conservation, protecting local amenity, and the migration of fish under the habitats directive and the water framework directive. If the Department of the Minister, Deputy Murphy, is saying, as I interpret it, that it is an issue for the OPW or Inland Fisheries Ireland, the Department of Communications, Climate Action and Environment is saying that it is a matter for the council, and the OPW is saying that it is not a matter for its office, it seems that all roads lead back to the council. In the absence of any signal from the witnesses representing the line Departments or of a political cheque being written, is it beyond the bounds of possibility that this could be funded through an EIB loan facility? I am not playing devil's advocate here. I am trying to find a solution or to find some ground on which we can start talking about solutions. Would Cork County Council consider such a proposal?
SeanSherlock	 Chairman	2019-07-03T15:00:00+01:00	To unpack what Mr. Healy has said, the loan facility is not guaranteed. It has not been secured and therefore the repair and restoration of the weir and fish pass is not being considered as a potential project to fund through it. Is that a fair assumption?
SeanSherlock	 Chairman	2019-07-03T15:00:00+01:00	The council is not considering the repair and restoration of the weir in Fermoy and a northern bypass as projects to be funded through the loan facility that may be offered by the EIB.
SeanSherlock	 Chairman	2019-07-03T15:00:00+01:00	It falls outside it. That is the unambiguous answer I am looking for. If it cannot be funded through the loan facility, we are now back to either the local authority's own resources or central government. It is effectively one or the other. Is that a fair assessment?
SeanSherlock	 Chairman	2019-07-03T15:00:00+01:00	How much does the council have in the kitty at the moment? It is mapping out the potential cost of works. Does it have money in the kitty to meet its statutory obligations? Does it have anything put aside?
SeanSherlock	 Chairman	2019-07-03T15:00:00+01:00	Is Mr. Healy referring to the seed funding of €175,000?
SeanSherlock	 Chairman	2019-07-03T15:00:00+01:00	That is all the council has towards the cost of this project.
SeanSherlock	 Chairman	2019-07-03T15:00:00+01:00	Before I bring Mr. Morey back in, did Mr. Sydenham want to say anything? He was signalling.
SeanSherlock	 Chairman	2019-07-03T15:10:00+01:00	Does it include any parameters?
SeanSherlock	 Chairman	2019-07-03T15:10:00+01:00	I think I understand what Mr. Morey is saying. We live in a world of couched language here. Will Mr. Morey distil his point so that I can internalise and understand it? Is he saying that the parameters or loan criteria are being set out in general terms?
SeanSherlock	 Chairman	2019-07-03T15:10:00+01:00	We are back to central government again. There is a political prerogative which has to be brought to bear here. That seems to be the bottom line. Rather than concluding matters here, with the agreement of the committee, I suggest that we have to digest what has been said. Some of us are familiar with this issue and have an overview of it because we have had meetings at individual level with the witnesses over the years. I believe that this may be the first time that all of the stakeholders have come into one room and given their positions. We now know what those positions are, as frustrating as it may be to hear him, although I say that respectfully. We are talking about individual silos and not a cross-governmental approach to this. I accept the witnesses' bona fides. They all have vast experience and we have had personal experience of that in the past, with quite robust interactions in some instances. With the permission of the one member who remains, Deputy Buckley, I propose to express our gratitude and then take the witnesses' submissions under advisement and consider them further. Perhaps the committee will then draw up a set of conclusions based on the submissions received. The petition would remain open. Did Ms O'Brien wish to speak again?
SeanSherlock	 Chairman	2019-07-03T15:10:00+01:00	Ms O'Brien has just opened another silo but we will engage with the Department. The witnesses will all be back in three weeks and officials of the Department of Transport, Tourism and Sport will be here. I appreciate Ms O'Brien's intervention. We are trying to distil this and reach a fair assessment of what the positions are. Some of us have been living and breathing this issue and the people of Fermoy know the issue inside out at this stage. It should be accepted that there is one stakeholder group that involves local angling and rowing interests and has an interest in local amenities, including providing for people with disabilities. Rowing has become a key sport in the country and we have to recognise Fermoy's status in that regard. The Munster Blackwater is a key reference river for salmon, although there are questions about that status. We all want to find a solution and we will all work with Government to that end. I propose that we leave the petition open. I thank the witnesses for attending. I believe all documents, no matter how indicative they are, even drawings or schematics that have been laid before us, should be placed in the public domain. That includes the local authority document but the witnesses can discuss that with their colleagues. It does not necessarily mean that they will be interpreted by people accessing them in the public domain in a literal fashion if it is clearly communicated that the documents from the consulting engineers, TJ O'Connor & Associates, are merely indicative high level documents and are not to be interpreted any other way. I note the request that the witnesses have made about not having these be published on the website. I ask that they reconsider that. The committee tries to publish all materials and keep everything online so that everybody has access. The witnesses' public statement has been to the effect that it is a high level document and not a finished document. The witnesses might consider that, if Mr. Morey and Mr. Healy want to come back to us. We will send the opening statements to the petitioner. We intend to keep the petition open because there is more work to be done on this. We are genuinely grateful to the witnesses for attending and giving their time. This is our final meeting before the recess. I thank everybody who has submitted a petition and those who have attended. I thank the staff in the secretariat who do an excellent job in preparing documents and interfacing with the public. They are the A team in that regard. I thank all of the staff who record these proceedings and our press people. Much work goes into preparing a committee meeting and I acknowledge those who work on our behalf.
